"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ25","MGJ26","MGJ27","MGJ28","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K00001..alcohol.dehydrogenase..EC.1.1.1.1.",0.000538577601248053,0.000633958784946342,0.000760619275561387,0.00046169755991064,0.000413257297483153,0.000385080870298834,0.000900675413517165,0.000287581336767904,0.000840167754804263,0.00075070071743588,0.000366398459985035,0.000353623477195885,0.000527528624869635,0.000566928604633868,0.000335763089060746,0.000381187951737352,0.000307817553275718,0.000352452583076823,0.000442445055836222,0.000299719084245599,0.000144800103787462,0.000312433288142257,0.000483339825114896,0.000404474661617432,0.000376259161563779,0.000330491938866405,0.000382383319034247,0.000362238568339299,0.000426748522109319
"K00002..alcohol.dehydrogenase..NADP....EC.1.1.1.2.",2.30003663504145e-05,1.87687101376519e-05,1.36739334629467e-05,2.38228568477041e-05,2.30004967547172e-05,3.85806585187816e-05,1.1779362755001e-05,3.42129906944298e-05,1.13365119377691e-05,1.50867197762063e-05,4.20886199978924e-05,3.48252368408585e-05,5.56971730989723e-06,7.44326061330839e-06,5.53311163259643e-05,2.54272623237575e-05,4.3893751177144e-05,3.82161795178058e-05,8.69791958545024e-06,4.81010849215113e-05,3.24308118450305e-06,5.43445295715806e-05,4.2008782147351e-05,2.49148589502017e-05,2.56445950606977e-05,2.53437217321571e-05,2.81290098819032e-05,3.2386330582742e-05,3.29834593444527e-05
"K00003..homoserine.dehydrogenase..EC.1.1.1.3.",0.000637588593879072,0.000767887767065452,0.000838354918187508,0.000731171692398551,0.000654827155016355,0.000481789468360294,0.000849183033709773,0.000509926323715093,0.000861868215248486,0.000806251709965618,0.000444109604109602,0.000552792312640397,0.000811820153010999,0.000972775413762005,0.00034055666560415,0.000577102884629736,0.000354649614311243,0.00047862914419424,0.000592085963418359,0.000399069887890504,8.71232155661521e-05,0.00030275502549527,0.00053868674662302,0.000622808245248295,0.000591140125912695,0.00041369493124295,0.000561887861679646,0.000493953238267352,0.000619114046115142
"K00004...R.R..butanediol.dehydrogenase...diacetyl.reductase..EC.1.1.1.4.1.1.1.303.",7.57758553894968e-06,1.02528477272491e-05,1.97756633303489e-05,1.41976311857435e-05,4.68828382666396e-06,3.30797277752263e-06,2.34587953303684e-05,2.10214720518877e-06,2.0930401825244e-05,1.76928676985867e-05,3.79635982016918e-06,1.71951157013328e-06,1.48823017894621e-05,2.38269735973148e-05,1.86757483064825e-06,4.46008880195997e-06,1.70354776757367e-06,1.48487613625741e-06,1.58932320367342e-05,1.34767527753846e-06,1.36288781815926e-06,5.85259228875184e-07,6.15815877928064e-06,2.34075981355537e-06,2.35583289224447e-06,3.32037546296186e-06,2.62347586762194e-06,3.12115969168446e-06,5.96581402178837e-06
"K00005..glycerol.dehydrogenase..EC.1.1.1.6.",0.000217817181529045,0.000294123359391242,0.000386700975462648,0.000290250887816075,0.000179048864585683,0.000134437116205324,0.000344128993148021,0.000162280618646957,0.000336097486808552,0.000301331741766141,0.000174011829836231,0.000174726710042848,0.000307843900127178,0.000329474445704436,0.000109941237248529,0.000175162219831256,0.000132302968728894,0.000154538184202309,0.00037400801711588,0.000199505253832761,0.000325972434938568,0.000121863614922789,0.000177325498950246,0.000185653318495916,0.000203811289249384,0.000206648379574209,0.000174069577797101,0.00016590442879861,0.000168721035035733
"K00007..D.arabinitol.4.dehydrogenase..EC.1.1.1.11.",5.33054726291171e-06,8.41878157144937e-06,1.37030264271311e-06,3.57702584879083e-06,3.86265458761e-06,2.19097503337528e-06,2.07329981029666e-07,2.93174196280031e-06,2.77129242050342e-06,1.81437871889245e-06,5.16223450996735e-06,2.10161718300614e-06,1.53317477878578e-07,6.73470012180754e-08,3.42752295538816e-06,2.44211818424967e-06,2.30432993995082e-06,6.18587437390315e-06,2.19921091431129e-08,1.98233781763427e-06,4.23817380095638e-07,1.6226500202324e-06,6.37804271982248e-06,5.32975543135021e-06,5.88351423131803e-06,5.85269971650268e-06,3.85258801103585e-06,7.74830163913685e-06,5.77855545509677e-06
"K00008..L.iditol.2.dehydrogenase..EC.1.1.1.14.",0.000184081765781274,0.00027636541050977,0.000375618187354405,0.000290496817450529,0.000151100851302245,0.000117949903353855,0.0003787092429619,0.000142827462747099,0.00047990748682598,0.000368054401089876,0.000201714579221224,0.000109205081042407,0.000890213230719965,0.000934145476675626,8.93838895319845e-05,0.000137054551139922,8.79368459420907e-05,0.000106154534487611,0.000451601330185423,0.000120871073665,0.000190938363272138,7.1530115493368e-05,0.000163671706307413,0.000116850405548759,0.000131326947032583,0.000136956982066265,0.000115038370622436,0.000120415128931606,0.0001486476873925
"K00009..mannitol.1.phosphate.5.dehydrogenase..EC.1.1.1.17.",0.000136617347356477,0.000184242340589278,0.000262084286311949,0.000133445409191697,8.59406277055767e-05,7.59520599642195e-05,0.000334210235178357,4.60469219171732e-05,0.000336228348217496,0.000273324345748958,9.33575936005198e-05,6.8383921978475e-05,0.000336085553289386,0.000343412275225399,5.64671141305448e-05,8.99539594263724e-05,4.59875529971528e-05,4.42324019862593e-05,0.000177693256213938,5.5887675221818e-05,1.79233770800553e-05,3.9893983855062e-05,0.000133531708855036,6.24746209093752e-05,8.00282852732077e-05,5.58252952477797e-05,6.1623769918136e-05,6.82408558077063e-05,7.56749835958274e-05
"K00010..myo.inositol.2.dehydrogenase..EC.1.1.1.18.",0.000150938481494947,0.000133781864707778,0.000136772346438873,0.000157711479709464,0.000156523903846586,0.000116695889784189,0.000113989237247236,0.000170778759586927,0.000114298997562304,0.000118092033725348,0.000109870450322873,0.00012195341783847,0.000169094298446924,0.000149932599058029,0.000107660200729752,0.000130856401303395,8.68939499482401e-05,0.000109178796788959,0.000313470200278303,0.000101188759975855,0.000529560698414146,9.04231310947208e-05,0.000108623192815274,0.000150210769937179,0.000162279874304041,0.000262162165448691,0.000132501069142618,0.00012721772050312,0.000135183790284383
"K00011..aldehyde.reductase..EC.1.1.1.21.",1.01583767778229e-06,7.79175535967192e-07,3.70256247998493e-07,9.9501106736918e-07,1.02304314329652e-06,2.02989919056696e-06,1.2604782997987e-07,1.82062041295334e-06,1.83930226726869e-07,4.1584138844817e-07,2.30112206095925e-06,1.77901727741481e-06,1.02607622928227e-07,9.97600708226958e-08,3.09792515168801e-06,1.24010275523801e-06,2.43078646207546e-06,2.01271754281291e-06,1.71510739997235e-07,2.67870279900794e-06,1.47247978994228e-07,3.0607696588411e-06,2.14881979201086e-06,1.19380496258768e-06,1.22840105809919e-06,1.28527395796424e-06,1.41285380691379e-06,1.64765294282745e-06,1.62707912343589e-06
