"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K01365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01361",2.68543607453696e-06,7.34480428544847e-06,2.66261948504939e-06,5.56479930551305e-06,7.95443698495021e-06,2.97656254650879e-06,0.000376902382282989,0,8.90690855455125e-05,0.00016916559931229,1.34940019161483e-05,0,1.78713761317049e-05,2.85329498504873e-06,1.74337517433752e-05,2.4309548061192e-06,3.02546229063801e-06,2.96886550742365e-06,3.2607490592739e-06,0,0,2.86174618028429e-06,2.44470086640199e-06,5.48247116905474e-06,1.08876718891199e-05
"K01360",0,0,0,0,0,0,0,0,0,0,0,0,0,5.70658997009747e-06,0,0,0,0,0,0,0,0,0,0,0
"K01362",0.000703584251528685,0.000702652943307904,0.000822749420880262,0.000717859110411183,0.000623097563821099,0.00071437501116211,0.000970415329096431,0.000571267034947408,0.000744617555160485,0.000752614298981209,0.000705061600118747,0.000488230244841791,0.000936460109301336,0.000921614280170741,0.000676429567642957,0.000430279000683098,0.000571812372930584,0.000558146715395646,0.000841273257292665,0.000465575828819776,0.000612207305312659,0.000706851306530219,0.000547612994074045,0.000622260477687713,0.000661426067264037
"K02249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K05841",0,0,0,0,0,0,0,0,0,0,0,0,0,2.85329498504873e-06,0,0,0,0,0,0,0,0,0,0,0
"K05844",0,1.46896085708969e-05,1.06504779401976e-05,1.11295986110261e-05,1.85603529648838e-05,0,4.33221129060907e-06,2.94467543787324e-06,2.49393439527435e-05,3.45235916963857e-06,0,0,0,2.85329498504873e-06,0,0,3.02546229063801e-06,0,0,0,0,2.86174618028429e-06,0,0,2.72191797227999e-06
"K05845",0.000102046570832405,2.69309490466444e-05,5.32523897009878e-05,4.73007940968609e-05,5.83325378896348e-05,5.35781258371582e-05,3.89899016154816e-05,3.53361052544789e-05,0.000206640278465589,4.48806692053014e-05,3.37350047903707e-06,1.13541917405068e-05,2.50199265843868e-05,9.13054395215595e-05,3.48675034867503e-06,4.8619096122384e-06,6.05092458127602e-06,0,0.00017608044920079,1.68534236676842e-05,4.60509919925452e-05,4.57879388845486e-05,2.93364103968238e-05,3.01535914298011e-05,2.99410976950799e-05
"K05846",0.000408186283329618,0.000470067474268702,0.00070026892456799,0.000517526335412713,0.000302268605428108,0.000241101566267212,0.000285925945180198,0.000347471701669042,0.000673362286724075,0.000238212782705062,0.000111325515808223,0.000152146169322791,0.000671963742552104,0.000804629185783743,0.000219665271966527,0.000209062113326251,0.00013614580307871,0.000133598947834064,0.000466287115476167,0.000187494338302987,0.000308812534538244,0.000366303511076389,0.000212688975376973,0.000243969967022936,0.000264026043311159
"K05847",0.000276599915677307,0.000428446916651161,0.000639028676411854,0.000453531143399313,0.000206815361608705,0.000119062501860352,0.00023393940969289,0.000276799491160084,0.000463159244836665,0.000176070317651567,0.000104578514850149,0.000102187725664561,0.000625498164609671,0.000758976466022963,0.000209205020920502,0.000196907339295655,0.000108916642462968,0.000127661216819217,0.000273902920979007,0.000139040745258395,0.000224837196198897,0.000291898110388997,0.000136903248518511,0.000178180312994279,0.000204143847920999
"K00508",2.68543607453696e-06,2.44826809514949e-06,7.98785845514817e-06,5.56479930551305e-06,2.6514789949834e-06,0,4.33221129060907e-06,2.94467543787324e-06,7.125526843641e-06,6.90471833927714e-06,0,0,3.57427522634098e-06,8.5598849551462e-06,0,0,6.05092458127602e-06,0,0,2.10667795846052e-06,0,5.72349236056857e-06,2.44470086640199e-06,5.48247116905474e-06,0
"K00500",0,0,2.66261948504939e-06,5.56479930551305e-06,7.95443698495021e-06,0,0,0,0,0,0,0,3.57427522634098e-06,0,0,0,3.02546229063801e-06,0,0,0,0,2.86174618028429e-06,0,0,0
"K00507",0,9.79307238059796e-06,5.32523897009878e-06,2.78239965275652e-06,2.6514789949834e-05,8.92968763952637e-06,4.33221129060907e-06,0,0,0,0,2.27083834810135e-06,3.57427522634098e-06,1.71197699102924e-05,0,0,6.05092458127602e-06,0,0,6.32003387538157e-06,0,1.14469847211371e-05,4.88940173280397e-06,5.48247116905474e-06,2.44972617505199e-05
"K00504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K00505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K12521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01101",0.000354477561838879,0.000232585469039202,0.000178395505498309,0.000175291178123661,0.000188255008643822,0.000202406253162598,0.00087943889199364,0.000291522868349451,0.00056647938406946,0.000680114756418799,9.44580134130379e-05,0.000236167188202541,0.00032883332082337,0.000211143828893606,0.000184797768479777,0.000155581107591629,0.000148247652241262,6.53150411633203e-05,0.000306510411571746,0.000328641761519842,0.000279014833837185,0.000351994780174967,0.000256693590972209,0.000230263789100299,0.000244972617505199
"K01103",2.68543607453696e-06,4.89653619029898e-06,2.66261948504939e-06,5.56479930551305e-06,5.3029579899668e-06,0,0,2.94467543787324e-06,3.5627634218205e-06,0,0,2.27083834810135e-06,0,0,0,0,0,0,1.30429962370956e-05,4.21335591692105e-06,2.70888188191442e-06,0,0,1.37061779226368e-05,0
