"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ25","MGJ26","MGJ27","MGJ28","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K00001",2488.17,500.13,1517.51,1584.55,2458.09,1312.61,301.05,1482.86,3202.42,1006.72,3877.15,1622.24,232.99,448.79,569.92,1077.39,1077.87,423.22,30,621.18,153.85,835.47,3561.65,2940.69,2830.99,2131.76,2549.85,1710.76,1683
"K00002",9.67,4.33,9,13,16.67,5.99,2.67,4.66,7,4.66,5.67,4.33,0,0,0,0.33,9.33,8.33,0,0,0,0.33,4.33,13.99,8,6,12.33,13.66,6.67
"K00003",4342.94,1270.74,4388.59,5180.43,4984.12,3197.62,750.04,3549.42,6639.92,2094.88,6764.6,3680.95,786.91,5626.1,945.48,1868.85,1538.98,793.8,372.5,1491.59,605.12,1479.32,5375.12,6324.2,6212.41,5004.89,5827.19,3499.34,3624.07
"K00004",358.39,122.98,465.5,685.16,1149.68,393.52,144.04,641.78,2772.9,546.41,1103.79,327.44,117.18,273.01,94.36,261.39,174.55,121.63,8.56,117.47,34.99,148.99,738.83,843.47,765.96,679.58,815.64,475.24,447.85
"K00005",1487.83,779.04,2390.3,1949.02,2537.34,907.61,506.33,1277.71,3551.36,1194.02,4533.21,1177.51,832.61,3756.55,339.58,1197.73,605.21,387.64,173.9,441.49,173.24,493.27,1477.85,2599.69,1865.79,1660.64,1940.8,1524.41,1490.73
"K00007",354.28,248.55,791.6,442.12,313.58,127.71,285.41,178.77,224.44,173.07,1115.53,225.52,119.46,878.66,104.25,331.83,150.94,102.71,59.75,104.79,47.63,104.41,157.56,409.25,269.38,298.07,301.48,264.35,273.13
"K00008",738.29,171.85,270.95,351.77,837.48,348.85,219.91,312.67,370.16,149.31,1194.16,667.79,24.41,65.42,173.49,585.34,327.26,147.83,11.25,280.34,42.73,290.42,664.31,1089.67,783.37,732.86,1238.5,498.53,440.05
"K00009",1301.28,543.28,1278.24,1233,1705.56,1024.96,441.49,760.2,762.19,578.11,3869.83,1037.22,597.19,2589.11,279.73,869.63,498.71,268.3,116.29,422.97,159.36,441.51,836.04,2022.3,1772.94,1284.71,2137.32,1370.66,1185.86
"K00010",1261.34,597.58,1754.15,1743,2149.43,846.73,682.45,1307.76,3563.28,1146.72,4409.54,1480.88,1151.88,4280.98,309.54,1192.65,757.21,420.57,151.43,436.94,162.65,517.02,1537.12,2439.38,2033.78,1646.03,1933.36,1271.97,1281.55
"K00012",4877.46,1590.55,5222.27,5426.24,5317.6,3300.07,6138.21,2770.88,7251.14,5913.31,8682.25,3826.11,1344.1,8061.07,885.06,2222.98,1591.23,867.91,602.29,1436.1,717.63,1449.13,5210.11,6474.4,6119.24,4889.44,5627.97,4307.83,3790.07
"K00013",5298.63,1671.9,5422.55,5762.7,5745.32,3529,6145.4,3258.69,7476.1,6148.75,10088.84,4132.88,1373.11,8333.62,1203.32,2390.82,1915.43,991.87,607.9,1732.49,724.68,1789.4,5572.82,7253.32,6663,5540.1,6724.42,4578.01,4357.51
"K00014",6675.43,2294.41,7126.27,6758.56,7072.86,4210.74,6690.76,3857.4,7980.36,6578.43,12445.7,4780.71,1658.88,10170.2,1257.91,3561.59,2151.28,1266.59,747.64,1793.9,849.98,1955.08,6015.9,8863.81,7771.32,6434.26,7764.52,5473.94,4931.99
"K00015",703.79,226,641.89,1062.11,1325.2,742.45,189.08,1180,2859.08,694.25,1881.7,848.97,54,76.67,335,303.89,376.33,150.11,15,453.67,82.11,421,1100.55,1471.72,1649.78,1368.66,1780.36,657.46,1024.36
"K00016",1441.09,354.99,520.2,868.02,1646.58,1170.2,278.38,714.37,547.76,516.75,3039.84,1112.75,122.41,344.8,285.8,1056.71,638.8,377.18,28.59,470.97,86.48,523.91,929.74,2580.43,2156.06,1399.84,2643.05,1435.47,1104.01
"K00018",1949.43,259.23,731.91,705.83,761.93,742.3,5195.33,431.94,2914,4094.16,2300.51,701.42,82,136.33,304.33,506.75,318.33,166.41,157,455,236.22,495.5,2161.87,829.12,1426.4,1076.93,854.87,1194.95,699.88
"K00019",842.47,358.66,950.14,691.09,855.03,898.25,186.71,392.99,267.23,301.21,1861.55,668.45,144.04,914.28,191.92,570.91,417.03,208.5,79,212.65,123.16,317.62,471.15,1038.23,1079.46,889.87,850.6,553.62,603.32
"K00020",5286.93,845.4,1895.57,2085.44,3157.42,3084.59,5703.85,1464.66,3298.62,4718.03,7061.85,2791.76,205.24,305.33,727.16,1472.27,1128.17,523.37,227.67,966.33,434.2,1260.32,5468.24,4247.69,5008.78,3470.42,4124.12,3272.1,2370.52
"K00021",519.61,119.79,231.29,535.62,512.56,480.76,60.83,648.68,72.67,239.83,2863.79,785.47,22.33,121.5,366.16,341.8,570.66,164.36,9,464.5,57,542.17,759.99,1039.42,857.01,893.94,1155.36,817.88,832.61
"K00023",618.77,73.3,158.64,341.96,399.22,797.53,43.66,224.86,36.33,181.17,1641.97,429.31,21,64.34,151,188.64,192,72.86,31,284.59,232,249.75,601.83,916.35,1022.37,857.28,544.7,614.15,312.12
"K00024",3172.47,1343.85,4130.06,4544.88,3978.96,2463.87,5964.13,1988.41,4297.53,5354.01,7310.71,2898.85,1213.44,8013.49,816.4,1883,1346.19,714.81,589.12,1092.66,684.03,1229.8,2470.03,5286.71,4587.68,3945.77,4734.91,3434,3156.36
"K00027",2661.18,1003.01,2386.61,3147.5,4588.48,2031.25,5965.98,2709.39,9099.53,5892.39,7211.84,2787.48,801.26,2812.4,785.88,1631.45,1351.47,708.89,257.21,1046.26,271.76,1059.63,3298.2,5173.58,4569.41,3789.55,5010.86,2949.25,3065.95
"K00028",0,4,0,23,58,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,7
"K00029",3240.05,806.94,2200.81,1860.6,2497.28,1879.41,5696.59,1133.82,3837.58,4717.31,5582.32,1750.29,694.53,2846.99,599.08,1257.05,860.49,444.24,291.12,753.91,425.05,933.55,3042.65,3000.47,2958.79,2347.87,2389.71,2362.15,1716.71
"K00030",153,53.5,55.5,137,257,63.5,5145,56,2712,3955.5,281.5,52.5,32,60,44.5,57.5,32,29,124,15,29,15.5,97.5,59.5,85.5,121.5,252,168,205.5
"K00031",5109.94,1595.79,5324.27,5490,5450.87,3236.14,6118.63,3031.91,7415.11,5972.29,8417.55,3610.94,1360.77,8261.89,890.64,2137.36,1484.7,811.45,617.62,1353.33,733.25,1372.67,4848.99,6534.65,6215.8,5184.82,5927.72,4165.8,3830.7
"K00032",0,0,0,0,0,1,0,2,0,0,13,0,7,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
"K00033",2616.03,973.61,1801.81,2349.76,3501.12,2204.68,5819.03,1575.27,3641.45,4982.84,7342.99,2563.38,797.76,3015.7,806.22,2123.22,1412.6,828.5,292.96,1045.33,444.29,1229.51,2173.04,4519.63,4061.99,3015.85,4121.27,2932.23,2473.42
"K00034",183.69,35.66,84.12,138.95,167.57,118.34,59.26,110.34,41.19,79.27,440.04,198.59,23.66,33.92,44.33,294.09,161.37,57.27,4.17,77.67,14.93,114.67,157.67,295.2,240.62,120.98,210.94,197.25,82.86
"K00035",5.33,2,2,8,69,5,0,1,0.33,0.33,2,5.33,0,8,0,2,0,0,0,0,0,1,2.33,6.67,15.67,6,8.67,1.67,40
"K00036",4076.4,1097.61,2460.6,2565.23,3924.81,2686.27,5872.18,2059.44,3808.51,5013.65,7507.39,2849.38,831.6,3011.62,792.39,1892.63,1237.07,742.73,309.79,1129.25,451.36,1215.76,3963.7,5090.51,4730.55,3339.96,4473.24,3171.47,2623.49
"K00038",282.33,87.16,92.91,184.08,509.98,271.41,46.4,121.33,16.26,95.76,656.1,398.52,57.66,23.18,99,274.82,253.99,146.68,6,96.58,7,120.42,248,792.58,609.5,296.41,616,359.99,389.51
"K00039",352.77,248.38,791.1,422.79,279.91,125.71,131.91,179.77,224.43,173.56,1115.36,224.18,119.46,878.49,96.25,331.33,150.94,102.71,59.75,104.79,47.63,102.41,155.89,411.09,266.89,285.24,303.65,265.36,264.3
"K00040",1646.84,799.69,2183.71,1709.17,2145.24,1107.08,582.07,911.55,1074.8,929.8,5771.33,1170.47,1187.97,5122.89,445.41,1376.24,784.89,463.92,210.43,564.15,206.4,615.35,1122.6,2599.37,1880.88,1499.27,2113.21,1835.76,1524.25
"K00041",710.59,390.89,1243.06,1149.89,1598.9,441.46,483.92,825.14,3011.06,704.42,1927.75,640.63,172.47,927.15,183.64,658.22,292.52,196.83,66.36,240.78,69.56,243.99,954.72,1434.58,1063.06,970.38,1094.36,833.37,856.58
"K00042",1202.6,548.82,1255.89,1139.57,1939.82,1278.48,5395.98,586.87,3254.16,4399.01,3371.13,1112.45,659.61,2653.9,269.31,770.86,463.2,325.15,266.27,363.26,139.4,448.55,919.49,2023.86,1578.51,1371.72,1590.14,1218.9,1126.97
"K00045",21,9.5,30,52,40,17.25,2,6,3.33,8.83,38.5,27.83,7,12,2,24.5,3,1,0,1.25,1,17.75,26.83,52.92,70.5,47,42.67,16.92,26.5
"K00046",774.61,206.34,393.29,646.73,1021.18,881.85,293.47,403.01,345.69,381.5,2116.69,785.57,522.47,1742.43,136.51,583.14,337.31,195.55,70.13,177.42,73.05,326.41,706.94,1228.02,1096.61,929.1,971.08,715.26,561.53
"K00048",255.51,100.59,108.55,232.36,622.13,226.34,120.84,167.66,55.45,91.25,807.94,316.57,19.51,46.66,79.89,349.72,134.33,87.1,6.61,124.17,25,153.25,230.32,615.75,366.1,277.39,491.87,396.08,329.06
