"MGJ1"	"MGJ10"	"MGJ11"	"MGJ12"	"MGJ13"	"MGJ14"	"MGJ15"	"MGJ16"	"MGJ17"	"MGJ18"	"MGJ19"	"MGJ2"	"MGJ20"	"MGJ21"	"MGJ22"	"MGJ23"	"MGJ24"	"MGJ29"	"MGJ3"	"MGJ4"	"MGJ5"	"MGJ6"	"MGJ7"	"MGJ8"	"MGJ9"
"K00001"	1.87246296466809e-05	3.81485995376827e-06	1.62482633793982e-05	5.46852969614556e-06	1.89231710851655e-06	1.52501407773193e-05	1.04451464009053e-05	9.07597443877784e-06	1.07914369373945e-05	7.74615734643746e-06	1.16382304704261e-05	1.12055650451311e-05	1.16990533831037e-05	9.95251970998658e-06	1.01936699153142e-05	6.13094178149062e-06	9.91811216432671e-06	1.3311061713234e-05	1.99098131645374e-05	9.03062292278078e-06	9.78880088589423e-06	2.36594871644147e-06	9.5171282693502e-06	1.12370751134939e-05	8.515518406394e-06
"K00003"	1.27475100802014e-05	2.09431544058171e-06	8.90727090785511e-06	1.18254567206318e-05	1.70298219752878e-06	1.00551894087792e-05	1.59169381729179e-05	5.9184767059214e-06	4.89879293048707e-06	3.32154666169746e-05	1.77389863153231e-05	3.97046905516623e-06	5.30692199305196e-06	5.69299231123055e-06	3.47813350627782e-05	2.09211034514781e-05	2.27386161588445e-05	3.14474481727571e-06	1.19813194854248e-05	4.65678276627133e-06	5.93513445339637e-06	1.78965885607757e-06	5.88667878174478e-06	7.73029427107689e-06	3.45951452400468e-06
"K00004"	0	0	3.51514686433571e-07	0	0	0	0	0	0	0	0	0	0	0	0	6.16872992769617e-07	0	0	0	0	0	0	0	0	0
"K00005"	4.08392614960995e-06	1.02061047565682e-06	2.7891504094498e-06	5.40630603402352e-06	1.04703534899501e-06	3.87433401084128e-06	5.84621347067033e-06	3.35322405395088e-06	1.51948866907854e-06	1.79844812118669e-05	8.60330820307533e-06	1.62035202599141e-06	1.5767799584542e-06	4.40360346866961e-06	1.04455156416121e-05	6.92467518091893e-06	1.24381929543798e-05	1.29803394834057e-06	1.53048450608484e-06	2.95271377396272e-06	3.25421765108759e-06	4.98725338752539e-07	3.42407899461081e-06	2.3048760685786e-06	4.31717400804438e-06
"K00007"	0	0	0	0	0	0	0	0	0	1.73180877329525e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00008"	7.82181386044223e-06	2.70382828337018e-06	5.91530410150902e-06	8.67632384503152e-06	1.56159116835495e-06	6.39887216994919e-06	1.1827116903237e-05	5.83991911459984e-06	1.16984998780342e-05	9.72070008783647e-06	7.74729915882578e-06	9.39898837477666e-06	1.46648555024787e-05	6.96626736783689e-06	6.50762167067265e-06	1.00318417004342e-05	6.53945750765416e-06	7.6215250410176e-06	5.59681795845478e-06	1.02126921112299e-05	8.61528944496836e-06	2.79248944098595e-06	1.0628449828811e-05	9.28277532086443e-06	7.1177420649395e-06
"K00009"	6.6516098826467e-06	2.77124919337241e-06	4.79744008625961e-06	1.82025947019324e-05	2.00055967426406e-06	5.62325695145235e-06	1.87174173238231e-05	7.07789472609288e-06	5.08461061410322e-06	4.36853169632094e-05	1.8434390043579e-05	6.47463750986442e-07	4.56652270602258e-06	5.69251159837975e-06	6.46142573837274e-05	3.15271511378472e-05	3.19781185011916e-05	5.36707605177325e-06	5.69168680048892e-06	1.50486397397928e-06	2.80019838173325e-06	9.81829938077833e-07	4.44803500681012e-06	4.96584809727399e-06	3.26456112299948e-06
"K00010"	1.69035875040003e-06	0	1.18977913502524e-06	1.09626329092046e-06	0	0	2.0451842135122e-06	1.59157859073175e-06	0	1.44077302154821e-06	1.306962706803e-06	0	0	0	8.0333502837839e-07	2.23607928542361e-06	1.51137674764016e-06	0	6.29109499128809e-07	0	0	0	2.35193360768918e-06	0	1.27276722770819e-06
"K00012"	7.25194129260604e-05	9.70513541154574e-06	7.4541922681637e-05	4.88464058301464e-05	1.07377549065512e-05	7.10791242964357e-05	6.39122783386115e-05	6.63044556663398e-05	7.9891118284812e-05	3.87615650615425e-05	6.74746472830372e-05	6.49237579416138e-05	8.01491728390762e-05	6.5518150148314e-05	4.7116381767609e-05	4.69420020217337e-05	5.70131321895957e-05	7.33851746053468e-05	6.25290208286541e-05	6.47663983715814e-05	5.41576773164148e-05	1.49144987878256e-05	6.47356795978325e-05	5.42887524764455e-05	5.0601565572864e-05
"K00013"	3.23029693327705e-05	5.86572100648968e-06	3.19065073152441e-05	2.03275076002193e-05	4.7233404777352e-06	2.98467143366817e-05	2.51948921442159e-05	2.68672371480448e-05	2.73175768099407e-05	2.23509856986015e-05	2.80799443948036e-05	2.51088203543032e-05	2.86219916037792e-05	2.75385167378364e-05	1.93930614942285e-05	2.11525299961696e-05	2.0767052860687e-05	2.41787104950292e-05	3.1017475712188e-05	2.56599608025542e-05	2.32508152796527e-05	5.61280707085447e-06	2.56254927624278e-05	2.33117091715832e-05	2.09614440268307e-05
"K00014"	2.67148178525296e-05	3.89120448444841e-06	2.09384612591148e-05	1.05904565542445e-05	2.12345998997029e-06	1.67081183022083e-05	1.37326773205953e-05	1.40607331752232e-05	1.5794136156794e-05	1.46089637078916e-05	1.61195806107979e-05	1.26521290933291e-05	1.48368149273217e-05	1.61468983876913e-05	1.01134886050746e-05	1.09202410771821e-05	1.09850325680081e-05	1.30448472548611e-05	2.57125579095713e-05	1.29234467730379e-05	1.31063829631558e-05	4.13204161882979e-06	1.67751654921e-05	1.51942904787192e-05	1.3771516941763e-05
"K00016"	3.21217965920388e-05	9.7402023853793e-06	1.96654418861872e-05	7.50423161544407e-05	4.16733551151445e-06	2.31872353962016e-05	0.000207394712500097	1.39785975903449e-05	2.87439066981967e-05	0.000393482405141158	0.000145776778179372	3.31037218457203e-06	3.06424378141199e-05	1.13696326634091e-05	0.000357126197986417	0.000264639681864139	0.000146407101973356	3.78940584364384e-05	2.72742967595009e-05	4.2452546082755e-06	8.57517890774106e-06	2.04213661822356e-06	1.62687412960927e-05	2.02490760214889e-05	1.67955091038512e-05
"K00018"	4.65928475601542e-06	3.45137434151568e-07	5.13757837587512e-06	9.59974340532798e-06	1.57202119211436e-06	4.87925304309392e-06	4.96784633188111e-06	4.65102111003749e-06	2.61024614752905e-06	1.09053164187182e-05	7.03122521488648e-06	2.32125715074596e-06	2.25942199335111e-06	4.51911526304457e-06	7.38113846444843e-06	6.63194216520364e-06	1.05280866739992e-05	2.34937077939552e-06	3.73117760868234e-06	2.56006569780548e-06	1.55900690708142e-06	9.8690853387355e-07	3.57069870821105e-06	3.63671827493471e-06	1.79604409715001e-06
"K00019"	0	9.56047312764499e-07	3.64650588574091e-07	0	0	0	0	0	0	2.73312656296793e-07	0	0	0	0	0	1.09807902397892e-06	0	0	0	0	5.16533207510425e-07	0	0	0	0
"K00020"	3.3571268965281e-06	8.17413069844427e-07	3.12598929499432e-06	1.07056633601733e-05	1.18294005169643e-06	3.96942201958285e-06	5.87916525405566e-06	5.31397646965283e-06	1.00595586437673e-06	1.8587867981274e-05	7.88486724030287e-06	8.67878483659647e-07	8.50388648669051e-07	5.57359352494825e-06	1.29409183629362e-05	1.15350088849798e-05	2.02562975379894e-05	1.3839318526755e-06	1.20355559222004e-06	9.22888022579614e-07	5.94465789846103e-07	8.05043082327288e-07	2.71847385468799e-06	3.36613254208121e-06	1.28240697927403e-06
