OTUID	MGJ29	MGJ24	MGJ5	MGJ11	MGJ1	MGJ4	MGJ15	MGJ17	MGJ6	MGJ16	MGJ27	MGJ25	MGJ3	MGJ2	MGJ23	MGJ7	MGJ12	MGJ19	MGJ21	MGJ26	MGJ13	MGJ33	MGJ32	MGJ40	MGJ31
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.007	0.0	0.0	0.002	0.001	0.004	0.008	0.004	0.003	0.015	0.002	0.003	0.0	0.0	0.001	0.005	0.001	0.0	0.0	0.001	0.0	0.001	0.003	0.0	0.001
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.002	0.001	0.008	0.007	0.008	0.009	0.001	0.004	0.001	0.004	0.0	0.005	0.005	0.013	0.002	0.013	0.003	0.003	0.002	0.001	0.008	0.021	0.01	0.02	0.005
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.018	0.022	0.282	0.444	0.276	0.322	0.064	0.256	0.246	0.168	0.018	0.083	0.435	0.417	0.305	0.369	0.383	0.504	0.017	0.727	0.137	0.7	0.417	0.762	0.621
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.015	0.004	0.0	0.0	0.0	0.0	0.002	0.0	0.007	0.009	0.003	0.0	0.0	0.001	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.0	0.0	0.003	0.002	0.0	0.001	0.0	0.003	0.001	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.001	0.0	0.0	0.003	0.006	0.001	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	0.316	0.757	0.098	0.09	0.268	0.098	0.244	0.19	0.109	0.19	0.212	0.691	0.28	0.033	0.082	0.114	0.154	0.132	0.915	0.058	0.235	0.056	0.147	0.009	0.083
k__Bacteria;p__Firmicutes;c__Clostridia	0.654	0.174	0.439	0.365	0.338	0.468	0.66	0.397	0.265	0.547	0.451	0.196	0.216	0.476	0.414	0.425	0.382	0.299	0.045	0.155	0.531	0.182	0.383	0.195	0.155
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.001	0.006	0.031	0.018	0.023	0.024	0.006	0.006	0.019	0.016	0.002	0.006	0.036	0.019	0.013	0.013	0.018	0.005	0.003	0.027	0.015	0.018	0.02	0.009	0.018
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0.0	0.001	0.1	0.041	0.052	0.027	0.005	0.056	0.33	0.032	0.311	0.006	0.012	0.007	0.165	0.009	0.004	0.001	0.013	0.003	0.003	0.0	0.0	0.003	0.109
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.0	0.0	0.0	0.003	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.005	0.004	0.0	0.004	0.006	0.002	0.001	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0	0.001	0.011	0.003	0.012	0.022	0.0	0.011	0.008	0.001	0.002	0.001	0.001	0.011	0.004	0.02	0.013	0.015	0.001	0.0	0.012	0.002	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.0	0.002	0.017	0.019	0.009	0.019	0.002	0.007	0.008	0.006	0.0	0.002	0.011	0.008	0.003	0.013	0.012	0.011	0.0	0.02	0.021	0.008	0.009	0.001	0.008
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.0	0.0	0.001	0.002	0.0	0.0	0.001	0.001	0.001	0.001	0.0	0.0	0.001	0.0	0.001	0.001	0.001	0.001	0.0	0.0	0.009	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.0	0.005	0.003	0.0	0.001	0.0	0.001	0.003	0.0	0.0	0.0	0.0	0.0	0.003	0.004	0.004	0.002	0.017	0.0	0.003	0.001	0.002	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.001	0.027	0.0	0.002	0.002	0.001	0.003	0.03	0.002	0.016	0.002	0.006	0.0	0.005	0.002	0.001	0.002	0.0	0.001	0.0	0.017	0.001	0.0	0.0	0.0
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia	0.0	0.001	0.007	0.001	0.005	0.002	0.003	0.01	0.001	0.002	0.0	0.0	0.001	0.002	0.003	0.006	0.004	0.001	0.001	0.001	0.002	0.002	0.004	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.003	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes	0.0	0.001	0.0	0.001	0.002	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.001	0.0	0.001	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__[Thermi];c__Deinococci	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
