"","WDG002","WDG004","WDG018","WDG027","WDG028","WDG033","WDG040","WDG048","WDG058","WDG087","WDG092","WDG127","WDG132","WDG140","WDG146","WDG154"
"K00001..alcohol.dehydrogenase..EC.1.1.1.1.",0.000298660348681207,0.000158735727908798,0.000191413504083362,0.000358869118326778,0.000389882228380362,0.000235759137888188,0.000646360749615122,0.000138803617337544,0.000220177376358121,0.000718264969474162,0.000315781564962024,0.000269812284110595,0.000324562694204869,0.000354045111827399,0.000874240019663001,0.000229770395138515
"K00002..alcohol.dehydrogenase..NADP....EC.1.1.1.2.",7.38923996953276e-06,1.23069046300726e-05,1.28440077536319e-05,1.06778948607589e-05,8.898513688945e-06,1.23264516487219e-05,2.23592194290334e-05,1.37762079542885e-05,1.27161905564799e-05,3.26062606417544e-05,7.95956227417147e-06,8.32891877575818e-06,9.57088273927077e-06,4.20542148154118e-06,8.60886790216991e-06,7.66672038070122e-06
"K00003..homoserine.dehydrogenase..EC.1.1.1.3.",0.000773450170275915,0.000195225545758911,0.000266356888979859,0.000685393840424271,0.000816798228178349,0.000383964514561109,0.000697384879252909,0.000216042430065919,0.000312094353053421,0.000655221229046232,0.000772747871400562,0.000742295492869313,0.00071538809555784,0.000794612964879485,0.000870333613430384,0.000484666296380716
"K00004...R.R..butanediol.dehydrogenase...diacetyl.reductase..EC.1.1.1.4.1.1.1.303.",9.61517252727125e-07,5.3167397331901e-07,1.02279821418604e-06,1.71388423905987e-06,1.29478951855061e-06,1.71021199650784e-06,1.38523964519862e-05,9.89485722713081e-07,8.70996445635524e-07,1.47460166632963e-05,1.04659613390732e-06,1.0109364802298e-06,1.61684852136764e-06,7.63558726768837e-07,1.0524533499722e-05,1.1014457290995e-06
"K00005..glycerol.dehydrogenase..EC.1.1.1.6.",0.000277867981117408,7.65659253106089e-05,7.29660791160284e-05,0.00016861698071035,0.00017531523459593,9.80743823037723e-05,0.000188631355493902,5.85251435054833e-05,9.7098466180022e-05,0.000283235027133212,0.00025410673990887,0.000204722890660982,0.000212331521464509,0.000395303969644085,0.000418921029152603,0.000113100593448236
"K00007..D.arabinitol.4.dehydrogenase..EC.1.1.1.11.",5.36269399327911e-07,4.83688544830349e-07,8.45787428105675e-07,2.24359904722469e-06,1.4209890279685e-06,2.14779553117048e-07,8.32721510982763e-06,2.15226724260837e-07,2.78588980495879e-07,7.29284071603814e-06,2.06961124276079e-06,9.43758826073417e-07,4.42792683028722e-07,2.44784389051232e-07,8.68220484269483e-07,4.91518235627379e-07
"K00008..L.iditol.2.dehydrogenase..EC.1.1.1.14.",0.000203451464025685,0.00012994296136251,0.000127830383742204,0.000148062701546643,0.00014451268850198,0.00014296979720904,0.000508368618641163,0.00014918976425161,0.000132268957931392,0.000371315926953949,0.000252578823387607,0.000194401807278303,0.000195821896586032,0.000176753325060426,0.00037793312027784,9.96762229578198e-05
"K00009..mannitol.1.phosphate.5.dehydrogenase..EC.1.1.1.17.",8.79607381063397e-05,5.61916994924626e-05,5.23837492218104e-05,5.48107801956439e-05,4.80549863313883e-05,6.10548964329094e-05,0.000220440100002253,5.67572737471908e-05,5.65985367597379e-05,0.000256342547377462,0.000109779448476242,7.71592395538442e-05,8.85591556531556e-05,0.000147566658614292,0.000307569660878055,3.49353758468753e-05
"K00010..myo.inositol.2.dehydrogenase..EC.1.1.1.18.",0.000291642891910441,0.000360752436872283,0.000364193274130372,0.000238917557799238,0.000191361675407422,0.000337073215913542,0.000141925350018964,0.000340411307898317,0.00034133716524801,0.000107246449463392,0.000398662827102428,0.000309924298542573,0.000393583474336825,0.00024795519926276,0.000104778715995744,0.000148409485604458
"K00011..aldehyde.reductase..EC.1.1.1.21.",4.11000814802494e-07,4.82844484905887e-06,4.15903380984516e-06,3.17194539470902e-07,3.08560771043523e-07,3.58150051533386e-06,1.57293501615932e-07,5.3750735891918e-06,3.48342098897164e-06,4.53948229317093e-07,5.86079605594183e-08,4.42674863121695e-08,1.16567841617158e-07,1.94613910697261e-08,3.44034736597259e-08,1.20614419880191e-06
