"","WDG002","WDG004","WDG018","WDG033","WDG040","WDG048","WDG058","WDG087","WDG092","WDG127","WDG132","WDG140","WDG146","WDG154"
"K01365",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01364",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01361",1.81615927716861e-06,0,0,0,0.000158133609599153,1.11007011202828e-06,0,0.000135405077550815,0,0,0,2.61020016506409e-05,2.59413129676732e-06,1.4909573437104e-06
"K01360",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01362",0.000966196735453699,0.000986766033901639,0.0010496285708897,0.00111760850775519,0.000762588248160404,0.00100794366172167,0.00106532461153734,0.000661670172774087,0.000919203661841194,0.000936722577494238,0.000728034995889113,0.00109752702178647,0.000727653828743234,0.00037721220795873
"K02249",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K05841",2.72423891575291e-06,2.09282297752203e-05,7.54420535326972e-05,2.21622083690831e-05,2.95576840372249e-06,5.66135757134421e-05,1.95293237678706e-05,0,0,7.63114116084919e-06,3.58637929009415e-06,1.49154295146519e-05,0,0
"K05844",1.08969556630116e-05,4.18564595504407e-06,4.59212499764244e-05,3.95753720876484e-06,0.000357647976850422,3.77423838089614e-05,0,0.000290353155985253,0,7.63114116084919e-06,8.96594822523538e-07,3.10738114888582e-05,3.89119694515098e-06,0
"K05845",3.63231855433722e-05,3.45315791291136e-05,8.69223660268032e-05,3.95753720876484e-05,6.94605574874786e-05,8.88056089622621e-05,3.7105715158954e-05,0.000369921088154289,6.34292119596299e-05,1.43083896765922e-05,4.8416120416271e-05,4.72321934630644e-05,0.00122442997207418,2.31098388275111e-05
"K05846",0.000303298599287157,0.000266834929634059,0.000271427388253508,0.000182838219044935,0.000468489291990015,0.000594997580047156,0.000206034365751034,0.000838953109361237,0.000507433695677039,0.000541811022420293,0.000289600127675103,0.000256048206668191,0.001889824649695,0.000191588018666786
"K05847",0.000246997661694931,0.000212421532218487,0.000255026941833357,0.000151177921374817,0.000390161429291369,0.000183161568484666,0.000158187522519751,0.000558371453817795,0.000495995641061368,0.000457868469650952,0.00022056232634079,0.000193900583690475,0.0012698272697676,0.000105112492731583
"K00508",0,0,0,7.91507441752967e-07,9.01509363135361e-05,0,0,0.000118653933936281,0,0,0,0,1.29706564838366e-06,0
"K00500",0,0,0,0,0.00010640766253401,1.11007011202828e-06,9.76466188393528e-07,0.00012144579120537,0,0,0,0,1.29706564838366e-06,0
"K00507",4.63120615677995e-05,7.84808616570763e-05,0.000305048303414819,0.000215290024156807,6.05932522763111e-05,0.00023200465341391,0.000103505415969714,8.37557180726692e-06,1.66371703500669e-05,3.24323499336091e-05,2.06216809180414e-05,5.34469557608361e-05,0,2.98191468742079e-06
"K00504",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K00505",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K12521",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01101",0.000160730096029422,0.000156961723314153,0.000123823370472144,4.51159241799191e-05,0.000316267219198307,4.21826642570745e-05,7.61643626946952e-05,0.000365733302250656,0.00025371684783852,0.00022034920101952,0.000123730085508248,0.000124295245955433,0.000645938692895063,0.000107348928747149
"K01103",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K12520",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01104",0.00199868328452405,0.00145137273491153,0.0014612797760355,0.00161467518117605,0.00142763613899796,0.00147084289843747,0.00127331190966516,0.00181749908217692,0.00176457988025397,0.00175134689641489,0.00166497658542621,0.00202601250907355,0.00267454936696711,0.00165943552354967
"K05592",0.000585711366886876,0.000708420577891209,0.0006601179684111,0.000682279414791058,0.00052169312325702,0.000452908605707537,0.000663020541919205,0.000473219807110581,0.000357699162526438,0.000382510950687566,0.000475195255937475,0.000305766305050364,2.46442473192896e-05,0.00047039704194063
"K05593",4.99443801221367e-05,7.32488042132712e-06,1.72204687411591e-05,1.02895967427886e-05,0.00013005380976379,1.33208413443393e-05,1.659992520269e-05,4.32737876708791e-05,1.45575240563085e-05,3.72018131591398e-05,2.42080602081355e-05,0.00031322401980769,2.20501160225222e-05,5.66563790609951e-05
"K05590",0,0,0,0,1.47788420186125e-06,0,0,1.39592863454449e-06,0,0,0,0,0,0
"K05591",0,0,0,0,2.95576840372249e-05,1.11007011202828e-06,0,8.37557180726692e-06,0,0,0,0,0,0
"K05596",0,0,8.20022321007578e-07,0,4.72922944595599e-05,2.22014022405655e-06,0,1.11674290763559e-05,0,0,0,0,2.59413129676732e-06,0
"K05597",0,0,0,0,2.80797998353637e-05,0,0,6.97964317272244e-06,0,0,0,0,0,0
"K05594",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K05595",3.63231855433722e-05,4.70885169942458e-05,0.000118903236546099,0.000167799577651629,0.000215771093471742,0.000109896941090799,7.81172950714822e-05,0.000248475296948919,2.07964629375836e-05,1.04928190961676e-05,1.43455171603766e-05,1.98872393528692e-05,3.89119694515098e-06,3.72739335927599e-06
"K05599",0,0,0,0,1.47788420186125e-06,0,0,1.39592863454449e-06,0,0,0,0,0,0
"K11964",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K11962",2.72423891575291e-06,2.09282297752203e-05,7.54420535326972e-05,2.21622083690831e-05,2.95576840372249e-06,5.66135757134421e-05,1.95293237678706e-05,0,0,7.63114116084919e-06,3.58637929009415e-06,1.49154295146519e-05,0,0
"K14540",0.000693772843878408,0.000361011963622551,0.00053137446401291,0.000540599582717277,0.000487701786614212,0.000827002233461065,0.000405233468183314,0.000633751600083197,0.000681084161205862,0.000875673448207445,0.0005827866346403,0.000733341951137053,0.000699118384478794,0.000666457932638547
"K12529",0,0,0,0,2.95576840372249e-06,0,0,0,0,0,0,0,0,0
"K12528",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06353",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K02456",5.0852459760721e-05,3.76708135953966e-05,7.46220312116896e-05,0.000148803399049558,7.24163258912011e-05,4.10725941450462e-05,6.15173698687922e-05,1.53552149799894e-05,3.32743407001337e-05,0.000167885105538682,5.28990945288887e-05,1.11865721359889e-05,1.29706564838366e-06,5.96382937484159e-06
"K02457",0,2.09282297752203e-06,0,0,5.91153680744499e-05,2.10913321285372e-05,0,1.25633577109004e-05,0,0,0,0,0,0
