"","WDG002","WDG004","WDG018","WDG027","WDG028","WDG033","WDG040","WDG048","WDG058","WDG087","WDG092","WDG127","WDG132","WDG140","WDG146","WDG154"
"K00001",5930.95,558.16,1487.41,426.07,750.28,1923.01,8255.91,1025.24,3060.16,15832.23,3932.86,1534.62,2065.74,207.52,1368.43,6290.27
"K00002",0,4,10,0,0,2,3.67,6.33,10,39,2,4,2,2,20.33,107
"K00003",18361.87,5711.62,9868.83,1413.14,3038.36,7957.45,19024.96,8033.59,54730.95,32726.03,29271.47,23585.58,31289.49,7300.04,62634.18,12108.03
"K00004",584.29,197.6,197.05,114.88,195.11,326.92,1155.1,1120.82,1149.29,859.46,1939.41,279.57,1075.12,130.57,550.93,2071.26
"K00005",2178.44,8740.9,7771.65,764.58,2017.45,2006.05,2134.77,16034.24,10891.17,2280.62,2672.04,1593.75,3136.26,1045.58,1268.71,8431.69
"K00007",634.28,939.96,447.33,67.74,127.16,495.38,728.7,412.39,2401.02,561.83,543.33,713.21,2084,424.7,299.12,2464.41
"K00008",3659.5,625.08,451.42,404.68,662.09,2718.58,4883.78,2079.57,7399.91,2693,5656.76,1154.26,4074.79,100.65,1223.85,3295.38
"K00009",4228.34,8790.16,7542.31,906.6,2214.86,3842.9,5300.18,16992.5,13189.83,2140.65,3605.28,1623.09,2336.94,617.08,1498.55,5927.46
"K00010",1184.54,1905.07,1518.28,272.31,566.43,1243.89,2179.91,3043.26,9294.71,3069.2,3324.84,1021.07,3206.94,538.78,1304.94,3598.57
"K00012",14103.49,12282.48,15890.12,1953,4711.89,8867.2,16861.27,22985,57971.76,32766.15,29912.69,23971.43,34117.76,7874.15,63390.23,16075.74
"K00013",16176.14,14136.33,17198.66,2061.08,4846.84,9311.93,18156.65,23344.56,61591.37,33316.01,30101.47,24602.72,34601.79,7231.07,63487.67,15955.06
"K00014",24788.97,23188.49,24522.05,2616.64,5786.53,13199.79,23488.18,41149.55,77010.42,37246.94,38188.98,26877.55,39107.4,8948.05,65388.38,22345.69
"K00015",620.5,531.8,829.5,246.51,416.67,1389.16,2889.51,2109.82,4997.84,1502.83,1403.21,642.67,841.93,95.66,753.01,986.07
"K00016",15975.94,1514.18,759.73,700.85,991.48,3861.11,11140.78,3009.85,11329.46,6668.35,3555.85,2951.53,2320.75,398.96,1368.52,5066.95
"K00018",9476.33,2312.33,4558.58,429,806,1550.47,2586.38,2182.14,14762.63,1910.19,23510.33,20648.33,25099.33,5664,4260.34,4883.33
"K00019",992.69,1193.18,801.15,277.65,562.85,766.96,4158.37,654.51,3410.92,2519.91,2540.93,890.06,2320.18,556.38,1095.42,3955.57
"K00020",14035.16,5294.42,9540.3,1175.97,2255.2,6082.61,16359.85,5376.6,47608.2,35782.7,30796.32,22426.04,31928.75,6448.02,62679.11,12523.55
"K00021",202.82,192.5,179,196.33,925.34,160.16,274.88,253.46,1214.33,208.86,380.34,240.16,1047.17,48.66,161.17,1302.17
"K00023",789,318,595.5,194.17,411.17,396,2325.38,847.97,3693.17,1765.36,1053.67,6558,3778.58,242,528.5,1568.5
"K00024",13799.91,13333.41,16030.46,1830.84,4355.63,7830.9,14230.97,22020.66,60328.36,30536.28,28811.96,23922.19,34027.43,7129.67,63075.99,14497.59
"K00027",8271.79,8805.96,8973.24,1314.85,3530.8,2816.84,9930.35,16567.56,15615.34,27991.74,6605.32,2763.82,4967.99,1768.45,58609.43,10770.86
"K00028",1,11,5,3,20,5,0,2,37,0,0,6,7,1,12,123
"K00029",11334.26,11316.33,14350.63,1268.17,2894.29,6042.42,7810.63,19056.52,48142.11,5603.11,26204.11,21855.36,29765.15,6502.35,5607.6,12003.94
"K00030",302,203,832,40,84,137.5,242.5,374,1508,103.5,446,478,736,60.5,258,680
"K00031",13382.08,13385.05,16619.36,1928.58,4587.57,8727.31,19243.3,22469.6,60380.22,37754.37,29657.37,23934.88,33706.73,7136.6,63407.24,17820.95
"K00033",18643.01,11402.4,13900.56,1670.95,3443.46,8907.64,17902.83,21220.06,53924.37,36460.68,29905.68,23669.09,31848.85,6978.39,63192.45,12908.75
"K00034",35,33.82,59.67,9.34,10.01,17.32,84.06,240.49,578.13,17.95,16.82,37,27.59,12.5,80.13,85.66
"K00035",0,0,0,0,0,0,39,3,0,3,0,42,0,1,6,0
"K00036",15845.84,12300.63,15225.89,1717.95,3583.29,10775.81,19039.28,23303.56,58058.66,37355.23,29856.24,23901.09,31220.08,6989.89,63063.66,14712.24
"K00038",195,118.4,131,62,118,222.33,1576,78.99,498.33,5340,1502.27,71,518.8,21.33,385.99,349.88
"K00039",366.28,793.96,279.33,27.41,51.16,449.38,474.7,283.72,1430.69,508.83,293.33,331.21,340,392.7,193.12,525.08
"K00040",2184.01,8835.15,8050.37,890.11,2343.21,2273.86,2385.22,16363.89,13968.67,2578.12,6728.71,1684.34,4627.63,1027,1645.33,7535.05
"K00041",1024.28,7600.71,6699.41,608.83,1699,1152.3,1042.7,14135.39,4950.55,846.91,1169.41,784.88,824.84,500.53,696.88,4434
"K00042",1752.26,1441.88,1829.21,908.6,2373.46,2498.22,3208.09,1953.5,7780.24,3136.84,5208.24,1411.7,3385.75,696.67,1760.74,6064.17
"K00043",0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0
"K00045",164,254.4,132,50,35,1210,245,1634,3687,449,13.6,168,19.8,2,51,32.2
"K00046",1490.31,7215.94,6554.39,256.54,530.66,1443.59,2743.35,15697.75,6607.43,2651.04,4679.34,1022.85,3276.44,374.9,1370.06,6302.6
"K00048",1023.5,7882.25,5839.08,47.42,56.17,942.45,993.41,13857.72,1718.07,1800.58,693.41,265.17,375.84,39.33,387.59,2245.59
"K00050",1694.56,8257.52,6919.87,350.07,616.54,1172.71,3185.43,15526.15,8901.55,1460.89,3089.92,7189.03,4913.14,505.4,972.35,3656.26
"K00052",13647.49,13467.23,17178.79,1998.01,4782.22,8878.71,17393.31,23046.74,61064.9,34187.86,30055.64,24467.27,34426.83,7218.16,63616.07,17150.88
"K00053",13689.49,14096.48,17252.79,2018.34,4812.55,9182.21,18833.72,23102.66,61817.73,35070.86,30065.97,24514.77,34588.47,7227.66,63541.23,17330.63
"K00054",3553.05,417.67,761.03,293.17,1096.32,636.63,2146.54,618.16,1885.27,1099.53,679.22,915.55,998.56,83.35,308.47,2097.39
"K00055",2782.91,868.97,581.45,113.79,188.67,689.25,1262.83,498.42,3501.94,1409.45,832.84,529.09,602.99,262.57,307.87,689.2
"K00057",17331.14,12429.98,16272.74,1909.84,3919.28,9358.01,20101.75,23256.59,60403.67,37776.48,30601.77,24574.91,34474.46,7868.03,63405.45,17423.34
"K00058",17645.55,16226.03,18621.11,2346.16,5296.74,10616.11,22613.18,25014.94,70381.19,40981.24,32579.6,26256.23,40498.81,7798.13,64673.02,23901.49
"K00059",43094.93,33424.92,44175.23,6383.49,13728.52,24588.1,65642.11,60191.68,168507.76,110186.34,78734.56,56304.2,85063.76,18571.65,190114.98,59352.25
"K00060",2388.42,8147.06,7550.06,836.6,2071.69,2812.65,2139.21,16925,13408.7,1309.2,4101.67,1583.34,3041.06,1245.58,1206.73,6993.59
"K00064",604.78,287.96,337.08,84.58,174.08,326.67,812.12,228.83,1817.87,876.33,1702.67,668.96,1651.36,421.03,372.17,1598.64
