"WDG002"	"WDG004"	"WDG018"	"WDG033"	"WDG040"	"WDG048"	"WDG058"	"WDG087"	"WDG092"	"WDG127"	"WDG132"	"WDG140"	"WDG146"	"WDG154"
"K00001"	7.6200863036599e-07	0	0	5.12217929449243e-07	2.11074126608805e-05	3.3676908135365e-07	3.13205429811094e-07	4.96813743624754e-05	0	0	0	6.46878693418782e-07	3.94038211944091e-05	0
"K00003"	5.17730612758337e-06	6.09236950598448e-07	1.0501130827862e-06	1.16042938333447e-06	5.87381538475274e-05	6.42073711750807e-07	6.74259643632338e-07	6.4504867071831e-05	9.84688279894738e-07	7.08256281082515e-07	8.55018564156662e-06	1.2641103568408e-06	3.89301971770308e-05	1.55001916171275e-06
"K00004"	0	0	0	2.73822672484516e-07	3.74503589303162e-07	1.98125909671271e-07	0	1.20402582081399e-06	0	0	0	0	1.63807663725299e-07	0
"K00005"	0	0	3.38332570299611e-07	8.2081450337342e-07	1.23594092878574e-06	0	2.97349715472033e-07	1.63909540353158e-06	0	0	0	2.82736769110368e-07	3.99388439693698e-07	0
"K00008"	0	0	0	0	0	0	0	2.20393262017981e-05	0	0	0	0	1.20241653728e-05	6.39048769167078e-07
"K00009"	0	0	1.69607985020381e-07	7.36770816250454e-07	6.6113908737534e-07	2.47020795345224e-07	0	1.66929567268111e-05	0	0	0	4.4415031435355e-07	7.9929448910373e-06	0
"K00010"	0	0	0	0	0	0	0	1.58399161380685e-07	0	0	0	0	0	0
"K00012"	4.44327881768391e-05	2.86235266469606e-05	2.5278124162646e-05	3.9138392611937e-05	3.11253541352782e-05	1.42839785179569e-05	3.86357176951824e-05	2.94354676763668e-05	4.45781232846266e-05	5.87570198817457e-05	3.50440233505339e-05	3.87591078931341e-05	3.41406081819081e-05	5.86531355718087e-05
"K00013"	9.63550530311677e-06	3.59569618543032e-06	3.49545836086035e-06	7.25731332488811e-06	6.91061182428212e-05	2.04598328937002e-06	6.68273371984415e-06	6.50827924038157e-05	5.20323340668174e-06	4.41231856849321e-06	1.01871742082896e-05	6.36591221459191e-06	4.3031236150136e-05	1.08709263286231e-05
"K00014"	1.17759860018049e-06	8.22006259626252e-07	5.43053293529817e-07	1.17567434007335e-06	1.10203092244092e-05	6.60271649185248e-07	8.2228375341934e-07	1.82915346684512e-05	0	0	1.19203277678525e-06	3.31503985977564e-07	1.06746564178812e-05	1.78860494816251e-06
"K00016"	2.74443042374093e-06	3.41697514518035e-07	6.92535420288559e-07	1.68925778528109e-06	1.68650493442188e-06	2.67216302561735e-07	5.31288862967566e-07	2.59178961003322e-05	4.18573452710602e-07	0	3.68789438888436e-06	9.17222633157335e-07	5.07385129565075e-06	4.27384202253621e-07
"K00018"	0	0	0	0	6.17640693592667e-07	0	0	0	0	0	0	0	0	0
"K00019"	0	0	0	0	1.42794861506066e-05	0	0	2.7531005150845e-05	0	0	0	4.63208216484516e-07	6.24547412307872e-06	0
"K00020"	0	0	1.97382277145249e-07	7.01665820801534e-07	1.63366168910163e-05	0	0	9.99593653989077e-06	0	0	0	2.68518600269717e-07	7.04837168475294e-06	0
"K00023"	0	0	0	0	1.87767651241656e-05	0	0	6.33526856171584e-06	0	0	0	0	2.43025109748777e-06	0
