# Constructed from biom file
#OTU ID	WDG002	WDG018	WDG033	WDG040	WDG058	WDG127	WDG132	WDG154	WDG004	WDG027	WDG092	WDG028	WDG048	WDG140	WDG146	WDG087
366623	7.0	4.0	29.0	8.0	17.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
346085	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
145754	220.0	22.0	204.0	221.0	4099.0	27.0	2884.0	626.0	617.0	116.0	771.0	10.0	11.0	10.0	39.0	2.0
290588	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43373	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
4380358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
509433	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
337735	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
813781	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
577110	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
748537	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
193894	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
193895	2.0	5.0	0.0	4.0	25.0	1.0	3.0	4.0	1.0	0.0	4.0	0.0	9.0	0.0	0.0	0.0
1110988	538.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
593422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	17.0
791973	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
187248	1.0	5.0	1.0	1.0	7.0	6.0	4.0	478.0	0.0	0.0	3.0	1.0	16.0	1.0	1.0	0.0
292428	0.0	0.0	0.0	259.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0
4446547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0
807035	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316598	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
327672	16.0	2.0	7.0	6.0	23.0	145.0	104.0	8.0	2.0	11.0	24.0	4.0	4.0	0.0	14.0	10.0
327176	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
531582	59.0	1.0	27.0	23.0	4.0	16.0	68.0	90.0	0.0	3.0	15.0	5.0	1.0	3.0	47.0	543.0
529506	0.0	0.0	1.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0
720949	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
181768	0.0	0.0	27.0	4.0	94.0	0.0	10.0	92.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0
4362724	0.0	0.0	1.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
258980	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
17652	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0
308974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0
554303	1.0	1.0	0.0	0.0	2.0	0.0	0.0	91.0	0.0	4.0	0.0	3.0	1.0	0.0	0.0	1.0
4388068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
312588	0.0	0.0	0.0	1.0	2.0	4.0	1.0	27.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	6.0
446153	5.0	22.0	17.0	1.0	0.0	8.0	7.0	3.0	9.0	0.0	0.0	3.0	24.0	0.0	1.0	2.0
345944	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
593347	30.0	0.0	2.0	2.0	20.0	2.0	44.0	16.0	1.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0
295086	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	52.0
167609	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	2.0	1.0	3.0
575419	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
312347	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
340614	13.0	0.0	0.0	8981.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	36.0	3066.0
289559	0.0	4.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
356394	252.0	36.0	19.0	82.0	487.0	253.0	97.0	4.0	40.0	15.0	137.0	15.0	33.0	43.0	25.0	7.0
186984	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
297065	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
361966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
149226	96.0	20.0	10.0	9.0	32.0	861.0	528.0	7.0	8.0	6.0	72.0	8.0	3.0	16.0	36.0	5.0
848615	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
273681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
355785	0.0	0.0	0.0	280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
4472130	0.0	2.0	0.0	0.0	4.0	0.0	0.0	10.0	0.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0
64192	2.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0
4469164	1.0	0.0	0.0	0.0	0.0	4.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
249776	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
997777	7.0	50.0	0.0	7.0	139.0	4.0	1.0	12.0	50.0	11.0	31.0	3.0	18.0	1.0	0.0	2.0
