OTUID	WDG002	WDG018	WDG033	WDG040	WDG058	WDG127	WDG132	WDG154	WDG004	WDG092	WDG048	WDG140	WDG146	WDG087
366623	4.0	3.0	29.0	3.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
346085	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
145754	108.0	9.0	204.0	21.0	702.0	14.0	724.0	263.0	517.0	326.0	4.0	9.0	2.0	0.0
290588	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43373	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
509433	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
337735	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
577110	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
193894	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
193895	1.0	3.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0
1110988	262.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
187248	0.0	4.0	1.0	0.0	2.0	4.0	0.0	215.0	0.0	2.0	7.0	1.0	0.0	0.0
292428	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
4446547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	18.0	0.0	0.0	0.0
807035	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
327672	6.0	1.0	7.0	1.0	5.0	95.0	23.0	2.0	1.0	10.0	2.0	0.0	0.0	0.0
327176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
531582	28.0	1.0	27.0	1.0	0.0	7.0	17.0	34.0	0.0	6.0	0.0	3.0	1.0	47.0
529506	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0
720949	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
181768	0.0	0.0	27.0	0.0	13.0	0.0	3.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
4362724	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17652	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
308974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
554303	1.0	0.0	0.0	0.0	2.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
312588	0.0	0.0	0.0	1.0	0.0	3.0	0.0	10.0	0.0	0.0	0.0	1.0	0.0	0.0
446153	2.0	15.0	17.0	0.0	0.0	2.0	3.0	1.0	8.0	0.0	15.0	0.0	0.0	0.0
345944	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
593347	18.0	0.0	2.0	0.0	1.0	1.0	7.0	5.0	1.0	6.0	0.0	0.0	0.0	0.0
295086	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
167609	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
312347	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
340614	8.0	0.0	0.0	1069.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	230.0
289559	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
356394	121.0	25.0	19.0	8.0	89.0	146.0	21.0	1.0	32.0	66.0	11.0	37.0	2.0	2.0
186984	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
297065	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
149226	45.0	13.0	10.0	0.0	5.0	504.0	137.0	3.0	4.0	29.0	1.0	14.0	2.0	0.0
848615	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
