OTUID	WDG002	WDG018	WDG033	WDG040	WDG058	WDG127	WDG132	WDG154	WDG004	WDG092	WDG048	WDG140	WDG146	WDG087
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0	0.0	0.0	0.0132575757576	0.0	0.0	0.0	0.000378787878788	0.0	0.000378787878788	0.0	0.0	0.000378787878788	0.000757575757576
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.123106060606	0.00340909090909	0.00568181818182	0.00378787878788	0.00265151515152	0.00113636363636	0.00416666666667	0.0102272727273	0.00113636363636	0.0503787878788	0.0030303030303	0.108333333333	0.000378787878788	0.00189393939394
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.0	0.0	0.000378787878788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.0458333333333	0.177651515152	0.080303030303	0.0125	0.435606060606	0.00757575757576	0.275378787879	0.112121212121	0.529924242424	0.125378787879	0.0189393939394	0.00416666666667	0.0	0.000378787878788
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	0.0	0.0715909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00113636363636	0.121590909091
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.0	0.0	0.0	0.000757575757576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.000757575757576	0.0	0.0030303030303	0.0	0.00189393939394	0.00151515151515	0.000378787878788	0.00151515151515	0.0	0.00530303030303	0.00227272727273	0.000757575757576	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.0030303030303	0.0662878787879	0.0215909090909	0.00265151515152	0.0140151515152	0.00795454545455	0.00151515151515	0.00227272727273	0.0147727272727	0.000757575757576	0.0371212121212	0.00871212121212	0.0	0.000378787878788
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	0.00113636363636	0.0227272727273	0.0450757575758	0.000757575757576	0.00909090909091	0.0	0.00681818181818	0.0	0.00340909090909	0.0	0.00492424242424	0.0	0.000378787878788	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	0.0106060606061	0.00378787878788	0.00378787878788	0.743939393939	0.00113636363636	0.0	0.00113636363636	0.000378787878788	0.00189393939394	0.000378787878788	0.00568181818182	0.0931818181818	0.907575757576	0.731060606061
k__Bacteria;p__Firmicutes;c__Clostridia	0.552272727273	0.474242424242	0.642424242424	0.0776515151515	0.370454545455	0.748106060606	0.65303030303	0.813257575758	0.223106060606	0.534090909091	0.77196969697	0.704924242424	0.0617424242424	0.0367424242424
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.189015151515	0.155303030303	0.0481060606061	0.00643939393939	0.0795454545455	0.220075757576	0.0340909090909	0.0515151515152	0.167803030303	0.264015151515	0.0257575757576	0.0628787878788	0.0261363636364	0.00492424242424
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.0238636363636	0.0329545454545	0.135606060606	0.00265151515152	0.030303030303	0.00151515151515	0.00833333333333	0.000378787878788	0.00871212121212	0.00606060606061	0.00227272727273	0.000378787878788	0.000378787878788	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia	0.00189393939394	0.0208333333333	0.00113636363636	0.0	0.000378787878788	0.00416666666667	0.0	0.0	0.000378787878788	0.0	0.00757575757576	0.00113636363636	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.00113636363636	0.0	0.0	0.00340909090909	0.0219696969697	0.0	0.0	0.00113636363636	0.000378787878788	0.0	0.0	0.000378787878788	0.000378787878788	0.00151515151515
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.000757575757576	0.000378787878788	0.0	0.0162878787879	0.0	0.0	0.0	0.000378787878788	0.0	0.000378787878788	0.000757575757576	0.0	0.000378787878788	0.00833333333333
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.00113636363636	0.0155303030303	0.0	0.000378787878788	0.0094696969697	0.00113636363636	0.000378787878788	0.00113636363636	0.0162878787879	0.00871212121212	0.00227272727273	0.00113636363636	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.0	0.0	0.0	0.00984848484848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000378787878788	0.00681818181818
k__Bacteria;p__Spirochaetes;c__[Brachyspirae]	0.000378787878788	0.000378787878788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00113636363636	0.0	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3	0.00113636363636	0.0	0.000378787878788	0.000757575757576	0.00606060606061	0.0	0.00151515151515	0.0	0.0	0.0	0.0	0.00113636363636	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes	0.00606060606061	0.0	0.00795454545455	0.0329545454545	0.0159090909091	0.00568181818182	0.00227272727273	0.00340909090909	0.0113636363636	0.00113636363636	0.0977272727273	0.00833333333333	0.000757575757576	0.0856060606061
k__Bacteria;p__Verrucomicrobia;c__Opitutae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000757575757576	0.0	0.00871212121212	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verruco-5	0.0378787878788	0.0265151515152	0.00454545454545	0.000378787878788	0.00151515151515	0.00113636363636	0.0109848484848	0.00189393939394	0.0200757575758	0.0030303030303	0.00984848484848	0.00454545454545	0.0	0.0
