"","X001","X003","X006","X007","X010","X011","X013","X015","X018","X020","X021","X024","X025","X028","X029","X031","X034","X035","X037","X039","X081","X082","X083","X084","X085","X086","X091","X093","X094","X098","X099","X100","X101","X107","X108","X109","X116","X118","X119","X120"
"K01364",5.11292926875908e-08,0,0,0,4.92802496340325e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4402576901668e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01361",1.24755474157722e-05,1.57245198308209e-07,0,1.03636143174023e-06,6.89923494876456e-07,1.74985691679229e-06,1.54272150678227e-07,9.41483194736808e-08,1.52448312272684e-07,3.4403294918232e-07,6.23316033820131e-08,1.8220654679055e-07,9.70389580849439e-08,0,1.40345477730227e-06,0,5.81906377664804e-08,0,6.63346542087181e-06,1.37438140238397e-07,1.10845310215288e-07,1.0087325472247e-07,5.70641444923485e-08,4.22848518197138e-08,1.45314282824607e-07,8.97667639543893e-08,0,6.29789073562639e-08,1.49922171652641e-07,0,5.18950893026265e-08,3.56786809391856e-07,1.06402108464181e-07,0,0,1.81826582789708e-06,8.03582176483039e-08,0,6.68756799166783e-08,1.30146700058839e-07
"K01362",0.00048409214316611,0.000405849856833488,0.000356156783381883,0.000375064137201225,0.000379014399935344,0.000556908166148007,0.000400233382909546,0.000347266076378671,0.000416183892504426,0.000499191809263546,0.00058398479208608,0.000878296291046048,0.000406593234375915,0.000805005046787193,0.000790888045091516,0.000746153846153846,0.000426595565466068,0.000542776264025738,0.000585934644651376,0.000305066858615828,0.000527568253969662,0.000489033538894533,0.000643683549873691,0.000275105245939058,0.000774379813172333,0.000344345306529037,0.00044256003075506,0.000451999618095906,0.000753958601241131,0.000681335562544331,0.000484700134086532,0.00073034259882513,0.000509400094272268,0.000318554270903547,0.000409784704016041,0.000316431732460794,0.000315647078922538,0.000271608515784454,0.000493007512345752,0.000553448842000214
"K05841",0,0,0,0,0,0,0,9.41483194736808e-08,5.08161040908946e-08,0,0,1.214710311937e-07,1.94077916169888e-07,0,1.65112326741444e-07,0,0,0,0,0,1.10845310215288e-07,0,0,0,2.17971424236911e-07,4.48833819771947e-08,9.70313595165665e-08,6.29789073562639e-08,0,0,0,0,1.96843900658735e-06,0,0,0,8.03582176483039e-08,0,0,0
"K05844",7.61826461045103e-06,3.66905462719155e-07,4.83669705827248e-07,4.4415489931724e-07,1.28128649048485e-06,3.49971383358459e-06,1.07990505474759e-06,4.09545189710511e-06,1.21958649818147e-06,1.94952004536648e-06,9.34974050730196e-07,7.288261871622e-07,3.88155832339776e-07,3.22195335916427e-07,1.64286765107737e-05,2.28484386900228e-07,1.04743147979665e-06,3.604702266154e-05,3.07200291820956e-05,2.29063567063994e-07,6.09649206184082e-07,3.02619764167409e-07,1.9972450572322e-06,2.02967288734626e-06,4.79537133321204e-06,5.0269387814458e-06,4.85156797582832e-08,3.14894536781319e-07,1.72410497400537e-06,1.01389220616716e-06,8.82216518144651e-07,1.42714723756742e-07,2.66005271160453e-07,9.56053038440616e-06,5.54188626915808e-06,1.32626448623081e-05,2.41074652944912e-07,1.17732343209559e-07,1.00313519875017e-05,1.30146700058839e-06
"K05845",6.75417956403075e-05,4.24562035432165e-06,1.49497909073877e-06,1.73220410733724e-05,7.14563619693472e-06,1.78226167451067e-05,2.725474661982e-06,5.27230589052612e-06,2.99815014136278e-06,6.82332015878267e-06,3.98922261644884e-06,3.82633748260155e-06,2.29011941080468e-05,3.22195335916427e-06,3.52514817592983e-05,1.21858339680122e-06,8.72859566497206e-07,7.33236565090212e-05,9.55734241220753e-05,2.06157210357595e-06,3.65789523710449e-06,1.71484533028198e-06,3.766233536495e-06,3.9747760710531e-06,1.01719997977225e-05,5.071822163423e-06,6.79219516615965e-07,1.82638831333165e-06,3.2982877763581e-06,5.57640713391937e-06,6.22741071631518e-06,4.35279907458065e-06,3.9900790674068e-06,1.70398568756083e-05,9.57234901036396e-06,4.2087506075147e-05,2.77235850886648e-06,1.60900869053065e-06,2.17345959729204e-05,2.14742055097085e-06
"K05846",0.000247107871559126,6.92403023217149e-05,6.22175121586869e-05,0.000163794456759324,0.000127931528049948,0.00010453774839948,8.438686642099e-05,5.74775490386821e-05,6.72297057122535e-05,7.83821735887052e-05,0.000123291911489622,0.000158337489160988,0.000132700775181161,7.19301087433423e-05,0.000129778288818775,8.14927646610815e-05,0.00010101894716261,0.000210392945552364,0.000262376098297395,0.00010083378222157,0.000109958547733565,8.10012235421432e-05,5.90613895495807e-05,8.98130252650721e-05,6.21218559075197e-05,7.72891837647292e-05,0.000127402175045252,0.000160848129387898,0.000102696687582059,0.000135644293010792,0.000134460176383105,6.72899922513041e-05,6.83633546882365e-05,0.000263337330111977,0.00027501610610697,0.000168831329960914,7.98358892335899e-05,6.88734207775923e-05,0.000201162045189368,0.000104377653447189
"K05847",0.000183912065797264,9.4085043654412e-05,7.22426660612881e-05,0.000158958103411203,0.000109205033189016,0.000100065891834345,0.000134216771090057,5.89368479905242e-05,9.71603910217904e-05,9.13980868327696e-05,0.000139996781196001,0.000137565942826865,0.000184276981403309,7.02385832297811e-05,8.98211057473454e-05,7.6999238385377e-05,0.000104743147979665,0.000119207568658091,0.000172856516404077,0.000133452434171483,0.000126751612231181,8.88189007831346e-05,7.3841002973099e-05,7.23493814635303e-05,5.77624274227814e-05,0.000129623207150138,0.000132059680302047,0.000222315542967611,0.00022308419141913,0.000114787081912496,0.000182878294702456,6.50065566711962e-05,0.000107944939036912,9.30037989775566e-05,0.000146482130250701,0.00015770782136672,0.000177913093873345,7.96655522384686e-05,8.36614755757645e-05,0.000117652616853191
"K00508",1.02258585375182e-07,0,0,0,0,1.29619030873503e-07,0,9.41483194736808e-08,3.55712728636262e-07,1.1467764972744e-07,0,6.073551559685e-08,4.8519479042472e-08,0,2.47668490112166e-07,0,5.81906377664804e-08,7.76596538489192e-07,4.50818038311676e-07,0,0,0,0,2.11424259098569e-07,7.26571414123037e-08,8.97667639543893e-08,0,0,0,0,0,7.13573618783712e-08,0,7.80451459951524e-07,7.55711763976102e-07,2.67392033514276e-07,0,0,1.47126495816692e-06,0
"K00500",0,0,0,1.48051633105747e-07,0,0,5.14240502260755e-08,0,4.57344936818051e-07,2.2935529945488e-07,6.23316033820131e-08,6.073551559685e-08,0,0,4.1278081685361e-07,7.61614623000762e-08,0,1.94149134622298e-07,1.93207730705004e-07,4.58127134127988e-08,5.54226551076438e-08,0,0,0,7.26571414123037e-08,0,0,0,7.49610858263204e-08,0,1.03790178605253e-07,7.13573618783712e-08,1.06402108464181e-07,1.30075243325254e-07,5.66783822982076e-07,5.34784067028551e-08,0,0,1.33751359833357e-07,2.60293400117679e-07
