"","CBN11.1","CBN7.1","CBN10.2","CBN6.2","CBN10.1","CBN12.1","CBN1.1","CBN9.2","CBN13.2","CBN13.1","CBN16.1","CBN17.1"
"K00001..alcohol.dehydrogenase..EC.1.1.1.1.",0.000289104139236913,0.000514283905847184,0.000213123905309514,0.000217858546247416,0.000258945326401802,0.00023956800568579,0.000262103184410324,0.000318912244920251,0.000303203538211486,0.000214748426375009,0.000439412966579735,0.00023433914931084
"K00002..alcohol.dehydrogenase..NADP....EC.1.1.1.2.",9.35683807305565e-06,3.91448448291863e-05,1.00622889960129e-05,1.55444144551752e-05,7.53477267425073e-05,1.0233743095713e-05,4.3080043167084e-05,7.2440195885896e-05,6.09444771077148e-05,2.56472965778513e-05,1.00760806222083e-05,7.36217809213626e-05
"K00003..homoserine.dehydrogenase..EC.1.1.1.3.",0.00079117642456565,0.000570266798535455,0.000895299386806787,0.000837330785455653,0.000302917352961046,0.000893447124786819,0.000284801112117992,0.000372900370983476,0.00048160532850078,0.00081985541680644,0.000626158825831796,0.000376118240418873
"K00004...R.R..butanediol.dehydrogenase...diacetyl.reductase..EC.1.1.1.4.1.1.1.303.",1.35724850075476e-06,7.33398243229356e-06,9.31845437807122e-08,1.02643359783987e-07,1.99801080137812e-07,4.23148492777321e-07,5.32573351080453e-07,2.32858521543311e-07,2.61415279469628e-07,5.3021692645759e-07,1.07835870080957e-07,1.27705773220407e-07
"K00005..glycerol.dehydrogenase..EC.1.1.1.6.",0.000111234710879047,0.000224627274934197,0.000125900626025729,8.86781226509782e-05,8.16804831266541e-05,0.000115648803879935,6.818237159444e-05,7.30045558241795e-05,4.75072172691983e-05,5.79515980872139e-05,0.000387225825646762,3.91253336701307e-05
"K00007..D.arabinitol.4.dehydrogenase..EC.1.1.1.11.",2.43200956647543e-07,2.98351079325788e-08,3.61006783569439e-07,1.97047882191555e-10,2.50622335793009e-10,6.32754716709118e-09,2.27798274624556e-08,4.88449430581588e-07,2.45551948110683e-07,1.08839989920497e-07,2.24255849780522e-10,2.19584074968393e-07
"K00008..L.iditol.2.dehydrogenase..EC.1.1.1.14.",0.000103335457157553,0.000181925646249106,4.41093162102079e-05,5.3880804302896e-05,6.04850237435553e-05,6.64934720487262e-05,4.59746820931772e-05,5.77884789101773e-05,5.77409404217174e-05,5.64086558734748e-05,8.29328469679453e-05,2.70073131584019e-05
"K00009..mannitol.1.phosphate.5.dehydrogenase..EC.1.1.1.17.",0.000256192302795558,0.000135573898268671,8.37852934109289e-05,0.000103421658909153,3.14058016563415e-05,7.00092182908065e-05,4.24334401356053e-05,1.9835977217678e-05,6.59672478856478e-05,0.000130643261666893,1.70699294434329e-05,1.55238096757119e-05
"K00010..myo.inositol.2.dehydrogenase..EC.1.1.1.18.",0.00012996004440471,0.000153168665309176,5.59493636345341e-05,6.55492968878369e-05,9.0928947764705e-05,8.38273701395862e-05,7.95673794603158e-05,6.89198086385378e-05,6.55360507324261e-05,5.52513039429525e-05,9.36395845820363e-05,4.31624526305182e-05
"K00011..aldehyde.reductase..EC.1.1.1.21.",1.99523984267859e-07,2.00738247181234e-06,3.06049133858739e-07,6.91717091616018e-07,4.2718779825619e-06,2.43730663942639e-07,2.44892805161184e-06,4.10735831283862e-06,3.36738230922618e-06,1.28654815360197e-06,4.8887216369556e-07,4.256964673708e-06
"K00012..UDPglucose.6.dehydrogenase..EC.1.1.1.22.",0.000807967693795836,0.000997915852454383,0.000534037600595136,0.000851327007215878,0.00160642405750315,0.000661989566420236,0.00177336009251434,0.00151493251572954,0.00143559699587329,0.000863359904701461,0.000546738248977578,0.00148829283071558
"K00013..histidinol.dehydrogenase..EC.1.1.1.23.",0.00076861471475686,0.000634348861362961,0.00052957068940275,0.000662803723760781,0.000688891490102667,0.000621828940477761,0.000716461881517578,0.000743035888268696,0.000815616602219912,0.000632055282057547,0.000613195405735811,0.000595624425870162
"K00014..shikimate.dehydrogenase..EC.1.1.1.25.",0.000619778910667057,0.000612923755498327,0.000698713960022134,0.000672057410795615,0.000593633427001545,0.000708794448659602,0.000551349038141138,0.0006070817273383,0.000635547071234095,0.000651838797901689,0.000531349953156748,0.000617396060549578
"K00015..glyoxylate.reductase..EC.1.1.1.26.",9.18098230886911e-06,3.57172559830499e-05,6.39150977949849e-06,1.10902597351038e-05,4.42934688845737e-05,8.38856099982796e-06,1.91874385795213e-05,2.43411750041631e-05,2.2562696683383e-05,1.42416217151143e-05,7.74144847157023e-06,2.57335137239041e-05
"K00016..L.lactate.dehydrogenase..EC.1.1.1.27.",0.000792044701270515,0.000940124965981287,0.000634870767041298,0.000469514977001917,0.000369307528012796,0.000576316032450511,0.000319405893339125,0.00036943688294929,0.000305043814601906,0.000435459460856668,0.00170258569838092,0.0001701351044468
"K00018..glycerate.dehydrogenase..EC.1.1.1.29.",0.000262861484123927,0.000247352487540432,0.000288102974367854,0.000320971121447328,0.000296076337390121,0.000290963141154432,0.000361825450633553,0.000368275199347911,0.000359597440903356,0.000316427781122295,0.000226258217143468,0.000385302458623176
"K00019..3.hydroxybutyrate.dehydrogenase..EC.1.1.1.30.",3.72790094577347e-05,3.79509264134876e-05,3.18751580593561e-05,2.88948310152853e-05,2.75348199519577e-05,3.30283669186402e-05,3.1282379460388e-05,2.38661452723115e-05,2.94753027129029e-05,2.64173805245728e-05,1.254957294297e-05,2.24325544422026e-05
"K00020..3.hydroxyisobutyrate.dehydrogenase..EC.1.1.1.31.",7.00157607712539e-05,0.000116560731266469,0.000154372265255727,0.00011420677504679,3.48163522120163e-05,0.00012977335186193,4.07950130173358e-05,3.56109124276233e-05,3.07586664533077e-05,0.000110374234970627,3.68074584146424e-05,9.12390685177919e-05
"K00021..hydroxymethylglutaryl.CoA.reductase..NADPH...EC.1.1.1.34.",0,0,3.34519468755639e-09,0,0,4.170497832594e-09,0,0,2.82485218521766e-08,2.27738222232086e-09,0,0
"K00023..acetoacetyl.CoA.reductase..EC.1.1.1.36.",1.40038883889339e-06,4.87458504422533e-06,1.47309025009591e-06,9.0207746450255e-07,1.81925237248546e-06,6.10481987402091e-07,4.0552826160769e-06,2.98880033190026e-06,2.17471170005208e-06,1.12229970429218e-06,6.61553279929708e-07,2.41098453120374e-06
"K00024..malate.dehydrogenase..EC.1.1.1.37.",0.000385905175407913,0.000369011471631271,0.000264075343008226,0.000415936279245632,0.000679838958352421,0.000245033891121159,0.000833676442408226,0.000675455798857753,0.00068460800686354,0.000383485347756133,0.000137867852358974,0.000730374663388607
"K00027..malate.dehydrogenase..oxaloacetate.decarboxylating...EC.1.1.1.38.",0.000715890930665326,0.00077461116415408,0.000570577635149342,0.000545511816552455,0.000446167930907772,0.000668900107076489,0.000340900012761086,0.000516066024697892,0.000541340504205121,0.000476947246768381,0.00108953070970213,0.000262729364787746
"K00029..malate.dehydrogenase..oxaloacetate.decarboxylating..NADP....EC.1.1.1.40.",0.000338989455555982,0.000525325755438446,0.000268767596057244,0.000450292065387387,0.000876034724569447,0.000255924085300918,0.00109310145478743,0.00102601013294401,0.000940759074214886,0.000436669120522693,0.000182326610282014,0.00108724484984528
"K00030..isocitrate.dehydrogenase..NAD....EC.1.1.1.41.",4.15149395795762e-05,2.82324534985885e-05,1.25081418347463e-05,2.11493870332457e-05,2.39367708973566e-05,2.75146705603504e-05,9.5179286058615e-06,2.05788733208565e-05,2.19784373701514e-05,2.6304507159043e-05,1.25735092144732e-05,5.82031385686722e-06
"K00031..isocitrate.dehydrogenase..EC.1.1.1.42.",0.000600969924015918,0.000581599916069081,0.000879795455137667,0.000788789958750484,0.000602520948358092,0.000836240328585017,0.000690256984431464,0.000706134630629795,0.000692243437084836,0.00080878221593874,0.000580357486573872,0.000810657347221531
"K00032..phosphogluconate.2.dehydrogenase..EC.1.1.1.43.",6.37036377669753e-07,4.13430798587126e-06,2.07715943365536e-08,2.73053020215152e-08,3.47292165541426e-08,2.58532505737294e-08,2.88084565851951e-07,1.0107892361485e-07,7.27818190645278e-08,1.30682424700411e-07,3.10755621438042e-08,1.4662518786738e-08
"K00033..6.phosphogluconate.dehydrogenase..EC.1.1.1.44.",0.000188789761871013,0.00062082281822111,0.000207868910188581,0.000220237529482002,0.000626435843814975,0.000177174501708012,0.000622828157868988,0.000519296895202069,0.000434893543686474,0.000221743432080013,0.000494539153446372,0.000541451554582827
