"","CBN1.1","CBN10.1","CBN10.2","CBN11.1","CBN12.1","CBN13.1","CBN13.2","CBN17.1","CBN6.2","CBN7.1","CBN9.2"
"K01361",0,0,0,0,1.63651121992092e-06,0,0,0,0,0,0
"K01362",0.000869183375057153,0.000701387238864621,0.000551631620037606,0.000508136766079486,0.000396035715220864,0.000736883126084954,0.000520203712514324,0.000579173202084122,0.000420210684943416,0.000716335904921794,0.000604581820072983
"K05844",2.26349837254467e-06,0,0,1.6444555536553e-06,1.63651121992092e-06,0,0,0,1.81125295234231e-06,0,0
"K05845",4.52699674508934e-06,0,5.49798956848113e-06,3.28891110731059e-06,0,0,0,1.35215533560495e-05,0,7.38490623630715e-06,2.166959928577e-06
"K05846",9.28034332743315e-05,0.000127940343245664,0.000133784412833041,0.00030422427742623,0.000173470189311618,0.00039961738760761,0.000231407345424521,6.08469901022229e-05,0.000163012765710808,0.000142774853901938,0.000136518475500351
"K05847",9.73304300194208e-05,0.000169064025003199,0.000135617076022534,0.000309157644087196,0.000168560655651855,0.00019414036206469,0.00047392224342942,0.000196062523662718,0.0001883703070436,0.000354475499342743,0.000225363832572008
"K00508",0,0,0,0,1.63651121992092e-06,0,0,0,5.43375885702694e-06,0,0
"K00507",0,0,1.09959791369623e-05,1.6444555536553e-06,1.63651121992092e-06,0,0,2.25359222600826e-06,5.43375885702694e-06,0,0
"K01101",6.11144560587061e-05,3.88390327710051e-05,8.06371803377232e-05,0.000225290410850776,0.000119465319054227,0.000119034966521416,0.00013514188972792,2.02823300340743e-05,0.000132221465520989,0.000376630218051665,7.8010557428772e-05
"K01103",2.26349837254467e-06,0,9.34658226641791e-05,6.90671332535224e-05,6.54604487968369e-05,0.000269245757607964,4.81327278483004e-05,0,1.81125295234231e-05,0,8.667839714308e-06
"K01104",0.00121776212442903,0.0010920622155612,0.00108493660818028,0.0015523660426506,0.00121592783640125,0.000906933078258405,0.00129402987561392,0.00114257125858619,0.00133670467882863,0.00224993476666158,0.00131534467664624
"K05592",0.000907662847390413,0.000639701716228319,0.000786212508292801,0.000560759343796456,0.000687334712366788,0.000565416090976724,0.000531311265094701,0.000712135143418609,0.00062669352151044,0.000800031508933275,0.000613249659787291
"K05593",4.30064690783487e-05,7.53934165554804e-05,0.000157609034296459,0.000284490810782366,0.00023074808200885,0.000225316186629822,0.000244366156768295,2.92966989381073e-05,0.000264442931041978,6.15408853025596e-05,0.000149520235071813
"K05590",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K05591",2.26349837254467e-06,0,0,0,1.63651121992092e-06,1.41708293477876e-06,0,0,0,0,0
"K05596",2.26349837254467e-06,0,4.21512533583553e-05,1.31556444292424e-05,2.78206907386557e-05,2.83416586955752e-06,9.25629381698086e-06,0,1.81125295234231e-06,0,0
"K05594",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K05595",0.000153917889333038,0.0010692157256959,0.000525974335384694,0.000157867733150908,0.000450040585478254,0.000607928579020087,0.00086083532497922,0.00118764310310635,0.000577789691797198,0.00053663651983832,0.000912290129930917
"K14540",0.000110911420254689,0.000169064025003199,0.000135617076022534,0.000427558443950377,0.000232384593228771,0.000221064937825486,0.000272135038219237,6.31005823282312e-05,0.000182936548186574,0.000470172363711555,0.000177690714143314
"K12529",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K12528",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K02456",5.43239609410721e-05,2.28464898652971e-05,0.000306054752645449,0.000100311788772973,0.000310937131784976,0.000362773231303362,5.3686504138489e-05,0.000146483494690537,0.000224595366090447,2.46163541210238e-06,4.7673118428694e-05
"K02457",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K02454",4.52699674508934e-05,1.5992542905708e-05,0.000307887415834943,9.04450554510413e-05,0.000322392710324422,0.00036560739717292,5.55377629018851e-05,0.000144229902464528,0.000237274136756843,0,2.6003519142924e-05
"K02455",2.26349837254467e-06,0,0,3.28891110731059e-06,3.27302243984185e-06,2.83416586955752e-06,0,0,3.62250590468462e-06,0,1.7335679428616e-05
"K02452",4.52699674508934e-06,0,1.09959791369623e-05,4.60447555023483e-05,1.30920897593674e-05,0.000266411591738406,2.96201402143387e-05,2.25359222600826e-06,1.63012765710808e-05,0,8.667839714308e-06
"K02453",4.30064690783487e-05,1.37078939191783e-05,0.000300556763076968,8.71561443437307e-05,0.000306027598125213,0.000361356148368583,5.18352453750928e-05,0.000144229902464528,0.000220972860185762,0,2.6003519142924e-05
"K02450",0,0,1.09959791369623e-05,4.60447555023483e-05,1.30920897593674e-05,0.000263577425868849,2.96201402143387e-05,0,1.44900236187385e-05,0,8.667839714308e-06
"K02103",2.7161980470536e-05,5.71162246632427e-05,8.24698435272169e-05,0.000169378922026495,0.000130920897593674,0.000123286215325752,0.000142546924781505,3.38038833901239e-05,0.000137655224378016,5.16943436541501e-05,8.667839714308e-05
"K08138",2.26349837254467e-05,0.000404382870615759,2.38246214634182e-05,1.48000999828977e-05,2.29111570788929e-05,7.93566443476104e-05,0.000262878744402256,0.000443957668523627,0.000159390259806123,0.000194469197556088,0.000400887586786745
"K02108",0.000905399349017868,0.000692248642918502,0.000769718539587358,0.000560759343796456,0.000729884004084732,0.000667446062280795,0.000612766650684133,0.000748192619034741,0.000684653615985394,0.000827109498466401,0.000684759337430332
"K02109",0.000966513805076574,0.000737941622649096,0.00118939840998142,0.000799205399076474,0.0011733785446833,0.00114216884543168,0.000794190009496957,0.000908197667081328,0.0010360366887398,0.000859110758823732,0.000775771654430566
"K02458",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K02459",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K08137",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K03851",0,0,4.21512533583553e-05,1.15111888755871e-05,2.61841795187348e-05,2.83416586955752e-06,9.25629381698086e-06,0,1.81125295234231e-06,0,0
"K03852",0,0,4.21512533583553e-05,1.15111888755871e-05,2.61841795187348e-05,2.83416586955752e-06,9.25629381698086e-06,0,1.81125295234231e-06,0,0
"K03855",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K03856",0.00010185742676451,0.000201049110814614,0.000170437676622915,0.000457158643916172,0.000258568772747506,0.000739717291954512,0.000405425669183762,6.9861359006256e-05,0.000224595366090447,0.000132928312253529,0.000184191593929045
"K13018",0,0,0,0,0,0,0,0,1.81125295234231e-06,0,0
"K13019",9.05399349017868e-06,0.000118801747299545,7.33065275797483e-06,8.22227776827648e-06,2.1274645858972e-05,5.66833173911503e-06,9.25629381698086e-06,0.000279445436025024,4.52813238085578e-05,4.67710728299453e-05,0.000299040470143626
"K13010",0,1.37078939191783e-05,0,0,1.63651121992092e-06,1.41708293477876e-06,0,2.25359222600826e-06,9.96189123788272e-05,0,0
"K13012",2.7161980470536e-05,5.02622777036536e-05,3.66532637898742e-06,1.6444555536553e-05,1.63651121992092e-05,8.50249760867255e-06,7.5901609299243e-05,6.76077667802477e-06,7.24501180936925e-06,4.92327082420477e-06,2.3836559214347e-05
"K13014",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K13015",0,0,5.49798956848113e-06,0,0,0,0,0,1.81125295234231e-06,0,2.166959928577e-06
"K13016",9.05399349017868e-06,0.000132509641218723,9.16331594746854e-06,9.86673332193178e-06,2.29111570788929e-05,8.50249760867255e-06,9.25629381698086e-06,0.000281699028251032,0.000144900236187385,4.67710728299453e-05,0.000316376149572242
"K13017",0,0,0,0,0,0,0,0,1.81125295234231e-06,0,0
"K08567",4.52699674508934e-06,4.56929797305942e-06,1.09959791369623e-05,4.60447555023483e-05,1.30920897593674e-05,0.000264994508803628,2.96201402143387e-05,2.25359222600826e-06,1.44900236187385e-05,0,8.667839714308e-06
"K03275",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K03274",4.30064690783487e-05,1.37078939191783e-05,0.000331712037298361,9.86673332193177e-05,0.000330575266424027,0.000362773231303362,6.10915391920737e-05,0.000144229902464528,0.000222784113138104,0,2.6003519142924e-05
"K03276",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K03271",9.28034332743315e-05,0.000203333759801144,0.000511313029868745,0.000407824977306513,0.000592417061611374,0.000599426081411415,0.000327672801121122,0.000471000775235726,0.00053250836798864,0.000118158499780914,0.000448560705215439
"K03270",0.000851075388076796,0.000605431981430373,0.000788045171482295,0.000452225277255206,0.000685698201146867,0.000596591915541857,0.00052205497127772,0.000700867182288568,0.000711822410270529,0.000393861665936382,0.000593747020430098
"K03273",5.43239609410721e-05,0.000137078939191783,0.000351871332382792,0.000123334166524147,0.000363305490822445,0.000375526977716371,8.70091618796201e-05,0.000428182522941569,0.000269876689899005,5.66176144783548e-05,0.000329377909143704
"K03272",0.000119965413744868,0.000294719719262333,0.000657926085028241,0.0002795574441214,0.000716791914325365,0.000569667339781061,0.000205489722736975,0.000860872230335154,0.000606769739034675,0.000125543406017222,0.000697761097001794
"K12278",0,0,1.09959791369623e-05,4.60447555023483e-05,1.30920897593674e-05,0.000263577425868849,2.96201402143387e-05,0,1.44900236187385e-05,0,8.667839714308e-06
"K07552",0.000719792482469205,0.000164494727030139,0.000524141672195201,7.72894110217989e-05,0.000466405697677463,0.000110532468912743,6.10915391920737e-05,0.000238880775956875,0.000429266949705128,0.000162467937198757,9.9680156714542e-05
"K09909",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K09908",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K12057",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K12056",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K06221",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K09900",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K09903",0.000939351824606038,0.000735656973662566,0.0008448577303566,0.000741649454698538,0.000801890497761253,0.000708541467389379,0.000670155672349414,0.00075044621126075,0.000771593757697825,0.000836956040114811,0.000706428936716102
"K09902",0,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K09904",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K09907",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K09906",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
