"","CBN7.1","CBN6.2","CBN10.1","CBN10.2","CBN9.2","CBN13.2","CBN1.1","CBN11.1","CBN17.1","CBN12.1","CBN16.1","CBN13.1"
"K00001",152,523.08,147.5,286.08,278.66,799.4,705.58,236.5,49.33,918.5,353.34,423.84
"K00002",0,2,1,0,6,2.33,0,1,1,4,0,1
"K00003",959.9,1513.61,575.6,500.48,849.59,2322.92,748.08,430.23,688.33,1318.6,573.37,1808.21
"K00004",31.58,79.8,34.54,84.56,62.91,69.01,20.4,51.86,19.26,93.14,119.46,54.23
"K00005",526.68,798.85,196.59,984.64,178.79,328.41,388.14,641.4,356.8,713.58,255.95,606.73
"K00007",221.33,504.43,64.42,769.63,52.44,96.88,118.34,278.33,255.41,452.92,33.03,406.35
"K00008",32.65,46.7,27.6,84.4,38.6,313.03,9.5,60.45,3.5,293.1,25.2,102.7
"K00009",262.63,743.31,123.33,878.96,130.16,195.66,322.93,395.82,303.43,709.69,283.47,511.98
"K00010",1799.13,914.22,781.1,1079.84,948.1,3494.97,528.29,554.56,1479.67,1280.47,279.21,1589.46
"K00012",1191.63,2036.22,679.33,1248.04,860.82,2477.21,1038.01,792.85,981.76,1602.69,577.47,2271.32
"K00013",1246.42,2091.12,704.1,1410.57,916.78,2538.06,1075.96,826.93,986.89,1790.76,611.45,2320.43
"K00014",1731.17,2824.28,855.91,2285.66,1057.15,3076.54,1296.09,1512.27,1301.84,2487.87,870.73,3065.31
"K00015",34.8,158.73,53.2,30.13,155.2,18.73,659.33,39.4,20.33,158.2,140.4,32.4
"K00016",125.5,156,70,96.5,117.99,97.61,52,145.9,31,186.5,418.51,154.01
"K00018",38.83,78.16,30.67,70,31,42.5,8,20.67,4.33,32.33,112.83,46.32
"K00019",974.73,463.88,456.52,266.78,589.37,2037.33,771.59,331.53,659.41,322.52,132.73,770.22
"K00020",818.2,868.68,536.3,358.78,793.46,2138.02,1392.08,264.1,640.33,1050.3,432.94,828.94
"K00021",2.5,40.08,22,54.75,10,15.08,0.25,21.33,6,256,22.5,17.5
"K00023",37.5,141,63,42,118.33,11.17,650,75,28,95,44.5,56.17
"K00024",1038.73,1960.77,648.23,1298.89,834.89,2125.59,1034.26,702.65,979.76,1596.09,542.27,2123.45
"K00027",1810.53,1247.84,897.93,1123.86,1013.75,3934.87,380.93,639.35,1494.43,1282.79,555.68,1881.69
"K00029",334.23,925.61,239.73,1075.06,308.56,380.29,991.43,618.12,339.43,809.09,318.27,1503.78
"K00030",9,14,8,19,4,2,0,14,2,8,7,23
"K00031",1131.13,2147.39,652.33,1242.71,848.49,2465.71,1046.68,721.35,966.43,1918.69,607.97,2199.65
"K00033",1779.03,1541.09,901.43,1285.94,1103.42,4252.41,411.01,635.22,1505.76,1791.29,673.18,1946.02
"K00034",0.4,41.7,0.6,0.4,1.93,7.2,0,2.7,0,225.6,2.2,13.37
"K00036",1157.93,1729.54,662.03,1250.59,890.69,2746.36,1066.76,783.92,941.76,2172.39,764.21,2446.55
"K00038",702.9,279.2,355.6,140.4,433.6,1987.2,30,78.2,583,338.1,81.37,586.2
"K00039",221.33,131.43,47.42,68.63,34.44,81.88,82.34,221.33,38.41,114.92,14.03,84.35
"K00040",528.18,806.55,196.49,965.84,170.99,305.41,533.94,679.9,374.2,726.88,246.78,624.63
"K00041",239.74,956.16,125.76,1504.88,84.27,188.29,172.43,364.24,483.9,855.42,92.19,760.5
"K00042",280.11,332.91,146.1,164.77,96.42,146.27,265.18,300.76,80.42,279.29,174.5,144.68
"K00045",1.4,10.2,3.6,19.4,8.6,7.2,6,21.2,1,20.6,16.2,9.2
"K00046",68.33,567.7,54.69,789.76,82.9,124.39,206.21,178.01,249.16,656.69,137.71,402.46
"K00048",46.91,454.23,66.84,738.08,35.33,90.41,101.92,91.41,226.49,396.83,50.66,353.65
"K00050",103.79,1254.73,132.27,866.36,178.29,182.68,766.28,355.58,281.46,553.57,62.48,464.78
"K00052",1260.13,2087.97,697.83,1409.29,925.49,2797.79,1048.26,833.35,982.76,1992.19,599.47,2389.15
"K00053",1271.13,2067.22,693.33,1360.04,904.82,2520.21,1070.01,818.35,987.76,1753.69,588.97,2310.82
"K00054",23,30.33,28.5,49.83,62,58.33,24.33,105,15.33,34,186.84,141.5
"K00055",270.33,159.31,84.67,97.38,103.32,362.88,92.58,301.96,55.41,151.17,43.95,201.85
"K00057",1250.13,2206.14,704.33,1238.29,927.49,2555.46,1052.76,888.02,999.76,2058.69,751.31,2408.15
"K00058",2858.98,2739.66,1509.79,1730.52,1916.15,6053.22,1911.72,1136.63,2208.63,2738.78,702.18,3492.97
"K00059",9143.11,8003.24,4640.92,5189.71,6100.77,20452.8,5429.15,3373.62,7280.09,6719.29,3201.22,11481.34
"K00060",280.53,651.76,128.93,914.11,100.76,199.11,291.18,402.52,298.43,633.79,183.17,501.68
"K00064",236.08,520.18,71.92,772.38,61.77,110.8,99.59,284.58,256.91,482.92,42.53,412.52
"K00065",239.74,960.16,139.26,1504.88,102.77,205.79,201.43,409.24,491.4,868.92,107.53,756
"K00066",0.4,14.2,1.6,0.4,6.6,4.2,1,3.2,0,3.6,0.2,0.2
"K00067",288.32,1367.6,251.14,333.01,440.62,696,890.83,468.38,154.52,1011.17,524.75,1393.77
"K00068",270.15,626.7,131.56,873.14,131.56,217.54,296.01,385.7,307.1,551.09,187.44,489.96
"K00073",5.58,40.57,40.17,19.08,11.33,7.91,15.92,6.24,6.16,25.5,29,8.33
"K00074",4137.04,2469.29,2060.79,1032.57,2503.84,9544.32,1225.91,1284.48,3124.27,2298.41,760.97,4254.74
"K00075",1249.13,2050.64,698.33,1238.29,905.82,2504.13,1047.76,874.52,997.76,1769.69,746.31,2386.32
"K00076",6.08,191.07,40.67,29.08,17.33,56.91,18.92,29.24,6.16,311,40.33,12.33
"K00077",1407.38,2021.38,625.29,1177.66,750.94,2348.61,621.44,832.32,986.44,1421.19,696.83,1342.92
"K00082",39.5,21,7,52,17,269,1.5,45,1,102.5,67.5,92.5
"K00086",6,16,10,7,20,5,27.5,6,3,88,8.67,0.5
"K00087",5.08,40.07,39.67,22.08,13.33,7.91,18.92,6.24,6.16,42,26.33,20.33
"K00088",2700.53,2705.84,1416.43,1693.69,1795.09,6507.44,1137.26,949.92,2160.76,2979.29,926.51,3723.35
"K00090",252.73,624.11,113.73,840.56,90.89,184.63,288.93,383.12,296.43,549.09,137.77,468.95
"K00091",41,176.25,22,104.75,72,357.25,20.25,182.5,20,331,73.17,121
"K00094",171.08,45.05,43.17,20.45,21.32,10.79,51.17,46.86,6.9,30.51,29.94,12.68
"K00096",687.5,141.58,348,222.75,404,1674.58,27.25,39.33,582,96.5,24.5,529.5
"K00097",609.12,1799.73,340.59,1142.1,393.43,539.54,1133.1,1011.16,419.34,1043.1,326.5,1666.15
"K00098",12.13,53.45,23.74,49.11,36.78,45.99,19.65,85.01,11.76,53.34,55.36,59.96
"K00099",1220.13,2015.31,662.83,1185.46,849.82,2453.3,1035.43,765.52,965.43,1695.19,532.97,2254.82
"K00100",253.5,195.75,159,247.25,284.33,1203.57,686.75,151.5,48,299,278,466.17
"K00101",325.13,667.81,177.83,218.29,249.16,514.16,974.76,395.32,103.93,1064.02,228.47,345.98
"K00102",32,68.75,71,50.75,119.33,20.92,648.25,46,25,43,3,33.67
"K00103",24,160,10,15,19,314,5,19,1,291,18,84
"K00104",1571.78,1631.83,891.47,503.61,1090.46,4208.51,145.75,433.17,1248.49,1456.3,663.43,2581.6
"K00105",17,14,11,36,40,32,8,18,12,9,50.17,25.5
"K00108",985.02,496.76,516,292.84,669.85,2112.03,958.63,490.9,695.56,541.66,231.75,863.06
"K00111",2132.26,2275.7,1109.16,2189.5,1334.65,4609.03,1340.44,1200.84,1831.19,2476.38,706.94,3315.63
"K00112",255.23,624.69,114.73,883.64,92.56,197.37,314.51,379.12,296.76,568.09,139.27,478.28
"K00113",255.23,621.69,116.73,884.64,90.56,197.37,289.51,379.12,298.76,567.09,139.27,479.28
"K00114",0,28,0,0,1,0,0,3,0,2,0,0
"K00116",504.96,661.24,162.25,253.59,164.43,556.01,351.27,573.35,129.84,975.11,311.5,345
"K00117",250.9,225.45,94.06,125.39,70.56,117.29,250.76,300.45,77.6,169.59,113.94,138.46
"K00121",1063.73,1355.61,556.73,1025.56,748.56,2542.96,996.93,500.62,906.43,1768.09,455.77,1292.78
"K00122",4,9,10,0,14,5,2,11,3,9,0,0
"K00123",1806.23,3815.95,761.9,3823.16,784.63,1210.29,1844.15,2224.98,1312.93,3032.32,711,4068.67
"K00124",284.9,761.7,178.06,959.31,153.56,305.04,308.18,487.45,314.1,640.76,195.94,1464.96
"K00125",0,2,1,1,6,0,0,1,1,4.67,0,1
"K00126",0,14,0,0,1,0,0,3,0,2,0,0
"K00127",261.9,692.45,131.06,850.56,97.56,183.46,288.93,382.45,300.1,556.76,149.94,469.46
"K00128",3007.1,2485.12,1601.9,951.59,2232.39,8259.28,1538.49,746.13,2433.99,2724.4,987.8,3721.31
"K00129",0,3,1,0,7,4,26,3,0,3,0,0
"K00130",2555.15,940.59,1170.12,522.27,1407.82,5831.98,437.97,690.63,1866.97,1091.78,408.68,1973.98
"K00131",22,31.5,21,36,73.33,39.67,13,18.5,16,122,178.5,13.67
"K00132",0,0,1,0,1,4,1,2,0,1,0,0
"K00133",1266.63,2093.22,717.83,1373.04,920.82,2520.21,1076.01,826.85,1001.76,1820.69,673.64,2322.82
"K00134",2854.23,2683.57,1492.29,1664.76,1815.98,6034.6,1249.3,1274.07,2222.29,2424.28,1057.02,3563.48
"K00135",3000.39,2412.78,1456.7,1634.31,1893.82,6725.93,2380.35,1549.04,2278.67,3355.48,1077.09,2916.41
"K00137",241.72,226.66,103.4,150.84,84.45,135.03,121.83,359.1,67.66,200.66,106.85,183.26
"K00138",958.63,555.81,440.33,263.96,508.16,2122.46,283.93,341.52,659.93,869.19,321.47,725.98
"K00140",1028.74,1164.84,513.03,1067.81,715.88,2451.81,983.96,546.36,904.9,1513.36,402.32,1261.47
"K00141",222.33,134.43,49.92,68.63,38.94,98.38,59.34,234.83,41.91,129.42,18.03,94.85
"K00145",1242.13,2040.47,685.33,1221.29,904.49,2498.46,1044.76,735.35,981.76,1712.69,578.97,2277.15
"K00146",472.13,373.58,143.58,209.42,129.6,207.04,341.1,578.98,123.01,507.61,128.17,254.01
"K00147",1240.13,2191.47,689.33,1223.29,899.49,2546.46,1032.76,786.85,981.76,1954.69,591.64,2283.15
"K00148",1.8,41.4,2.2,25.8,5.2,2.4,3,8.4,0,259.87,21.4,5.4
"K00150",0,25.58,17,136.75,15,14.58,5.25,25.33,6,59,13,39.5
"K00151",251.55,234.9,92.66,140.04,75.16,118.91,281.51,308.4,78.1,422.19,137.14,150.66
"K00153",712.9,304.2,356.6,125.4,433.6,1977.2,40,53.2,586,592.1,84.7,652.2
"K00154",40.5,98.5,63,39.17,124,33.5,643.17,31,16,33.17,28.5,41
"K00156",1619.8,899.65,797.66,1057.79,907.16,3771.96,345.76,415.85,1458.6,867.69,214.64,1603.66
"K00158",33,38.5,47.5,38.5,76.33,36.67,12,88,24,16,165.84,117.67
"K00161",1480.99,1061.08,857.57,540.31,1204.75,3715.53,817.53,357.68,1252.46,1744.37,667.42,2208.22
"K00162",1473.99,877.83,834.57,448.56,1169.75,3549.95,806.28,262.68,1250.46,1404.37,654.42,1289.72
"K00163",1680.32,1208.66,849.2,1183.64,981.05,3886.93,378.63,560.3,1466.56,1264.86,394.65,1726.46
"K00164",1022.13,1148.14,571.83,1104.79,732.49,1927.16,1009.26,553.32,929.76,1162.69,517.47,1165.82
"K00166",15,117.83,12.5,27.83,37.33,14,6.33,15,9.33,129,146,21.17
"K00167",15,113.83,12.5,27.83,37.33,13,6.33,15,9.33,129,146,21.17
"K00169",30,636.58,77,157.75,77,32.58,13.25,38.33,37,266,34,63.5
"K00170",30,636.91,77,157.75,77,32.58,13.25,39.66,37,266.33,34,63.5
"K00171",26,31.33,57,108,65,12,10.5,23.33,29,142,26,51.5
"K00172",30,635.33,75,115,77,19,13,29.33,35,242,34,58
"K00174",982.5,1202.41,517,388.08,613.33,2039.58,92.58,382.33,656.33,1096.5,257.5,1720.67
"K00175",982.5,1202.41,517,388.08,613.33,2039.58,92.58,382.33,656.33,1096.5,257.5,1720.67
"K00176",142,60,45,34,22,83,10,54,7,177,14,94
"K00177",149,91,65,124,70,100,11,68,32,196,24,117
"K00179",0,7.99,19,10,14,22,9,26.99,6,51,8,27
"K00180",0,7.99,19,9,14,22,9,26.99,6,50.33,8,27
