"CBN1.1"	"CBN10.1"	"CBN10.2"	"CBN11.1"	"CBN12.1"	"CBN13.1"	"CBN13.2"	"CBN17.1"	"CBN6.2"	"CBN7.1"	"CBN9.2"
"K01872"	0.00483060091363148	0.00477513905952424	0.00414070044533372	0.00342949651015003	0.00321528532765839	0.00429347927834601	0.00284673195171943	0.00298141373987694	0.0043635320133016	0.00607096152194042	0.00342722792422119
"K09689"	4.92081587127146e-05	0	0	3.55020342665635e-05	0	0.000168494099586253	9.48910650573142e-05	0	6.75208048479938e-05	0	0
"K10107"	0	0	0	1.42008137066254e-05	0	0	0	0	0	0	0
"K09688"	0	0	0	7.10040685331269e-06	0	0	9.48910650573142e-05	0	2.53203018179977e-05	0	0
"K11050"	2.46040793563573e-05	0	0	0	0	0	0	0	0	0	0
"K09691"	0.000623303343694385	0.000815073694589899	0.000590536137337863	0.00272655623167207	0.00193148435150702	0.000405633943448388	0.00243870037197298	0.00048632990083099	0.000810249658175925	0.000295911646509674	0.00185377763711172
"K09690"	0.000139423116352691	0.000274341877691234	8.33698076241689e-05	0.000518329700291827	0.000173486618398834	8.11267886896776e-05	0.00111022546117058	2.81930377293327e-05	8.44010060599922e-05	0	0.000253198896776235
"K05663"	0	0	0	2.84016274132508e-05	3.46973236797668e-05	0	0	0	0	0	0
"K10010"	0	0	2.7789935874723e-05	0	0	1.24810444137965e-05	9.48910650573142e-06	0	0	0	0
"K10009"	0	0	0	7.10040685331269e-06	0	0	0	0	0	0	0
"K02013"	0.000762726460047076	0.0022424466524327	0.0018410832517004	0.000461526445465325	0.00104091971039301	0.00118569921931067	0.000863508692021559	0.000965611542229646	0.0010887729781739	0.00290184324319165	0.00111226658226703
"K02015"	0.000836538698116148	0.00159833963524458	0.00143812918151691	0.000717141092184582	0.00104091971039301	0.00104840773075891	0.000967888863584605	0.000888080688473981	0.00146013740483787	0.0011836465860387	0.00133833702581724
"K02016"	0.0008447400579016	0.00129219000361813	0.000972647755615304	0.000418924004345449	0.00119127477967199	0.00100472407531062	0.000759128520458514	0.00204399523537662	0.00114785368241589	0.00155592252842184	0.00175430664194963
"K10548"	0.000598699264338027	0.000361813201013077	0.000305689294621953	0.000710040685331269	0.00232472068654438	0.000268342454896626	0.00108175814165338	0.000345364712184326	0.000683648149085937	2.86366109525491e-05	0.00114843785323507
"K10547"	8.20135978545243e-05	9.14472925637447e-05	0.00027789935874723	0.000213012205599381	0.00101778816127316	7.48862664827793e-05	0.000683215668412662	0.000239640820699328	0.000388244627875964	0	0.000479269340326446
"K10546"	0.000139423116352691	9.93992310475486e-05	0.000264004390809868	0.000298217087839133	0.000890564641114015	0.000131050966344864	0.000635770135884005	0.000126868669781997	0.000396684728481964	0	0.00056969751774653
"K10041"	0.000147624476138144	0.000194822492853195	0.00028484684271591	0.000149108543919567	0.000427933658717124	0.000262101932689727	0.000502922644803765	2.11447782969996e-05	0.00010972130787799	0	0.000587783153230547
"K10040"	4.92081587127146e-05	9.14472925637447e-05	4.16849038120845e-05	9.94056959463777e-05	0.000266012814878212	3.74431332413896e-05	0.000854019585515828	0	5.90807042419946e-05	5.72732219050983e-05	0.000144685083872135
"K10039"	0.000106617677210882	7.5543415596137e-05	0.000250109422872507	8.52048822397523e-05	0.000161920843838912	0.000162253577379355	0.000540879070826691	0.000317171674454993	0.00010972130787799	5.72732219050983e-05	0.000388841162906362
"K10202"	0	0	0	0	0	0	0	0	1.68802012119984e-05	0	0
"K10200"	0	0.000151086831192274	0	0.000113606509653003	0	0	0.000104380171563046	9.86756320526646e-05	4.22005030299961e-05	0	0.000117556630646109
