"CBN1.1"	"CBN10.1"	"CBN10.2"	"CBN11.1"	"CBN12.1"	"CBN13.1"	"CBN13.2"	"CBN17.1"	"CBN6.2"	"CBN7.1"	"CBN9.2"
"352825"	0	0	0	0	0.000510464522715671	0	0	0	0	0	0
"206494"	0.000755287009063444	0	0	0.000634115409004439	0	0	0	0	0	0	0
"198194"	0.000755287009063444	0	0	0	0	0	0	0	0	0	0.000512032770097286
"276580"	0	0	0	0	0	0	0.000315756236185665	0	0.0010611956137248	0	0.000512032770097286
"198770"	0	0	0	0	0	0	0.000631512472371329	0	0	0	0
"356632"	0	0	0	0.000634115409004439	0	0	0	0.000432900432900433	0	0	0
"276622"	0.000755287009063444	0	0	0.00126823081800888	0	0	0	0	0	0.00554400554400554	0
"4356342"	0	0.00042863266180883	0	0	0	0	0	0	0.000353731871241599	0	0
"390896"	0.000755287009063444	0	0.00108342361863489	0	0.00102092904543134	0	0	0	0.000353731871241599	0.000346500346500347	0
"842786"	0	0	0	0	0.000510464522715671	0.000325414904002603	0	0	0	0	0
"827195"	0	0	0	0.000634115409004439	0	0	0	0	0	0	0
"592160"	0	0	0	0	0	0.000325414904002603	0	0	0	0	0
"318231"	0	0	0	0	0.00102092904543134	0	0	0	0	0	0
"276629"	0	0	0.000722282412423258	0.000634115409004439	0	0	0	0	0.000353731871241599	0.000693000693000693	0
"1136443"	0	0.00085726532361766	0.000722282412423258	0.00380469245402663	0.00153139356814701	0.0357956394402864	0.00284180612567098	0	0.000707463742483198	0	0
"273240"	0	0	0	0	0.000510464522715671	0	0	0	0	0	0
"329712"	0	0	0	0	0.00255232261357836	0	0	0	0	0	0.000512032770097286
"193359"	0.000755287009063444	0	0.000361141206211629	0	0	0	0	0	0	0	0
"320835"	0	0	0	0.000634115409004439	0	0	0	0	0	0	0
"376516"	0	0.00042863266180883	0.000722282412423258	0.000634115409004439	0	0.0165961601041328	0.000947268708556994	0	0	0	0
"409947"	0	0	0	0	0	0	0.000315756236185665	0	0	0	0
"275150"	0	0	0	0	0	0	0	0	0.000353731871241599	0	0
"276531"	0	0	0	0	0	0.00195248942401562	0	0	0.000353731871241599	0	0
"349175"	0	0	0	0	0	0	0	0.000432900432900433	0	0	0
"48899"	0	0	0	0	0.00153139356814701	0	0	0	0	0	0
"194950"	0	0	0.000361141206211629	0.000634115409004439	0	0	0	0	0	0	0
"433676"	0.000755287009063444	0	0	0	0	0	0	0	0	0.00173250173250173	0
"342962"	0.000755287009063444	0	0	0	0	0	0	0	0	0	0.003584229390681
"264014"	0	0	0	0	0.000510464522715671	0	0	0	0	0	0
"199181"	0	0.00042863266180883	0.00325027085590466	0.000634115409004439	0.000510464522715671	0.00097624471200781	0.00378907483422798	0	0.000353731871241599	0	0.000512032770097286
"244484"	0	0	0	0	0	0	0	0	0	0	0.000512032770097286
"354736"	0	0.00042863266180883	0.000361141206211629	0.000634115409004439	0.000510464522715671	0	0.000315756236185665	0	0.000353731871241599	0.000693000693000693	0
"275397"	0	0	0	0	0	0.0218027985681744	0	0	0	0	0
"334761"	0	0.00128589798542649	0.0025279884434814	0.000634115409004439	0.00153139356814701	0	0	0	0.0010611956137248	0.00485100485100485	0
"343030"	0	0.00042863266180883	0	0.00190234622701332	0.000510464522715671	0.00162707452001302	0.000315756236185665	0.0012987012987013	0.000353731871241599	0	0
"301149"	0	0	0	0	0	0.00162707452001302	0	0	0	0	0
"909065"	0	0	0	0	0	0	0	0.000432900432900433	0	0	0
"129394"	0	0	0	0	0	0	0	0	0.000707463742483198	0	0
"839598"	0	0.00042863266180883	0	0	0.00102092904543134	0	0	0	0	0	0
"834948"	0	0	0	0	0	0.000325414904002603	0	0	0	0	0
"318045"	0	0	0	0	0.000510464522715671	0	0	0	0	0	0
"416078"	0	0.00042863266180883	0.000361141206211629	0	0	0	0	0	0	0	0
"413695"	0	0	0	0	0.000510464522715671	0	0	0	0	0	0
"348376"	0	0	0	0	0	0	0.000631512472371329	0.000432900432900433	0	0.0246015246015246	0
"336696"	0	0.00300042863266181	0	0.00126823081800888	0.000510464522715671	0.00130165961601041	0.000315756236185665	0	0	0	0
"196571"	0	0.00042863266180883	0	0	0.00102092904543134	0	0	0	0	0.000346500346500347	0.00153609831029186
"303797"	0	0	0.000361141206211629	0	0	0	0	0	0	0	0
"399245"	0	0	0	0	0	0.000325414904002603	0	0	0	0	0
"444241"	0	0	0	0	0.00204185809086269	0	0	0	0	0	0
"196085"	0	0	0.000361141206211629	0	0	0	0	0	0	0	0
"310877"	0	0	0	0.000634115409004439	0	0	0	0	0	0	0
"195100"	0	0	0	0	0	0.000325414904002603	0	0	0	0	0
"463794"	0.0377643504531722	0.00771538791255894	0	0.123652504755866	0.00663603879530373	0	0.00284180612567098	0.00173160173160173	0.000353731871241599	0.15003465003465	0.0281618023553507
"1111586"	0	0	0	0	0	0.000325414904002603	0	0	0	0	0
"276218"	0	0	0	0	0	0	0	0	0.000353731871241599	0	0
"211039"	0	0	0.000361141206211629	0	0	0	0	0	0	0	0
"269828"	0	0	0	0	0	0.000325414904002603	0	0	0	0	0
"288438"	0	0	0	0	0.000510464522715671	0	0	0	0	0	0
"1109422"	0	0	0	0	0	0.000325414904002603	0	0.000432900432900433	0	0	0
"264734"	0	0.00042863266180883	0	0.000634115409004439	0	0	0	0	0	0	0.000512032770097286
"569030"	0	0	0	0	0.00102092904543134	0	0	0	0	0	0
"273540"	0	0	0	0	0	0.00097624471200781	0	0	0	0	0
"182806"	0	0	0	0	0	0	0	0.000432900432900433	0	0	0
"335966"	0	0	0	0	0	0	0.000315756236185665	0	0	0	0.00102406554019457
"1107027"	0	0	0	0	0.000510464522715671	0	0	0	0	0	0
"4405128"	0	0	0.00902853015529072	0	0.00102092904543134	0.000325414904002603	0.000947268708556994	0	0	0	0
"173739"	0.000755287009063444	0	0	0	0	0.00097624471200781	0	0	0	0	0
"275305"	0	0	0	0	0	0	0	0	0.000353731871241599	0	0
"352843"	0	0	0.00108342361863489	0	0	0.000650829808005207	0.000631512472371329	0	0.0010611956137248	0	0
"185614"	0.00302114803625378	0.00042863266180883	0	0	0.00408371618172537	0	0.00473634354278497	0.000432900432900433	0.0014149274849664	0	0
"227788"	0	0	0	0.000634115409004439	0	0	0	0	0	0	0
"349459"	0	0	0	0	0	0.000325414904002603	0	0	0	0	0
"183545"	0	0.00042863266180883	0	0	0	0	0	0	0	0	0.000512032770097286
"270662"	0	0	0	0.00317057704502219	0.000510464522715671	0.000325414904002603	0	0	0	0	0
"271449"	0	0	0	0	0.000510464522715671	0	0	0	0	0	0
