OTUID	ERR380452.fastq	ERR380435.fastq	ERR380434.fastq	ERR380432.fastq	ERR380470.fastq	ERR380461.fastq	ERR380451.fastq	ERR380460.fastq	ERR380469.fastq	ERR380416.fastq	ERR380424.fastq	ERR380443.fastq
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000325414904003
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.000566251415629	0.0	0.000755287009063	0.00126823081801	0.0	0.00389105058366	0.000631512472371	0.0004329004329	0.0003465003465	0.0	0.0	0.000650829808005
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.868063420159	0.356304236856	0.834592145015	0.306277742549	0.805939580133	0.596745666785	0.622987053994	0.848484848485	0.453222453222	0.808829832833	0.52148790177	0.276602668402
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.000510464522716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000325414904003
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	0.00102092904543	0.0	0.0	0.0	0.0	0.000947268708557	0.0	0.0	0.0	0.00902853015529	0.000325414904003
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004329004329	0.0	0.0	0.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.0	0.010719754977	0.000755287009063	0.0412175015853	0.00614439324117	0.00955076052352	0.0303125986738	0.0004329004329	0.0	0.00171453064724	0.00650054171181	0.286690530426
k__Bacteria;p__Firmicutes;c__Bacilli	0.0039637599094	0.00714650331802	0.0664652567976	0.185795814838	0.0327700972862	0.000707463742483	0.00284180612567	0.004329004329	0.470200970201	0.00900128589799	0.000361141206212	0.00618288317605
k__Bacteria;p__Firmicutes;c__Clostridia	0.11268403171	0.304747320061	0.0453172205438	0.397590361446	0.143881208397	0.222497347011	0.232712346069	0.052380952381	0.0748440748441	0.169309901414	0.170819790538	0.308818743898
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.0	0.000510464522716	0.0196374622356	0.0	0.00102406554019	0.000353731871242	0.0751499842122	0.0030303030303	0.0003465003465	0.00128589798543	0.0	0.00455580865604
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010395010395	0.00214316330904	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.0	0.0	0.0	0.000634115409004	0.0	0.0	0.000315756236186	0.000865800865801	0.0	0.0	0.00180570603106	0.000976244712008
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.0	0.0495150587034	0.000755287009063	0.0228281547242	0.0	0.00176865935621	0.013577518156	0.0004329004329	0.0	0.0	0.0588660166125	0.00585746827205
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.00962627406569	0.258295048494	0.0264350453172	0.0405833861763	0.0102406554019	0.163777856385	0.0205241553521	0.0891774891775	0.0	0.00728675525075	0.231130371975	0.0995769606248
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.0	0.00306278713629	0.00528700906344	0.00190234622701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00292873413602
k__Bacteria;p__Spirochaetes;c__[Leptospirae]	0.0	0.0	0.0	0.0	0.0	0.000707463742483	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes	0.00509626274066	0.00816743236345	0.0	0.00190234622701	0.0	0.0	0.0	0.0	0.0	0.000428632661809	0.0	0.00618288317605
