"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_2E","FS_3A","FS_3C","FS_3E"
"K00001..alcohol.dehydrogenase..EC.1.1.1.1.",0.000609036714121291,0.00056841900525731,0.000645879724003245,0.000633967229531227,0.000629889686647822,0.000666648701825713,0.000570658204995665,0.000550560554195726,0.000552763328243214,0.0006046524324462,0.000648063246845069,0.000600237386429738,0.000650861101207483,0.000675335574725617,0.00064703970971453,0.000642188702377162,0.000633777325326552,0.00060181973442034
"K00002..alcohol.dehydrogenase..NADP....EC.1.1.1.2.",8.43063899956013e-06,8.70260196235153e-06,7.18714756112799e-06,6.93404221503068e-06,6.59124291811088e-06,6.65627740400571e-06,8.0204801908943e-06,8.76349701554622e-06,8.83058827118759e-06,9.69970979503591e-06,8.38970192691202e-06,8.09293693026512e-06,9.23171276631291e-06,9.40167105833898e-06,9.98953278520264e-06,8.86267304398301e-06,8.58049444303542e-06,9.49900521789317e-06
"K00003..homoserine.dehydrogenase..EC.1.1.1.3.",0.000655878941159743,0.000656237275833228,0.000655621269602155,0.000621074095371775,0.000639545619418821,0.000632500235456222,0.000638161269849195,0.000655874152565173,0.000641941996037128,0.000631280261708057,0.000618835598599965,0.000600736033429284,0.00060503176979093,0.000618763124865018,0.000603540125526245,0.000633110229257927,0.000629855538635156,0.00063301925244989
"K00004...R.R..butanediol.dehydrogenase...diacetyl.reductase..EC.1.1.1.4.1.1.1.303.",8.31007936116449e-06,7.71068225347663e-06,9.11798232018933e-06,1.01924100531504e-05,1.00284105418545e-05,9.36951825338934e-06,1.08763888404595e-05,1.05254116719742e-05,1.20951370666811e-05,7.76984331334656e-06,8.52810501972149e-06,7.73987826633128e-06,8.22142590703877e-06,8.95954926884535e-06,9.74135520101385e-06,7.84897802279313e-06,8.67791561511538e-06,7.36724749319621e-06
"K00005..glycerol.dehydrogenase..EC.1.1.1.6.",1.54572673981925e-05,1.27778818487799e-05,1.66110807273217e-05,1.69255337283646e-05,1.49338448654194e-05,1.78379793438155e-05,1.43381012662368e-05,1.47646139929893e-05,1.55625432883201e-05,1.52670097521703e-05,1.56696930646427e-05,1.38108116570638e-05,1.64415229139523e-05,1.66253328887977e-05,1.92463251953135e-05,1.52656499822486e-05,1.44002036394982e-05,1.30695030155384e-05
"K00007..D.arabinitol.4.dehydrogenase..EC.1.1.1.11.",1.25738801847242e-05,8.95761296164692e-06,1.180736246833e-05,1.3276860688398e-05,1.19957383471028e-05,1.34526102618387e-05,1.02070909087043e-05,9.81899723693197e-06,9.6396715967507e-06,1.00866970915292e-05,1.13041350133511e-05,9.86175816006159e-06,1.18863728535723e-05,9.67157962956272e-06,9.48582322690941e-06,8.71047295829889e-06,8.07647722598873e-06,8.85210964497877e-06
"K00008..L.iditol.2.dehydrogenase..EC.1.1.1.14.",0.000429374025528281,0.000469247907590968,0.000385124306965946,0.000311009910806016,0.000354618120629829,0.000305034054431005,0.00040917704286157,0.000455055692353827,0.000418235824061413,0.000393945728494547,0.000331447402056908,0.000316386630957317,0.000303443363256927,0.000329061539586879,0.000302394083011387,0.000377327522317297,0.000369023851535563,0.000409929341742131
"K00009..mannitol.1.phosphate.5.dehydrogenase..EC.1.1.1.17.",4.41217921708254e-06,3.0735300777278e-06,5.66943405249392e-06,7.69920355975468e-06,5.32359471086496e-06,6.54785786794458e-06,6.15175481737346e-06,5.54904419053066e-06,8.49727588342655e-06,4.0676577734416e-06,3.49006850378201e-06,4.17608667489254e-06,3.78126950735568e-06,4.07782729274376e-06,6.69220166133812e-06,2.74248418717192e-06,3.43369254456625e-06,2.39309807450616e-06
"K00010..myo.inositol.2.dehydrogenase..EC.1.1.1.18.",0.000269301708111002,0.000268650770593395,0.000277219120243918,0.000268979604862697,0.000291285057821225,0.0002635586667831,0.000284549825610992,0.000284425218880011,0.000288895652881257,0.000253715267022836,0.000261203058483682,0.000223544286999403,0.000247542339615573,0.000264379363335997,0.00025211053324549,0.000290371935524325,0.000287368617439677,0.000269070327947187
"K00011..aldehyde.reductase..EC.1.1.1.21.",2.66809097703501e-05,3.0342261479968e-05,2.36312270563631e-05,1.76994359632862e-05,2.41355377484167e-05,1.79435608012661e-05,2.42050632362162e-05,2.5648120655579e-05,2.50993409050165e-05,2.53396562884255e-05,2.21366414053082e-05,1.91133583182705e-05,1.93942275439635e-05,2.12392921464425e-05,1.62101756373745e-05,2.61322285061857e-05,2.54752719094321e-05,2.78787709723465e-05
