"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_3A","FS_3C","FS_3E"
"K01365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01361",8.00787975367762e-07,1.94653756710445e-07,6.25869828672307e-07,2.04546988647869e-06,1.03205138790271e-06,1.32208532518341e-06,6.2664494297531e-07,6.23826556254911e-07,6.3204319973134e-07,0,2.08662498424598e-07,0,0,4.28559826844688e-07,0,1.99937859313325e-07,0
"K01360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01362",0.0013785564995956,0.00143771264706335,0.00137837398601264,0.00135273741825791,0.00142423091530573,0.00146729436339939,0.00123929481555751,0.00124682134376815,0.00121752588374914,0.00145175993522917,0.00146960997640444,0.001409609140753,0.00148091134399661,0.00150788775075303,0.00141000844416215,0.00138576930290066,0.00139582762066924
"K02249",0,1.94653756710445e-07,2.08623276224102e-07,2.27274431830966e-07,2.06410277580541e-07,6.61042662591706e-07,2.08881647658437e-07,0,4.21362133154226e-07,2.02307683281657e-07,2.08662498424598e-07,0,4.31438119154148e-07,2.14279913422344e-07,1.93762325705944e-07,1.99937859313325e-07,1.92156886105347e-07
"K05841",3.60354588915493e-06,3.50376762078801e-06,4.38108880070615e-06,7.04550738675995e-06,1.85769249822487e-06,7.93251195110047e-06,3.75986965785186e-06,3.32707496669286e-06,4.63498346469649e-06,2.62999988266154e-06,1.87796248582138e-06,2.61523031679592e-06,3.66722401281026e-06,3.4284786147575e-06,9.6881162852972e-07,1.5995028745066e-06,1.92156886105347e-06
"K05844",5.10502334296948e-05,4.98313617178739e-05,4.71488604266471e-05,6.45459386399943e-05,5.88269291104543e-05,6.63246138133678e-05,5.05493587333417e-05,5.01140666858112e-05,4.44537050477709e-05,4.87561516708794e-05,5.52955620825185e-05,4.75100174217926e-05,4.98311027623041e-05,5.69984569703434e-05,5.50285005004881e-05,4.75852105165715e-05,4.6501966437494e-05
"K05845",0.000297692929842965,0.000281858639716724,0.000257441122860542,0.000242729093195472,0.00026688848891164,0.000209770871595768,0.000309771483477462,0.00031378475779622,0.000307594357202585,0.000287276910259953,0.000294631447775533,0.000253023533150006,0.000254548490300948,0.000252636017924943,0.000306531999266803,0.000295508156065095,0.000300917683640973
"K05846",0.000423416641975704,0.000393979203581941,0.000406398142084551,0.000430912322751512,0.00039259234795819,0.000383184396748992,0.000486694239044158,0.000510913949572772,0.000490254841924942,0.000405626904979723,0.000422541559309811,0.000364824629193031,0.000388078588179156,0.000394703600523957,0.000415232663987838,0.000415070995934464,0.000396227499149225
"K05847",0.000353748088118709,0.000339865459216437,0.000326704050566944,0.000323411516495465,0.000328192341353061,0.000285790777793814,0.000360111960563145,0.000369305321302908,0.000357736451047938,0.000341090754012874,0.000346379747384833,0.000300969422291264,0.000313008355446335,0.000321419870133516,0.00035109733417917,0.000348491688783126,0.000344537296786887
"K00508",6.12602801156338e-05,5.13885917715575e-05,6.59249552868163e-05,9.25006937552032e-05,6.64641093809343e-05,8.30710279323577e-05,9.35789781509797e-05,9.48216365507465e-05,8.7432642629502e-05,5.28023053365125e-05,5.19569621077249e-05,5.36122214943165e-05,5.43612030134227e-05,5.44270980092753e-05,4.88281060778979e-05,6.25805499650709e-05,4.34274562598084e-05
"K00500",0.000292688004996917,0.000269790106800677,0.000251182424573819,0.000227047157399135,0.000253678231146485,0.000196329670789737,0.000254000083552659,0.000245995605349853,0.000244811399362605,0.000265832295832098,0.00025456824807801,0.000224038063805518,0.000223053507602695,0.000231850866322976,0.000273204879245381,0.000260519030685263,0.000280741210599912
"K00507",0.000521713365952097,0.000533156639629909,0.000503407965528759,0.000487276381845591,0.000482793639260886,0.000494680259172793,0.000500898191084931,0.00050384391526855,0.000499946170987489,0.000512647669435719,0.000477002471398631,0.000518905282024258,0.000489250827120804,0.00045255917714799,0.000515020261726399,0.000517839055621513,0.000521321632003806
"K00504",4.20413687068075e-06,2.14119132381489e-06,2.29485603846513e-06,3.86366534112642e-06,3.71538499644974e-06,3.52556086715576e-06,6.2664494297531e-06,4.15884370836608e-06,4.42430239811938e-06,5.05769208204143e-06,6.88586244801174e-06,6.10220407252382e-06,4.74581931069563e-06,3.85703844160219e-06,3.29395953700105e-06,3.19900574901321e-06,2.69019640547486e-06
"K00505",2.60256091994523e-06,1.36257629697311e-06,3.12934914336153e-06,3.18184204563352e-06,2.06410277580541e-06,3.08486575876129e-06,3.13322471487655e-06,2.91119059585625e-06,6.10975093073628e-06,3.23692293250652e-06,2.50394998109518e-06,1.30761515839796e-06,3.45150495323319e-06,3.21419870133516e-06,1.35633627994161e-06,1.19962715587995e-06,1.15294131663208e-06
