"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_2E","FS_3A","FS_3C","FS_3E"
"K00001",9021.08,7240.64,10728.28,4204.27,6669.4,7043.28,6615.26,7440.88,6653.02,10701.75,5234.54,13056.24,13771.54,10211.65,1232.4,11637.67,9846.04,8785.8
"K00002",29.66,19,36.66,19.5,28,20.33,34.84,37.34,33.17,24.84,17.16,26.5,31.67,22.66,0.33,31.33,31.34,25.5
"K00003",14096.66,11436.74,17411.49,6973.48,10715.1,11699.8,11172.32,13440.84,11727.19,14599.38,7324.22,19165.06,17616.23,13001.95,1493.59,17436.45,14179.01,13308.62
"K00004",729.959999999999,444.38,967.349999999999,512.18,602.16,638.069999999999,620.339999999999,763.42,673.29,852.22,532.29,1010.31,1066.42,706.48,48.52,802.41,794.35,703.33
"K00005",1680.74,1052.85,2302.55,1356.62,1537.79,1554.92,1532.66,1897.56,1805.27,1589.21,1011.63,2255.16,1900.44,1375.15,45.4,1731.19,1784.33,1519.87
"K00006",7,4,24,7,11,25,16,22,14,0,2,1,2,2,0,5,1,3
"K00007",431.95,321.25,656.6,378,428.01,484.18,401.52,545.02,505.33,583.08,257.98,817.69,672.93,447.78,59.18,471,492.06,456.53
"K00008",8065.83,7377,9573.79,2942,5064.18,5726.85,6687.72,7858.12,7053.16,8505.64,3340.36,11269.56,9714.43,7035.57,1005.88,9673.97,7626.83,8128.55
"K00009",1633.31,976.2,2205.1,1211.06,1381.12,1511.59,1356.46,1675.92,1501.54,1517.13,931.72,2425.33,1889.58,1202.33,71.27,1517.73,1467.79,1391.03
"K00010",3405.68,2556.42,4734.29,2407.28,2833.56,3277.62,3958.5,4473.17,4233.86,4343.34,2316.8,6584.88,5616.75,3446.64,541.71,4228.39,3972.77,3574.09
"K00011",1761,1791,1673,346.5,899.5,715.5,813,917,788,1633.5,508,1834,1699,1342.5,131,1746,1304,1667
"K00012",16153.85,13247.84,20165.16,8251.69999999999,12376.33,13839.48,13067.8,15448.19,13685.46,17550.67,8798.35,23414.92,22122.7,16160.6,2042.2,22026.57,17661.57,16376.29
"K00013",15540.71,12543.86,19385.74,7989.34999999999,12081.2,13224.44,12564.91,15107.21,13301.63,16408.83,8312.61999999999,21834.79,19888.19,14516.55,1702.93,19917.18,16219.78,15223.59
"K00014",17665.93,13575.65,22676.26,9911.68999999999,14378.24,15811.17,14745.21,17567.04,15471.92,19813.15,10315.68,26128.46,25016.66,18112.47,2144.95,23478.1,19431.54,17622.48
"K00015",4531.97,3415.09,5592.26,2109.47,3168.81,4100.85,3628.92,4242.01,3416.78,5535.84,2594.39,6772.49,6780.28,5149.08,632.47,6802.3,4988.17,4720.27
"K00016",1809.61,1174.81,2512.28,1295.4,1564.76,1878.32,1649.8,2046.74,1636.57,1457.96,977.01,2220.7,1910.01,1328.51,56.79,1722.47,1574.98,1503.79
"K00018",1893.11,1530.18,2098.23,841.62,1622.43,1506.57,1046.94,1005.03,1108.26,2158.82,1287.28,3402.28,2867.74,1797.83,234.59,2302.39,1837.94,1930.11
"K00019",7108.97,5633.22,9129.96,3571.25,5320.71,6420.2,5736.87,6219.66,5832.72,8565.61,3909.14,10912.86,11779.17,8928.83,1407.5,10387.28,7876.43,6849.26
"K00020",15867.64,12194.83,19967.68,7791.71,12038.6,13779.79,11950.96,13333.45,11736.1,18047.04,8924.62,23984.32,24413.65,18311.3,2532.03,21277.83,16661.93,14660.93
"K00021",531.41,251.09,673,323.45,404.82,406.87,388.76,595.42,475.37,194.18,122.45,250.23,295.71,218.41,6,240.53,245.8,201.11
"K00023",4069.45,2920.39,4813.18,1825.29,2858.12,3656.22,2423.41,2599.28,2383.44,4761.24,2009.98,5562.94,6422.95,4940.88,785.44,5142.28,3797.92,3400.23
"K00024",14536.81,11801.75,18164.71,7412.97999999999,11153.52,12530.1,11553.77,13878.88,12133.57,15281.47,7560.2,20711.28,18839.21,13719.89,1650.88,18645.96,15090.32,14143.9
"K00027",8194.27,6522.94,10257.32,4632.32,6042.59999999999,6991.88,7539.85,8826.08,8037.09,8539.01999999999,4233.55,12412.3,10222.06,6995.54999999999,995.32,9467.62999999999,8295.94,7530.17999999999
"K00028",20.5,6.75,37.75,8,8,40,17.25,15.25,27.25,2.67,0.5,1.5,2.25,1.33,0,2.5,1.5,1.75
"K00029",8339.91000000001,6214.76,10067.72,4066.09999999999,6717.36,7412.86000000001,5177.57999999999,5851.13999999999,5266.15999999999,9362.29,4549.49,11939.7,12347.58,9376.56000000001,1181.98,9731.75,7712.01,7071.4
"K00030",2776.47,2860.36,3345.56,798.9,1619.06,1824.57,1872.12,2152,2015.11,2656.68,896.4,3206.38,2894.25,2380.3,272.43,3434.33,2463.52,2833.19
"K00031",15267.38,12204.68,18582.33,7723.30999999999,11609.07,12753.71,11741.08,13900.58,12075.72,16046.65,8074.32,21779.77,19875.37,14324.74,1758.31,19267.07,15557.33,14433.44
"K00032",0,0,0,0,0,0,0,1,0,4,0,2,3.67,0.67,1,0,0,1
"K00033",14114.92,11960.42,17645.8,6783.81999999999,10257,11505.77,11215.7,13048,11576.31,15329.53,7139.16,20896.88,18756.24,13886.01,1820.84,18205.46,14916.89,14387.67
"K00034",3098.63,2935.06,3522.38,987.160000000001,1953.09,1871.2,1784.11,2071.32,1882.02,3160.25,1147.48,3728.38,3550.2,2914.9,284.41,3284.5,2531.91,2769.92
"K00035",697,646,896,256,599.5,617.5,395.5,427.5,359.5,1090,456,1171.5,1354.34,1133.17,112.5,852.5,699.5,641.5
"K00036",14011.48,11338.23,17295.88,6979.03999999999,10535.65,11495.91,11109.45,12559.07,11556.88,15000.98,7178.94,21292.91,18919.65,13871.04,1925.08,17075.35,14181.56,13142.55
"K00038",1403.63,979.51,1862.91,909.96,1205.53,1246.66,1090.38,1253.57,1107.06,1796.65,985.25,1855,2266.11,1647.6,112.66,1784.22,1600.26,1320.65
"K00039",402.32,351.76,641.93,369.33,419.31,461.22,391.07,485.39,462.88,509.98,270.89,755.88,614.53,427.31,30.42,498.21,494.72,464.69
"K00040",2136.32,1492.34,2952.07,1573.61,1969.33,2088.93,1903.05,2303.56,2092.05,2455.07,1359.43,3437.79,2836.94,1918.82,128.17,2077.55,2068.96,1932.93
"K00041",853.86,569.93,1230.51,674.67,814.76,940.96,811.54,1013.53,947.24,873.48,471.38,1287.43,1013.09,745.6,59.72,731.79,748.42,729.08
"K00042",5175.81999999999,3828.45,6500.43999999999,2608.89,3650.3,4419.25999999999,4269.26,4698.88999999999,4293.24999999999,6064.66999999999,2873.91,7587.23999999999,7977.86999999999,5729.48999999999,768.47,6925.86999999999,5369.28,5015.23999999999
"K00043",0.25,0.25,0.5,0.75,0.5,0,1.75,0.25,0.5,4.25,0,1.25,1,0.25,0,0.25,0.25,0.25
"K00045",327.5,221.65,504.38,266.35,242.16,343.16,441.95,566.71,502.59,420.37,278.33,557.03,531.51,313.83,15.83,357.7,309,325.7
"K00046",5963.99999999999,4743.55,7317.67999999998,2652.28,4226.46,4742.79,4069.22,4614.33,4067.34,6825.14999999999,3006.48,8441.86999999999,8792.91999999999,6577.99999999999,870.65,7687.87999999999,6031.22,5594.43
"K00048",239.65,194.61,435.06,224.78,279.14,300.32,341.72,408.65,300.34,231.12,158.15,313.79,285.83,161.9,3.89,217.08,245.37,228.93
"K00050",8136.77,6393.85999999999,9060.52000000001,3316.89,5648.03999999999,5930.58,4999.46999999999,5860.90999999999,5004.98999999999,8389.37,3653.37,9398.49000000001,9678.06000000001,7630.94000000001,829.9,9913.1,7419.45,7466.86
"K00051",10,7,10,1,1,0,0,1,2,9,5,7,8,5,1,35,17,22
"K00052",16591.02,13419.53,20754.3,8367.65999999999,12932.02,13991.28,13176.84,15813.49,13889.41,17908.86,9149.29,23497.75,21811.09,15835.37,1768.56,21326.86,17376.25,16327.75
"K00053",15375.52,12507.58,19183.03,7876.76999999999,11966.93,12981.02,12442.85,15024.68,13166.89,16267.55,8270.69,21706.22,19623.58,14415.24,1673.25,19686.63,16123.31,15095
"K00054",1117.54,653.56,1374.5,580.44,785.9,1006.96,760.5,1038.9,678.68,1255.42,733.5,1315.04,1345.48,953.76,75.32,1204.91,1071.96,1070.54
"K00055",992.1,683.44,1420.99,670.97,745.16,860.04,914.49,1080.34,906.35,1615.43,982.78,2087.04,2011.21,1129.13,67.46,1271.02,1289.65,1214.1
"K00057",15421.43,12594.99,19356.23,7968.68999999999,12018.45,13256.9,12390.41,14660.4,12984.09,16236.48,8317.36,21656.8,20149.98,14623.98,1703.05,20130.05,16343.45,15252.8
"K00058",26922.09,21526.91,33766.13,13389.47,20691.99,23232.67,20983.29,24666.35,21568.78,30608.25,14771.55,38488.36,38108.85,28626.08,3506.32,35448.95,28800.28,26205.03
"K00059",83633.6900000002,68611.66,104563.16,41048.23,62623.1800000001,69436.0400000001,68216.4500000001,78752.4800000001,70625.6600000002,91147.4100000001,43687.96,123163.81,115973.65,85872.5600000002,11692.57,112300.26,89744.2900000001,82776.6600000001
"K00060",3419.87,2958.27,4049.2,1622.4,2394.15,2409,2367.14,2778.16,2533.56,3274.43,1297.61,3985.58,3714.77,2896.84,272.9,3239.8,2797.6,3010.92
"K00064",2753.13,2114.98,3605.01,1367.25,2270.7,2436.66,1933.13,2181.1,2068.37,3558.08,1620.24,4062.17,4410.7,3606.34,336.26,3184.46,2688.4,2373.85
"K00065",3786.36,2894.82,4842.5,1856.3,2760.55,3183.54,2815.93,3086.26999999999,2809.71,4195.58,1943.07,5447.86,5804.25,4425.01,582.83,5158.72,4028.21,3676.18
"K00066",148.02,90.84,165.21,105.91,97.57,103.34,134.47,142.08,111.57,291.64,184.92,371.61,356.09,169.93,11.5,189.38,205.25,196.05
"K00067",14619.49,11664.91,18115.09,7244.40999999999,11320.28,12342.72,11482.97,14011.95,12170.8,15608.93,8052.68,20117.48,18937.41,14238.29,1618.05,18953.13,15334.94,14253.55
"K00068",925.99,581.92,1348.65,757.89,853.02,943.76,848.85,1071.73,941.889999999999,981.17,638.09,1362.83,1202.34,838.34,27.98,1037.32,1072.77,959.33
"K00073",116.34,94.43,248.65,111.6,115.3,187.82,156.16,214.27,124.49,134.24,99.74,186.98,174.7,138.71,3.29,129.24,149.29,134.28
