"DS_2A"	"DS_2C"	"DS_2E"	"DS_3A"	"DS_3C"	"DS_3E"	"FS_1A"	"FS_1C"	"FS_1E"	"FS_2A"	"FS_2C"	"FS_3A"	"FS_3C"	"FS_3E"
"K03910"	0	0	0	0	0	0	0	0	0	0.000324887034428858	0	0	1.04223663982907e-06	0
"K14320"	0	0	0	0	0	0	0	8.63640642583184e-07	0	4.01095104233158e-06	0	0	1.04223663982907e-06	0
"K01907"	0.000443154137505226	0.00068307949261585	0.000691850149164126	0.000522430536832084	0.000554532044729803	0.000670763883237204	0.000671681412775844	0.000602821168523062	0.000611708764244323	0.000215731866776834	0.000440527556222329	0.000468494289033418	0.000358529404101201	0.000416925082368653
"K00825"	0	0	0	0	0	0	0	0	0	6.58941956954473e-06	0	0	0	0
"K09842"	0	0	1.02800913694521e-06	0	0	0	0	0	0	0	0	0	0	0
"K01872"	0.00428768523891222	0.00372957349084025	0.00401026364322326	0.00302059837659277	0.00390375869899193	0.0031963014788309	0.00369157529780252	0.00394338317403482	0.00393884991820778	0.00125055723569838	0.00361477333633545	0.00408501581433211	0.00400635764350296	0.00405853212961353
"K14157"	9.65477423758662e-07	2.02694211458709e-06	1.02800913694521e-06	7.30672079485432e-07	1.22413254907241e-06	0	4.45412077437562e-06	0	8.6644300884465e-07	0.000276182628914831	0	0	2.08447327965815e-06	0
"K13524"	3.86190969503465e-06	4.05388422917418e-06	4.11203654778084e-06	7.30672079485432e-07	2.44826509814483e-06	3.93794843387791e-06	1.78164830975025e-06	6.90912514066547e-06	3.4657720353786e-06	9.05328949554842e-05	2.44737531234627e-06	0	2.08447327965815e-06	2.59496939233602e-06
"K09689"	3.28262324077945e-05	4.4592726520916e-05	3.18682832453015e-05	1.82668019871358e-05	2.69309160795931e-05	7.87589686775582e-06	5.79035700668831e-05	4.83638759846583e-05	4.76543654864558e-05	1.20328531269947e-05	5.87370074963106e-05	2.54386039294164e-05	2.08447327965815e-05	3.89245408850403e-05
"K10107"	0	0	0	0	1.22413254907241e-06	2.62529895591861e-06	0	0	0	0	2.44737531234627e-06	1.05994183039235e-06	0	3.45995918978136e-06
"K09688"	1.44821613563799e-05	3.24310738333935e-05	2.26162010127946e-05	8.03739287433975e-06	1.22413254907241e-05	2.62529895591861e-06	4.45412077437562e-06	6.90912514066547e-06	4.33221504422325e-06	5.72993006047368e-07	7.34212593703882e-06	8.47953464313878e-06	2.08447327965815e-06	6.91991837956271e-06
"K09691"	0.00146849116153692	0.00146345220673188	0.0014484648739558	0.00189755539042367	0.00187904346282615	0.00172744671299444	0.00137276002266257	0.00169532658139079	0.00136291485291263	0.000299961838665797	0.00138766180210034	0.00162913059331304	0.00185726569217541	0.00176890413577572
"K09690"	8.59274907145209e-05	0.000650648418782456	0.000226162010127946	9.79100586510478e-05	0.000266860895697786	8.6634865545314e-05	0.00046233773638019	0.000468093228280086	0.000412426872210054	2.23467272358474e-05	0.00014439514342843	0.000271345108580441	0.000250136793558978	0.00022835730652557
"K10013"	2.02750258989319e-05	1.82424790312838e-05	1.54201370541781e-05	1.31520974307378e-05	1.59137231379414e-05	1.96897421693895e-05	1.95981314072527e-05	3.19547037755778e-05	2.77261762830288e-05	6.30292306652105e-06	2.20263778111165e-05	1.90789529470623e-05	1.87602595169233e-05	1.90297755437975e-05
"K05663"	9.65477423758662e-07	6.08082634376127e-06	1.33641187802877e-05	2.92268831794173e-06	4.89653019628965e-06	0	5.34494492925075e-06	6.04548449808229e-06	3.4657720353786e-06	2.86496503023684e-07	0	1.27193019647082e-05	1.04223663982907e-06	4.3249489872267e-06
"K10010"	1.15857290851039e-05	1.82424790312838e-05	2.05601827389042e-05	3.28802435768444e-05	3.06033137268103e-05	3.0190937993064e-05	9.79906570362637e-06	1.98637347794132e-05	6.06510106191255e-06	5.44343355745e-06	1.46842518740776e-05	2.7558487590201e-05	1.25068396779489e-05	1.98947653412428e-05
"K10009"	1.93095484751732e-06	2.02694211458709e-06	2.05601827389042e-06	0	1.22413254907241e-06	2.62529895591861e-06	8.90824154875124e-07	3.45456257033273e-06	8.6644300884465e-07	0	0	1.05994183039235e-06	0	1.72997959489068e-06
"K02013"	0.000176682368547835	0.000245259995865038	0.000184013635513192	0.000219932295925115	0.000165257894124776	0.000313723225232273	0.000164802468651898	0.000185682738155385	0.000187151689910444	2.49251957630605e-05	0.000156632019990162	0.000132492728799043	0.00013549076317778	0.000104663765490886
"K02015"	0.000139028749021247	0.000263502474896322	0.000106912950242302	5.69924221998637e-05	9.67064713767207e-05	7.87589686775582e-05	8.73007671777622e-05	6.21821262659892e-05	5.28530235395237e-05	1.37518321451368e-05	0.000151737269365469	9.00950555833496e-05	7.29565647880351e-05	5.53593470365017e-05
"K02016"	9.46167875283488e-05	0.000178370906083664	7.29886487231099e-05	3.79949481332424e-05	8.44651458859965e-05	4.20047832946977e-05	0.000128278678302018	9.15459081138175e-05	0.000149894640530124	1.26058461330421e-05	0.000127263516242006	6.04166843323638e-05	6.98298548685479e-05	5.96842960237284e-05
"K10548"	9.07548778333142e-05	0.000103374047843942	0.00012438910557037	7.4528552107514e-05	9.30340737295034e-05	9.58234118910291e-05	9.44273604167632e-05	6.82276107640715e-05	2.68597332741842e-05	1.14598601209474e-05	5.62896321839643e-05	4.23976732156939e-05	3.33515724745303e-05	3.63295714927042e-05
"K10547"	5.59976905780024e-05	8.51315688126578e-05	7.81286944078359e-05	2.55735227819901e-05	5.75342298064034e-05	3.93794843387791e-05	8.46282947131368e-05	2.24546567071628e-05	3.20583913272521e-05	1.60438041693263e-05	9.7895012493851e-05	1.90789529470623e-05	7.60832747075223e-05	2.94096531131415e-05
"K10546"	0.000100409652070901	9.93201636147675e-05	0.000142893270035384	4.60323410075822e-05	4.65170368647517e-05	3.67541853828605e-05	9.44273604167632e-05	3.80001882736601e-05	2.77261762830288e-05	1.34653356421132e-05	8.0763385307427e-05	6.46564516539332e-05	6.14919617499153e-05	5.18993878467203e-05
"K10199"	1.93095484751732e-06	0	1.02800913694521e-06	7.30672079485432e-07	2.44826509814483e-06	5.25059791183721e-06	8.90824154875124e-07	1.72728128516637e-06	0	2.86496503023684e-07	2.44737531234627e-06	0	3.12670991948722e-06	0
