"DS_2A"	"DS_2C"	"DS_2E"	"DS_3A"	"DS_3C"	"DS_3E"	"FS_1A"	"FS_1C"	"FS_1E"	"FS_2A"	"FS_2C"	"FS_3A"	"FS_3C"	"FS_3E"
"2496608"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000115207373271889
"913264"	0	0.000115767538782125	0.000310752019888129	0	0	0	0	0	0	0	0	0.000181554103122731	0	0
"3656864"	0	0	0	0	0	0	0	0	0	0	0	0	0.000100542931831892	0.000115207373271889
"509265"	0	0	0.000103584006629376	0	0	0	0.000184859968573805	0	0.000247770069375619	0.000326663944467129	0	0.000181554103122731	0.000402171727327569	0.000230414746543779
"248444"	0	0.00162074554294976	0.000725088046405635	0.000528820729772607	0.000452284034373587	0.00101381320491699	0.000647009890008319	0.000544563441640951	0.000578130161876445	0.00106165781951817	0.000559284116331096	0.000635439360929557	0.000100542931831892	0.000691244239631336
"816470"	0.00148809523809524	0.00185228062051401	0.00341827221876942	0.00158646218931782	0.000791497060153777	0.00278798631352173	0.00231074960717257	0.00163369032492285	0.000578130161876445	0.00253164556962025	0.00167785234899329	0.00127087872185911	0.00110597225015081	0.000806451612903226
"571433"	0	0	0	0	0	0	9.24299842869027e-05	0	0	0	0	0	0	0
"591907"	0	0	0.000103584006629376	0.000132205182443152	0	0.000253453301229249	0	0	0	0	0	9.07770515613653e-05	0	0
"149938"	0	0	0	0	0.000791497060153777	0	0.000184859968573805	0	0	8.16659861167824e-05	0	0	0	0
"185100"	0	0	0.000103584006629376	0	0	0	0	0	0	0	0	0	0	0
"561647"	0	0	0	0	0	0	0	0	0	0.000163331972233565	0	0	0	0
"217472"	0.00165343915343915	0.00173651308173188	0.00103584006629376	0.00132205182443152	0.00361827227498869	0.00443543277151185	0.00101672982715593	0.000907605736068252	0.000495540138751239	0.00285830951408738	0.00145413870246085	0.00299564270152505	0.0038206314096119	0.00368663594470046
"652131"	0	0.000115767538782125	0	0	0	0	0	0	0	0	0	0	0	0
"812714"	0.000165343915343915	0	0.000103584006629376	0	0	0	0	0	0	0	0	0	0	0
"511344"	0.000661375661375661	0	0	0	0	0	0	0	0	0	0	0	0	0
"224421"	0	0	0	0.000132205182443152	0	0.000126726650614624	0	0	0	0	0	0	0	0
"511346"	0	0	0	0	0	0	0	0	0	8.16659861167824e-05	0.000111856823266219	0	0	0
"553653"	0.000165343915343915	0	0	0	0	0	0	0	0	0	0	0	0	0
"368706"	0	0	0.000103584006629376	0	0	0	0	0	0	0	0	0	0	0
"829373"	0	0	0	0	0	0	0	0	0	0.000163331972233565	0	0	0	0
"109057"	0	0.000115767538782125	0.000207168013258753	0	0.000113071008593397	0	9.24299842869027e-05	0.000363042294427301	0	0.000163331972233565	0.000111856823266219	0	0	0.000115207373271889
"1106617"	0	0.000463070155128502	0.000207168013258753	0.000132205182443152	0	0	0.00120158979572973	0	0.000330360092500826	0.00122498979175174	0.000894854586129754	0	0.000100542931831892	0
"4353982"	0	0	0	0	0	0	9.24299842869027e-05	0	0	8.16659861167824e-05	0	0	0	0
"1845035"	0.000330687830687831	0	0	0	0	0	0	0	0	0	0	0	0	0
"1033426"	0	0.000231535077564251	0	0	0	0	0	0	0	0	0	0	0	0
"686219"	0.000330687830687831	0	0	0	0	0	0	0	0	0	0	0	0	0
"220782"	0	0.000115767538782125	0	0	0	0	0	0	0	0	0	0	0	0
"4401025"	0	0	0	0	0	0	0	0	8.25900231252065e-05	8.16659861167824e-05	0.000111856823266219	0	0	0
"571709"	0	0.000115767538782125	0	0	0	0	0	0	0	0	0	0	0	0
"555384"	0.000165343915343915	0	0.000207168013258753	0.000132205182443152	0	0	0	0	0	0	0	9.07770515613653e-05	0	0
"2476146"	0	0	0.000103584006629376	0	0	0	0	0	0	0.000244997958350347	0	0	0	0
"151957"	0.00115740740740741	0.00138921046538551	0.000517920033146882	0.00185087255420412	0.00486205336951606	0.00253453301229249	0	0.00018152114721365	0.000578130161876445	0.000326663944467129	0.00145413870246085	0.00181554103122731	0.000402171727327569	0.00184331797235023
"4339417"	0	0	0.000103584006629376	0	0	0	0	0	8.25900231252065e-05	0	0	0	0	0
"249066"	0	0.000347302616346376	0.000103584006629376	0.000264410364886304	0.000452284034373587	0	9.24299842869027e-05	0	0.000165180046250413	8.16659861167824e-05	0.000223713646532438	0	0.000100542931831892	0.000115207373271889
"1521997"	0	0	0	0	0	0	0	0	0	0	0.000111856823266219	0	0	0
"673010"	0.00297619047619048	0.00208381569807826	0.00217526413921691	0.00224748810153358	0.00067842605156038	0.00152071980737549	0.00406691930862372	0.00235977491377745	0.00322101090188305	0.00342997141690486	0.00492170022371365	0.000726216412490922	0.00281520209129298	0.00230414746543779
"4382172"	0	0	0	0	0.000113071008593397	0	0	0	0	0	0	0	0	0
"4396041"	0	0	0	0	0	0	0	0	0.000165180046250413	0	0	0	0	0
"249068"	0	0	0.000207168013258753	0	0	0	0	0	0	0	0	0	0	0
"104281"	0	0	0	0	0	0	0.000277289952860708	0	0	0	0	0	0	0
"153608"	0	0	0	0	0	0	9.24299842869027e-05	0	0	0	0	0	0	0
"838066"	0	0.000115767538782125	0	0.000132205182443152	0.000226142017186793	0	0	0	0	0	0.000111856823266219	9.07770515613653e-05	0	0
"204148"	0	0	0	0	0	0.000126726650614624	0.000277289952860708	0	0	0	0	0	0	0
"4450676"	0	0	0.000103584006629376	0	0	0.00088708655430237	0	0	0	0	0	0	0	0
"220305"	0.000330687830687831	0	0	0	0	0	0	0	0	0	0	0	0	0
"3768993"	0	0	0	0	0	0	0	0	0	8.16659861167824e-05	0	0	0	0
"4305287"	0	0	0	0.000528820729772607	0	0	0	0	0	0	0	0	0	0
"960234"	0.000661375661375661	0	0	0	0	0	0	0	0	0	0	0	0	0
"210657"	0	0	0	0	0	0	9.24299842869027e-05	0.00018152114721365	0.000165180046250413	0.000326663944467129	0	0	0	0
"514040"	0.000165343915343915	0	0	0	0	0	9.24299842869027e-05	0.00018152114721365	0	8.16659861167824e-05	0	0	0	0.000115207373271889
"514041"	0	0.000115767538782125	0.000103584006629376	0.000264410364886304	0.000452284034373587	0.000380179951843873	0	0	0	0	0	0	0	0
"99994"	0	0	0	0	0.000226142017186793	0	0	0	0	0	0	0	0	0
"224934"	0	0	0	0.000793231094658911	0.000113071008593397	0	0	0	0	0	0	0	0.000100542931831892	0.000230414746543779
"993474"	0	0	0	0	0	0	0	0.00018152114721365	0	0	0	0	0	0
"172172"	0	0.000115767538782125	0	0	0	0	9.24299842869027e-05	0.000363042294427301	0	0.000244997958350347	0	9.07770515613653e-05	0.000402171727327569	0.000115207373271889
"842284"	0.000165343915343915	0	0.000103584006629376	0.000132205182443152	0.000226142017186793	0.000380179951843873	0	0	0	0	0	0	0	0
"575993"	0.000165343915343915	0	0	0	0	0	0	0	0	0	0	0	0	0
"712222"	0	0	0	0	0.000113071008593397	0.000633633253073121	9.24299842869027e-05	0.00018152114721365	0	0	0	0	0	0
"111086"	0.000165343915343915	0.000115767538782125	0	0	0	0.000126726650614624	0	0	8.25900231252065e-05	0	0	0	0	0
"678627"	0	0	0	0	0	0	0	0	0	0	0.000111856823266219	0	0	0
"546305"	0.00380291005291005	0.00937717064135216	0.00238243215247566	0.00290851401374934	0.00203527815468114	0.00190089975921936	0.0112764580830021	0.0194227627518606	0.0124710934919062	0.0156798693344222	0.00838926174496644	0.00835148874364561	0.00874723506937462	0.00483870967741936
"340614"	0	0	0	0	0	0	9.24299842869027e-05	0	0	0	0	0	0	0
"74124"	0	0	0	0	0	0	0	0	0	0	0	9.07770515613653e-05	0	0
"4346429"	0	0	0	0	0	0	0	0	0	0	0	9.07770515613653e-05	0	0
"539878"	0.000165343915343915	0	0	0	0	0	0	0	0	8.16659861167824e-05	0.000111856823266219	0	0	0
"227239"	0.000165343915343915	0	0.000103584006629376	0	0	0	0	0	0	0	0.000111856823266219	0	0	0
"220544"	0	0	0	0	0	0.000126726650614624	0	0	0	0	0	0	0	0
"586374"	0	0	0	0	0	0	0	0	0	8.16659861167824e-05	0	0	0	0
"573135"	0.00330687830687831	0.00451493401250289	0.00248601615910503	0.00105764145954521	0.00237449118046133	0.00088708655430237	0.00499121915149274	0.00816845162461427	0.00586389164188966	0.00800326663944467	0.00749440715883669	0.00462962962962963	0.00452443193243515	0.00495391705069124
"348570"	0	0.000231535077564251	0.000103584006629376	0	0	0.000253453301229249	0	0	0	0	0	0	0	0
"101542"	0.000330687830687831	0.000231535077564251	0.000621504039776259	0.000396615547329455	0.00101763907734057	0.00101381320491699	0.000554579905721416	0.000544563441640951	0.0012388503468781	0.00146998775010208	0.000671140939597315	0.00172476397966594	0.000804343454655138	0.00172811059907834
"1909053"	0	0	0.000103584006629376	0	0	0	0	0	0	0	0	0	0	0
"205602"	0	0	0	0	0	0.000126726650614624	9.24299842869027e-05	0	8.25900231252065e-05	0	0	0	0	0
"190020"	0	0	0.000103584006629376	0	0	0	0	0	0	0	0	0	0	0
"221964"	0.000661375661375661	0.000115767538782125	0	0.000661025912215759	0.00033921302578019	0	9.24299842869027e-05	0	8.25900231252065e-05	0	0.000335570469798658	0.00145243282498184	0.00110597225015081	0.000806451612903226
"113577"	0	0.000463070155128502	0.000310752019888129	0	0	0.000126726650614624	0	0	0	0	0.000111856823266219	0	0	0
"113576"	0	0	0.000517920033146882	0.00423056583818086	0.000904568068747173	0.00240780636167786	0	0	0	0	0	0	0	0
"510580"	0	0	0.000103584006629376	0	0	0.000126726650614624	0	0	0	0	0	0	0	0
"824675"	0.00165343915343915	0.000347302616346376	0.000414336026517506	0	0	0	0	0	0	0	0	0	0	0
"824674"	0.0064484126984127	0.0231535077564251	0.00559353635798633	0.00568482284505553	0.0033921302578019	0.00671651248257509	0.0217210463074221	0.0239607914322019	0.0196564255037991	0.0172315230706411	0.0108501118568233	0.0103485838779956	0.0128694952744822	0.00898617511520737
"150607"	0	0	0	0	0.000226142017186793	0	0	0	0	0	0	0	0	0
"4352292"	0.000165343915343915	0	0	0	0	0	0	0	0	0	0	0	0	0
