OTUID	FG.E	ADI.A	FG.A	AD2.E	AD2.C	FG.C	F2.A	ADI.E	FI.E	FI.A	ADI.C	F2.C	ADG.E	ADG.C	ADG.A	FI.C	AD2.A	F2.E
k__Archaea;p__Crenarchaeota;c__MBGA	0.00253456221198	0.00094679038061	0.00208787218591	0.00155376009944	0.0012734429266	0.000804343454655	0.000898325847285	0.00180586907449	0.000743310208127	0.00129401978002	0.000160694198939	0.000559284116331	0.000887086554302	0.00282677521483	0.00317292437864	0.000544563441641	0.00082671957672	0.00115074798619
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	0.000230414746544	0.00672221170233	0.000544662309368	0.00694012844417	0.00787219263718	0.00150814397748	0.000979991833401	0.00782543265613	0.00330360092501	0.00249560957575	0.00433874337136	0.00223713646532	0.0102648586998	0.0176390773406	0.0100475938657	0.000726084588855	0.00727513227513	0.00805523590334
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.000115207373272	0.0	0.0	0.0	0.0	0.000201085863664	0.0	0.0	0.0	0.0	0.000160694198939	0.0	0.0	0.000226142017187	0.000264410364886	0.0	0.0	0.0
k__Bacteria;p__AD3;c__ABS-6	0.00460829493088	0.00766900208294	0.00490196078431	0.0262067536772	0.00625144709423	0.00271465915946	0.00236831359739	0.0185854025583	0.001982160555	0.00101672982716	0.00482082596818	0.00313199105145	0.0214168039539	0.0222749886929	0.0200951877314	0.00235977491378	0.0142195767196	0.0
k__Bacteria;p__AD3;c__JG37-AG-4	0.000576036866359	0.000473395190305	0.0	0.000621504039776	0.0	0.000402171727328	0.00024499795835	0.00173062452972	0.000495540138751	0.000277289952861	0.000642776795758	0.000111856823266	0.00164744645799	0.0016960651289	0.00264410364886	0.0	0.0014880952381	0.0
k__Bacteria;p__Acidobacteria;c__	0.0	0.0	0.0	0.0	0.0	0.000100542931832	0.0	0.0	0.0	0.000184859968574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5	0.00576036866359	0.0038818405605	0.00499273783588	0.0017609281127	0.00231535077564	0.00573094711442	0.00408329930584	0.00316027088036	0.00322101090188	0.00656252888437	0.00241041298409	0.00671140939597	0.00139399315676	0.00214834916327	0.00251189846642	0.00889453621347	0.00248015873016	0.00230149597238
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.00702764976959	0.0060594584359	0.00753449527959	0.0201988812927	0.00659874971058	0.00452443193244	0.00416496529196	0.0144469525959	0.00231252064751	0.00443663924577	0.00642776795758	0.0086129753915	0.00392852616905	0.00621890547264	0.00661025912216	0.00199673261935	0.0178571428571	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia	0.173502304147	0.178469986745	0.158769063181	0.0593536357986	0.106043065524	0.134727528655	0.111637403022	0.112791572611	0.121076973902	0.158055273131	0.169210991483	0.11062639821	0.0984666075276	0.0981456354591	0.100079323109	0.131965874024	0.0749007936508	0.0771001150748
k__Bacteria;p__Acidobacteria;c__DA052	0.0251152073733	0.0177996591555	0.0292302106028	0.0249637455977	0.0193331789766	0.0271465915946	0.0222948142099	0.02949586155	0.0128014535844	0.0159903872816	0.0167121966897	0.0181208053691	0.0181219110379	0.023631840796	0.0214172395558	0.0221455799601	0.0157076719577	0.0195627157652
k__Bacteria;p__Acidobacteria;c__Holophagae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000184859968574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres	0.0520737327189	0.0433629994319	0.0573710965868	0.0378081624197	0.0644825191016	0.0584154433943	0.0316047366272	0.0392776523702	0.0291542781632	0.0424253627877	0.0512614494617	0.0342281879195	0.072994550754	0.0663726820443	0.0696721311475	0.0444726810673	0.0355489417989	0.0402761795167
k__Bacteria;p__Acidobacteria;c__Sva0725	0.000691244239631	0.0	0.000453885257807	0.000207168013259	0.000115767538782	0.000201085863664	8.16659861168e-05	0.000300978179082	8.25900231252e-05	0.000184859968574	0.000160694198939	0.000223713646532	0.000506906602458	0.00033921302578	0.00237969328398	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__TM1	0.000230414746544	9.4679038061e-05	0.000544662309368	0.000103584006629	0.000115767538782	0.000301628795496	0.00024499795835	0.000300978179082	8.25900231252e-05	0.0	0.000160694198939	0.000223713646532	0.000380179951844	0.000791497060154	0.000396615547329	0.0	0.000165343915344	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	0.000345622119816	0.000189358076122	0.000453885257807	0.00124300807955	0.0	0.000201085863664	0.000163331972234	0.00105342362679	0.000330360092501	0.0	0.0	0.0	0.000506906602458	0.00067842605156	0.000793231094659	0.0	0.00115740740741	0.0
k__Bacteria;p__Acidobacteria;c__iii1-8	0.0	0.00189358076122	0.000181554103123	0.00310752019888	0.00208381569808	0.0	0.0	0.00601956358164	8.25900231252e-05	0.0	0.000642776795758	0.000335570469799	0.00139399315676	0.0050881953867	0.00317292437864	0.000181521147214	0.00281084656085	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.00622119815668	0.00492330997917	0.00671750181554	0.00538636834473	0.0052095392452	0.00935049266037	0.00498162515312	0.00474040632054	0.00627684175752	0.00656252888437	0.00369596657561	0.00782997762864	0.00557597262704	0.00881953867028	0.00912215758858	0.00907605736068	0.0067791005291	0.00230149597238
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0533410138249	0.0765953417913	0.0599128540305	0.076030660866	0.0782588562167	0.0784234868289	0.0674561045325	0.0860045146727	0.090353485299	0.0667344486551	0.0588140768118	0.0540268456376	0.167152452161	0.144391677974	0.14066631412	0.077328008713	0.119047619048	0.146144994246
k__Bacteria;p__Actinobacteria;c__MB-A2-108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000181521147214	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria	0.0	0.0	0.0	0.0	0.0	0.000201085863664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.014400921659	0.0142018557091	0.0193355119826	0.0222705614253	0.0172493632785	0.0281520209129	0.018864842793	0.0145221971407	0.0184175751569	0.013864497643	0.0110878997268	0.0109619686801	0.0335825624129	0.0384441429218	0.0448175568482	0.0192412416046	0.0209986772487	0.02416570771
k__Bacteria;p__Armatimonadetes;c__0319-6E2	0.0	0.000757432304488	0.0	0.000828672053035	0.000231535077564	0.0	0.0	0.000601956358164	0.0	0.0	0.000321388397879	0.0	0.00139399315676	0.00033921302578	0.00105764145955	0.0	0.000992063492063	0.0
k__Bacteria;p__Armatimonadetes;c__Armatimonadia	0.000345622119816	0.000378716152244	0.0	0.000103584006629	0.000463070155129	0.000100542931832	0.000489995916701	0.000150489089541	0.00016518004625	0.0	0.000160694198939	0.0	0.000887086554302	0.000226142017187	0.000793231094659	0.000544563441641	0.000165343915344	0.0
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes	0.0	0.000189358076122	0.0	0.000517920033147	0.000463070155129	0.0	0.000408329930584	0.000376222723853	8.25900231252e-05	0.0	0.000321388397879	0.000111856823266	0.000126726650615	0.000226142017187	0.0	0.000181521147214	0.0	0.0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	0.000115207373272	0.000568074228366	0.0	0.000310752019888	0.000578837693911	0.0	8.16659861168e-05	0.000827689992476	0.00016518004625	0.0	0.0	0.0	0.000126726650615	0.00033921302578	0.0	0.0	0.000330687830688	0.0
k__Bacteria;p__BHI80-139;c__	0.0	0.0	0.0	0.000414336026518	0.0	0.0	0.000163331972234	0.0	0.0	9.24299842869e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.25900231252e-05	9.24299842869e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.0	0.000473395190305	0.0	0.00383260824529	0.00266265339199	0.0	0.000163331972234	0.000526711813394	0.000247770069376	0.000369719937148	0.0	0.000223713646532	0.0	0.0	0.0	0.0	0.00429894179894	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	0.0	0.0	0.000115767538782	0.0	0.000163331972234	0.0	0.000495540138751	0.0	0.0	0.000671140939597	0.0	0.000113071008593	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.000115207373272	0.0017042226851	0.000181554103123	0.00196809612596	0.00173651308173	0.000201085863664	0.00130665577787	0.00165537998495	0.00107367030063	0.00240317959146	0.000482082596818	0.000782997762864	0.000633633253073	0.000113071008593	0.000264410364886	0.000726084588855	0.00214947089947	0.00115074798619
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.00645161290323	0.0106987313009	0.00208787218591	0.0181272011601	0.0155128501968	0.00432334606877	0.00547162106982	0.0158013544018	0.00702015196564	0.00628523893151	0.00899887514061	0.00995525727069	0.0124192117602	0.0150384441429	0.0149391856161	0.0039934652387	0.0234788359788	0.00460299194476
k__Bacteria;p__Chlorobi;c__OPB56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000165343915344	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae	0.0	0.0	9.07770515614e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__C0119	0.0	0.000189358076122	0.0	0.0	0.0	0.0	0.0	7.52445447705e-05	0.0	0.0	0.000321388397879	0.0	0.0	0.0	0.0	0.0	0.000330687830688	0.0
k__Bacteria;p__Chloroflexi;c__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000165343915344	0.0
k__Bacteria;p__Chloroflexi;c__Ellin6529	0.0	0.0	0.000181554103123	0.00310752019888	0.000115767538782	0.000100542931832	8.16659861168e-05	7.52445447705e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000132205182443	0.0	0.000661375661376	0.0
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136	0.0	0.0	0.0	0.000103584006629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria	0.000576036866359	0.00113614845673	0.000453885257807	0.00165734410607	0.000231535077564	0.000201085863664	0.000163331972234	0.00173062452972	0.000578130161876	0.000184859968574	0.00176763618833	0.0010067114094	0.00380179951844	0.00327905924921	0.00198307773665	0.000181521147214	0.0026455026455	0.0
k__Bacteria;p__Chloroflexi;c__P2-11E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52445447705e-05	0.0	0.0	0.0	0.0	0.000126726650615	0.00033921302578	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__S085	0.000115207373272	0.0	0.0	0.000932256059664	0.000115767538782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000760359903688	0.0	0.000132205182443	0.0	0.000661375661376	0.0
