"BulkAG1"	"BulkAG2"	"BulkAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"4479944"	0	0	0	9.45715906941555e-05	3.16045636989981e-05	0	0	0	0	0	0	0	0	0	0	0	6.39345310402148e-05	3.10761676870008e-05	0.00016627315353663	9.71722864639005e-05	0	3.53419332037462e-05	0	2.96041919535806e-05	9.94596028246527e-05	3.67728175332794e-05	0
"244331"	0	0	0	0	0	0	0	4.11827691293963e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"244336"	0	0	0	0	0	0	0	0	0	0	0	4.02252614641995e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1124709"	0	0	0	0	0	0	0	0	0	0	0	4.02252614641995e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1126562"	0	0	0	0	0	0	6.52954619653934e-05	0	0	0	3.60893572485474e-05	0	0	0	8.44772967265047e-05	0	0	0	0	0	0	0	0	0	0	0	0
"732878"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.39345310402148e-05	3.10761676870008e-05	0	9.71722864639005e-05	3.69058163566578e-05	3.53419332037462e-05	0	0	0	0	0
"11544"	0.000147841513897102	0.000181479969148405	0.000242983841574535	0	6.32091273979963e-05	7.57747973024172e-05	0.000163238654913484	0.000123548307388189	0.000209892954593157	9.75102385750504e-05	0.000324804215236927	0.000362027353177796	0.000148397309062129	1.78456706403027e-05	0.000168954593453009	4.28265524625268e-05	6.39345310402148e-05	3.10761676870008e-05	0	0	3.69058163566578e-05	0.000106025799611239	0	5.92083839071613e-05	3.31532009415509e-05	0	3.15487270088652e-05
"217472"	0.000147841513897102	0.000272219953722608	0.000121491920787268	0	0	0	9.79431929480901e-05	0.000164731076517585	6.99643181977192e-05	0.000195020477150101	0	8.0450522928399e-05	0.000197863078749505	0	8.44772967265047e-05	4.28265524625268e-05	0	0	0	0	0	0	4.7395611166406e-05	0	0	3.67728175332794e-05	0
"623634"	0.000295683027794205	4.53699922871013e-05	6.07459603936338e-05	0	0	0	0.000130590923930787	8.23655382587925e-05	0.000419785909186315	0.000195020477150101	0.000180446786242737	0.000321802091713596	0.000395726157499011	1.78456706403027e-05	0.000211193241816262	4.28265524625268e-05	0	0	3.3254630707326e-05	0	0	0	0	0	0	0	0
"1126569"	0	0	0	0	0	0	0	4.11827691293963e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"114076"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96041919535806e-05	0	0	0
"1127173"	0	0	0	3.15238635647185e-05	0	0	0	0	0	0	0	4.02252614641995e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"511344"	0.000147841513897102	4.53699922871013e-05	0.000182237881180901	0	0	0	9.79431929480901e-05	0	0	6.50068257167002e-05	3.60893572485474e-05	4.02252614641995e-05	4.94657696873763e-05	8.92283532015133e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"511346"	0	0	0	0	0	0	0	0	0	3.25034128583501e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"127870"	0	0	0	0	0	0	3.26477309826967e-05	0.000288279383905774	0.000349821590988596	0	3.60893572485474e-05	0	0	4.46141766007567e-05	0	6.42398286937901e-05	0	0	0	0	0	0	0	0	0	0	0
"710414"	0	4.53699922871013e-05	6.07459603936338e-05	0	0	0	0.00019588638589618	0.000164731076517585	0	0.000195020477150101	3.60893572485474e-05	0.000201126307320998	9.89315393747527e-05	0	0.000126715945089757	2.14132762312634e-05	0	0	0	0	0	0	0	0	0	0	0
"1147547"	0	4.53699922871013e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"549805"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.15487270088652e-05
"4478898"	0	0	0	0	0	0	3.26477309826967e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"929398"	7.39207569485512e-05	0	0	0	0	0	0	0	0	0	3.60893572485474e-05	0	0	0	0	0	3.19672655201074e-05	0	9.9763892121978e-05	4.85861432319502e-05	7.38116327133156e-05	3.53419332037462e-05	0	0	6.63064018831018e-05	3.67728175332794e-05	3.15487270088652e-05
"1033426"	0.000369603784742756	0.000136109976861304	0.000425221722755437	0.000157619317823592	9.48136910969944e-05	0.000189436993256043	0.00039177277179236	0.000205913845646981	0.000279857272790877	0.000325034128583501	0.000180446786242737	0.000201126307320998	0.000247328848436882	8.92283532015133e-06	0.000168954593453009	0	6.39345310402148e-05	0.000124304670748003	0.00016627315353663	0.000145758429695851	7.38116327133156e-05	3.53419332037462e-05	0.000142186833499218	0.000207229343675064	6.63064018831018e-05	0.000220636905199676	0.000189292362053191
"817013"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19672655201074e-05	0	0	0	0	0	0	0	0	0	0
"4470542"	0	0	0	3.15238635647185e-05	0.000158022818494991	3.78873986512086e-05	0	0	0	0	0	0	0	0	0	0	0.00012786906208043	3.10761676870008e-05	3.3254630707326e-05	0.000145758429695851	0.000184529081783289	0.000106025799611239	0	5.92083839071613e-05	0.000132612803766204	0	0.000126194908035461
"4338192"	0	0	0	0	0	0	0	0	6.99643181977192e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1085229"	0.00118273211117682	0.00145183975318724	0.00176163285141538	0.000315238635647185	6.32091273979963e-05	3.78873986512086e-05	0.00189356839699641	0.00168849353430525	0.00160917931854754	0.000780081908600403	0.00129921686094771	0.00164923572003218	0.00178076770874555	7.13826825612107e-05	0.0008870116156283	0.000214132762312634	0.000447541717281504	0.000403990179931011	0.000432310199195238	0.000534447575551453	0.000110717449069973	0.000247393532426224	0.000426560500497654	0.000266437727582226	0.000198919205649305	0.00058836508053247	0.000630974540177304
"252560"	0	0	0	0	3.16045636989981e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"900044"	0	0	0	0.000441334089906059	0.000442463891785974	0.00102295976358263	0	0	0	3.25034128583501e-05	0	0	0	0	0	0	0.000543443513841826	0.000435066347618012	0.000399055568487912	0.000291516859391701	0.000516681428993209	0.000459445131648701	0.00047395611166406	0.000444062879303709	0.000198919205649305	0.000514819445465912	0.000410133451115248
"151957"	0	0	0	0	0	3.78873986512086e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"254371"	0	0	0	0	3.16045636989981e-05	0	0	0	0	0	0	0	0	0	0	2.14132762312634e-05	0	3.10761676870008e-05	0	4.85861432319502e-05	0	0	0	2.96041919535806e-05	3.31532009415509e-05	3.67728175332794e-05	9.46461810265956e-05
"1134668"	0	0	0	0	3.16045636989981e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67728175332794e-05	0
"608919"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.10761676870008e-05	0	0	0	0	0	2.96041919535806e-05	0	0	0
"198952"	0	0	0	0	0	0	0	4.11827691293963e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4318483"	0	0	0	3.15238635647185e-05	3.16045636989981e-05	0	0	0	0	0	0	0	0	0	0	0	3.19672655201074e-05	6.21523353740017e-05	0	0	0	0	4.7395611166406e-05	0	3.31532009415509e-05	0	0
"776288"	0	0	0	0	6.32091273979963e-05	3.78873986512086e-05	0	0	0	0	0	0	0	0	0	0	0	3.10761676870008e-05	6.6509261414652e-05	0	7.38116327133156e-05	7.06838664074925e-05	9.4791222332812e-05	2.96041919535806e-05	3.31532009415509e-05	0	3.15487270088652e-05
"697997"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3254630707326e-05	0	0	0	0	0	0	0	0
