OTUID	RTP11	RTP6	RTP16	RTP10	RTP13	RTP1	RTP8	RTP12	RTP5	RTP3	BulkTP2	BulkTP1	RTP7	BulkRAG4	RAG10	RAG4	RAG14	RAG1	RAG15	RAG9	RAG7	RAG3	RTP2	BulkTP4	BulkRAG3	RAG12	BulkRAG1	RAG13	BulkTP3	BulkRAG2	RAG8	RAG2	RTP9	RAG6	RAG5	RTP14	RTP15	RTP4	RAG16	RAG11
4479944	5.0	3.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
244331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
244336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1124709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
838843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1126562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
732878	0.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11544	0.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	3.0	2.0	0.0	0.0	2.0	3.0	9.0	3.0	5.0	1.0	3.0	4.0	9.0	1.0	1.0	4.0	3.0	2.0	1.0	2.0	4.0	2.0	3.0	1.0	2.0	3.0	1.0	2.0	0.0	0.0	0.0
217472	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	4.0	2.0	4.0	3.0	1.0	2.0	2.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	6.0	2.0	6.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0
623634	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	8.0	3.0	4.0	0.0	1.0	5.0	5.0	0.0	0.0	1.0	6.0	4.0	4.0	0.0	1.0	2.0	6.0	0.0	2.0	8.0	1.0	0.0	0.0	2.0	1.0
1126569	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
