OTUID	RTP11	RTP6	RTP16	RTP10	RTP13	RTP1	RTP8	RTP12	RTP5	RTP3	BulkTP2	BulkTP1	RTP7	BulkRAG4	RAG10	RAG4	RAG14	RAG1	RAG15	RAG9	RAG7	RAG3	RTP2	BulkTP4	BulkRAG3	RAG12	BulkRAG1	RAG13	BulkTP3	BulkRAG2	RAG8	RAG2	RTP9	RAG6	RAG5	RTP14	RTP15	RTP4	RAG16	RAG11
k__Archaea;p__Crenarchaeota;c__MBGA	3.32546307073e-05	0.0	5.3711462026e-05	3.1076167687e-05	0.0	3.19672655201e-05	0.0	0.0	0.0	0.0	0.0	3.15238635647e-05	0.0	0.0	0.0	0.0	0.0	3.26477309827e-05	0.0	0.0	0.0	3.60893572485e-05	0.0	5.4860653939e-05	6.07459603936e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15487270089e-05	0.0	0.0	3.28234753496e-05	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__MCG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15487270089e-05	0.0	0.0	6.56469506991e-05	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	0.000897875029098	0.0013592812386	0.000859383392416	0.00226856024115	0.00153093386966	0.00150246147945	0.000325168003468	0.00131182586726	0.00133218863791	0.001908464393	0.00154862362125	0.00129247840615	0.00161800397146	0.00556906424033	0.0139609587349	0.00530973451327	0.0138674884438	0.00470127326151	0.00796471020708	0.00348108609886	0.00481520591341	0.00487206322855	0.000922645408916	0.00142637700241	0.00540639047503	0.0121038270482	0.00310467179184	0.00247843759294	0.0015533833447	0.00603420897418	0.000813704496788	0.00503802899304	0.00154588762343	0.000419373260047	0.00524337158686	0.00147705639073	0.00157167427792	0.00189582444666	0.000904431715405	0.00262960180316
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8586143232e-05	2.96041919536e-05	3.53419332037e-05	0.0	9.45715906942e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15487270089e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	0.0	0.0	0.0	3.1076167687e-05	3.00183111698e-05	3.19672655201e-05	0.0	4.8586143232e-05	2.96041919536e-05	0.0	3.1604563699e-05	3.15238635647e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.57747973024e-05	0.0	0.0	0.0	6.30974540177e-05	0.0	0.0	9.84704260487e-05	5.93084633177e-05	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	3.32546307073e-05	0.0	0.0	0.0	0.0	3.19672655201e-05	0.0	4.8586143232e-05	0.0	3.53419332037e-05	0.0	9.45715906942e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.38116327133e-05	5.4860653939e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.30974540177e-05	0.0	0.0	0.0	5.93084633177e-05	0.0	0.0	0.0
k__Bacteria;p__;c__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.78873986512e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3;c__ABS-6	0.00176249542749	0.00265225607532	0.00166505532281	0.00245501724727	0.00252153813826	0.00195000319673	0.00151745068285	0.00174910115635	0.00201308505284	0.00233256759145	0.00192787838564	0.00185990795032	0.00268441567993	0.00298062593145	0.0028004283008	0.00329847144006	0.00378204230284	0.00251387528567	0.00539149614018	0.000928289626363	0.00671594508976	0.00281496986539	0.0022143489814	0.00301733596664	0.00364475762362	0.00188903659134	0.0051744529864	0.00232973133736	0.00212169432447	0.00476384919015	0.000749464668094	0.00224273548723	0.00233460579866	0.000133842529802	0.00380886426593	0.0035121118624	0.00293576893423	0.00170624200199	0.00301477238468	0.00187828700225
k__Bacteria;p__AD3;c__JG37-AG-4	0.0	0.0	0.0	0.0	0.0	3.19672655201e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047062514707	0.000329462153035	0.000321802091714	0.000606994443666	0.000195886385896	0.000919005023894	0.000348108609886	0.000506863780359	0.000288714857988	0.0	5.4860653939e-05	0.000242983841575	0.000349821590989	0.000591366055588	0.000247843759294	0.0	0.000499069915158	0.00017130620985	0.000325034128584	3.15487270089e-05	3.56913412806e-05	0.000346260387812	0.0	0.0	0.0	0.000602954476937	0.0
k__Bacteria;p__Acidobacteria;c__	3.32546307073e-05	9.94596028247e-05	5.3711462026e-05	0.0	6.00366223396e-05	3.19672655201e-05	0.0	0.000145758429696	0.0	0.000106025799611	0.000126418254796	0.000283714772082	3.67728175333e-05	0.0	0.0	8.04505229284e-05	0.0	6.52954619654e-05	0.0	0.0	0.0	0.0	3.69058163567e-05	0.000219442615756	0.0	0.0	0.0	0.0	0.000113662195954	9.07399845742e-05	0.0	0.0	6.30974540177e-05	0.0	9.89315393748e-05	3.28234753496e-05	2.96542316589e-05	4.73956111664e-05	0.0	0.0
