"","BulkRAG1","BulkRAG2","BulkRAG3","BulkRAG4","BulkTP1","BulkTP2","BulkTP3","BulkTP4","RAG1","RAG10","RAG11","RAG12","RAG13","RAG14","RAG15","RAG16","RAG2","RAG3","RAG4","RAG5","RAG6","RAG7","RAG8","RAG9","RTP1","RTP10","RTP11","RTP12","RTP13","RTP14","RTP15","RTP16","RTP2","RTP3","RTP4","RTP5","RTP6","RTP7","RTP8","RTP9"
"K00001",25212.34,49479.83,27105.7,30028.25,51358.33,46225.6,42039.39,29252.58,61082.24,52996.63,12371,42074.15,41985.97,47355.58,38078.43,13416.5,65617.91,72390.51,57205.14,43471.9,609019.39,48541.24,287448.31,36194,49372.44,49205.93,49582.42,43037.11,59201.97,46307.63,97300.03,41515.83,42094.13,47693.47,44441.86,54921.98,51504.46,50287.8,15527.14,48379.91
"K00002",0,319,0,212,795,0,0,0,0,0,0,0,0,0,0,0,201,0,177,0,0,362,0,0,649,822,0,0,0,615,755,0,0,0,321,0,709,0,421,0
"K00003",72279.34,99426.84,71502.2,60283.42,118115.66,115160.76,97221.51,73342.91,131777.57,108908.64,12849,67564.65,83466.64,92954.91,84219.1,18584.5,116671.75,133469.34,110017.96,90709.23,174626.18,118712.07,100976.66,48059.33,123452.77,119481.1,108781.09,79614.77,121681.81,112842.47,122161.36,73890.5,107993.29,117699.13,90780.53,134122.65,121784.29,112539.13,44588.97,118719.85
"K00004",2184,10675,2215.7,835.75,1920,2324.6,1321.29,1287.4,5474.4,5329.3,856,3484.65,4465.8,4818.75,5636.6,0,4751.75,5671,5469.8,3707.4,2463,5009.9,407.5,0,2626.6,4076.6,1570.25,1799.6,4297.8,2157.8,3961.2,1227,843.8,2504.3,1346.2,4013,10772.8,2448.8,359.8,2401.29
"K00005",3804,496,106.5,1097,351,0,504.67,1428,547.5,236.67,0,463,1485,845.3,69,0,812,1661.5,611,1093,1746,5496,1174,0,649,848,52,39,478,25,2380,303,0,545,288,0,1481,93,0,302.67
"K00007",1366,645,1211,0,0,0,0,0,3111,1044,0,1166,1457,709,1915,0,0,3794,1648,0,940,1459,0,0,995,0,0,793,0,0,0,0,0,0,0,1492,0,0,444,0
"K00008",27485.34,35584.18,27948.5,31121.34,30922.16,28923.32,24916.12,16987.34,58925.5,48384.85,12408,43653,34362.68,48039.66,45494,16157.5,51822.84,58852.5,51605.14,37861.16,140352.68,59684,70548.66,19579.66,32732,33136,26731.84,20686.16,32492.01,26888.84,43048.16,18213,25713.32,29828.16,19426,32680.33,31660.66,28112.66,7427.5,32318.61
"K00009",8678,7710,10284.5,8685,5480,5632,2259.89,3475,10982.5,6860.5,2819,3278,5754,7484.3,5917,2386,9061,9763,9803,6224,3779,12592,3852,13476,6067,6411,5791,3215,4186,4371,5967,3949,6360,5652,5432,6684,6760,5010,3600,5606.89
"K00010",7366.67,26302.34,9437.5,6946.67,4079.66,3910.33,3217.5,1773.17,24191.34,19527.01,2566,10339,14215.33,10113.49,11686.5,205,17527.01,23500.84,20183.16,12340.67,210108.02,15773,94562.99,7219.33,5536,7135,6090.84,4948,10786.68,6409.84,29045.66,8154.67,6169.99,6865.16,7920.5,7698.33,18882.82,7378,2265,7091.66
"K00011",5926,5982,4839,9760,1494,2056,1479,1181,9058,8501,5776,14338,5961,12552,10039,6490,8436,10009,10066,6705,3272,13424,3547,3649,1490,1693,1371,1050,1228,1245,1651,1118,1443,1640,1205,1789,1168,1669,741,1648
"K00012",71278.34,102184.84,75834.7,63586.17,137829.16,131920.76,112114.34,81931.41,138742.07,107558.14,12849,68218.9,92418.97,94379.66,84699.1,20437.5,123858,139210.34,119846.96,93870.73,112476.51,120139.07,68753.83,39978.33,140084.1,130826.77,120131.34,86672.94,131489.81,127491.97,129415.86,84570.5,120354.29,129704.13,105931.03,147206.15,136797.79,126396.8,48606.97,133456.68
"K00013",67179.34,91981.84,67048.2,55373.92,114538.66,109799.76,95398.62,70414.91,124414.07,102481.64,12849,64195.15,81374.14,87778.21,77108.6,18379.5,118354.25,123915.34,107958.46,85394.23,107625.51,109836.57,68526.33,43184.33,118335.27,115157.1,105011.09,75772.27,116248.81,107706.97,113034.36,69797.5,104370.29,112004.13,86527.03,128396.65,116130.79,106612.13,40266.97,113518.96
"K00014",76929.67,95173.34,73014.87,50111.92,122900.16,118105.76,104817.62,74884.24,123130.23,102257.31,9272,63686.15,81958.47,87379.71,81915.1,15475,120555.92,140773.84,103043.46,81552.4,311183.02,107226.23,156426.66,50216.33,128331.1,119936.77,108335.09,78729.27,126350.81,113762.64,137742.53,78292.17,108660.29,121142.46,93930.2,142547.65,130968.62,113316.13,43243.47,118749.46
"K00015",15458.84,21607.51,17535.33,14338.67,51393.83,50587.66,42106.67,31563.34,36058.17,28122,4338,14751.5,25222.68,25360.33,21836.67,4596,34891.33,37862,31990.49,25291.99,79236.34,30007.84,41280.83,17583.33,49938.17,46772,45953.34,33049.83,48237.67,46948.17,47109.66,33062.33,47929.66,45358,38402.83,53389.16,48153.5,46346.66,20318.5,46395
"K00016",21409.67,20943.5,21502.03,15805.75,11244.5,11616.1,7777.68,8880.07,22995.74,10505.63,3673,6836.15,8704.97,11066.25,16833.6,2217,16506.58,17500,14776.3,11138.73,11146,26956.74,8172.5,10662,17079.27,18315.43,9333.75,6575.1,11969.14,10088.63,15055.53,8012.83,9892.3,14569.97,12317.03,17035.66,19492.47,12962.8,4314.3,14402.02
"K00018",0,1442,0,468,6192,5244,5040.89,3624,1478,2226,0,1166,3394,1065,565,459,817,3614,810,2397,4880,4906,2772,0,7235,7083,5427,3304,4826,5302,6444,3300,6010,6451,4274,6959,7524,5015,1989,5075.89
"K00019",30688.67,55819.84,34786.2,28330.42,72061.16,69931.26,60397.9,41338.57,63789.57,51892.64,8558,32667.15,42381.3,40876.91,37819.6,9425,55896.59,75931.67,53205.29,40687.9,94902.34,50341.4,49638.83,22509.33,67368.6,63392.6,63149.42,46567.6,66115.98,68296.97,65767.36,48149.17,59871.79,65916.46,59825.7,78695.16,70190.79,66887.8,24235.8,65377.73
"K00020",68993.84,94143.51,67135.23,46189.17,142112.16,133435.53,120242.8,86265.64,126122.81,105910.11,11958,59695.3,87074.27,90134.99,82587.87,14588.5,117964.67,138977.34,112443.93,89244.13,315727.69,104230.14,163711.82,39019.33,141167.87,130345.2,123950.01,93951.2,138202.95,131317.44,144358.39,90284,118232.59,130240.43,111329.23,154580.82,142493.09,126895.93,50546.1,133654.8
"K00021",0,0,0,0,349,337,364,385,0,0,0,0,0,0,0,0,446,0,177,91,510,0,153,0,0,147,126,602,221,89,329,0,152,309,100,93,93,255,0,55
"K00023",11842,24079,11493.5,9890.75,38719.5,37926,33360.5,25990,31587.33,23929.5,2199,13455.25,24152.67,20036.25,19753.17,3932,23560.08,34167,24772.67,15618.33,78656.34,19398.5,37848.33,4336,37883.5,36719.17,35062.92,26397.5,38735.33,36666.67,41196,26229,33259,34436.5,28150.5,41042.83,38956,37838.33,16416,36091.5
"K00024",66602.34,89053.84,65569.7,54176.42,110444.16,106273.76,91770.73,67958.91,118546.57,98013.64,12849,63045.65,78121.64,85963.21,75628.1,18379.5,114262.75,120639.34,104058.96,82955.73,106515.51,106243.07,66996.33,42406.33,113709.27,109137.1,100839.09,73449.77,112864.31,103720.97,109245.86,68190.5,101040.29,107531.13,82585.03,123030.15,111638.79,102233.13,40146.97,108792.57
"K00027",53074.5,84280.33,58129.87,48835.75,60457.66,58234.1,48181.67,36931.07,91817.9,82054.31,12362,51510.15,53442.29,61956.21,54405.6,13912.5,78698.92,88491.01,77248.31,64475.74,25704.17,89012.23,25992,34774,66060.1,64964.27,58647.92,39550.61,65702.81,55634.47,63079.53,34258.84,58329.96,61682.96,42522.2,70141.15,63616.95,57970.47,18420.47,65566.68
"K00029",19192.5,30584.83,17832.17,15976,46209,42561,40367.33,33709.67,41038.33,31862,2686,23740.5,28582,33070.8,25570.83,3932,48026,49436.17,41926.5,23304.17,154661.35,25968.33,74445.66,8347,41864,45566,47378,36925.67,52634.5,43013,52321.17,31631.5,44016,40949,34154.5,53433.66,46014.33,43585,15848.67,42606.34
"K00030",10752.68,13458,10202.33,13252.17,13641.33,15681.99,12483.89,9370.68,23664.68,21420.83,7295,20155,15288.85,20831.33,16425.33,7117.5,21238.66,26699.5,22375.15,17063.49,5021.17,25254.18,6829,5223.33,14550.34,14229.66,13327.17,9041.5,15439.34,13956.83,15550.16,11204.16,12403.33,14230.17,10635.16,17074.99,14459,14261.33,4612.5,15939.73
"K00031",57752.84,84265.17,59518.7,49863.42,91509.66,87794.26,73751.73,55158.91,109362.57,81790.14,11824,59492.65,66361.64,80067.21,65665.1,16288.5,102205.75,108566.34,94401.46,66449.23,106889.01,91204.57,63354.33,37006.33,91023.77,90189.6,81584.59,59814.27,91699.81,85129.97,88888.36,56759,80659.79,87619.63,67707.03,105189.15,92538.79,85405.13,35095.47,89789.07
"K00032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0
"K00033",86501.34,106656.67,87932.87,74924.17,111272.99,108692.26,93552.89,64184.08,140226.57,110246.31,22298,84404.4,86566.3,101461.29,92071.43,27212.5,130068.17,139906.18,120993.63,95549.57,178407.52,136768.4,99718.16,60895.33,119386.77,112582.6,100738.34,70812.11,114361.98,105902.97,123638.36,72087.17,101551.12,115524.46,90525.53,129260.81,119591.28,108793.8,45848.64,114900.07
"K00034",8530.34,12222.67,8864.7,12290.42,10831.16,10611.59,10287.4,6322.57,16068.24,15677.31,7119,20972.65,12995.97,19848.41,13418.6,6526,25361.42,20276.5,22423.62,11451.73,7926.17,21160.57,6285.83,3749.33,10921.1,11708.1,10240.92,7066.1,11841.31,10073.97,11997.86,7262.17,10745.46,10415.46,7322.7,12708.83,10758.29,9732.8,3191.63,10155.06
"K00035",4262,9758,4248,3694,3659.5,3220,2671.5,2013,12392.5,8213.5,1343,5571,11206,7566,6284.5,956,8257,13344,8214.5,7209,70405.34,5173,32533.33,4275,3877,5202,4524,3608.5,7558,4283,13027,4764,2586,4542,3747.5,5900,5282,5036,722,6150.5
"K00036",73121.01,106206.01,73892.87,58465.84,106949.82,102749.92,87692.56,65054.75,135402.57,107043.98,14735,71505.4,83495.64,87723.12,79072.43,19329.5,116561.84,133542.68,111101.95,84281.9,178912.52,115994.4,102251.16,49133.66,110140.27,105152.1,100980.51,75070.44,113753.65,101361.14,114155.69,68189.17,98219.78,107305.79,85333.53,123177.81,112621.11,104753.13,39024.64,108063.9
"K00038",1045,3094,3052,1077,4103.5,2903.17,1947.83,2199.5,4270.67,4470.67,0,1948,5650.16,5072.33,1240,1967,5568.17,4010.67,3527.67,5037.67,659,931,0,4658,2174.83,2783.67,2993.67,3122.17,8087.17,2421.67,3920,439,3739.5,2419,2704,1912,5036.83,3567.67,0,3139.33
"K00039",1717,2356,1992,1426,1741,1975,1644,1012,4377,5312.5,1343,2912,3777,3895,2354,0,7459.5,6323,4324,3958,131042.85,2872,60704.66,4746,2616,2895,2792,2312,4276,2476,15498,4243,1028,2821,2517,3425,3773,3568,1444,1475
"K00040",5014,6720,2013,3743,3692.83,3955.33,3797.5,1012,7513.5,4707.5,2197,5253,5097,4125.8,2543.5,0,6013,9387.5,4584.5,3646,76087.34,5657,37981.33,2373,4516.67,7303.33,4596.33,3600.5,7817.67,5331.33,13827.33,7508.67,3286.33,6279.33,7688.5,8697.33,7818.33,6924,722,5557.5
"K00041",2407,2133,956.5,313,149,0,308,0,4227.5,2820.5,0,1890,983,3547.3,2445,0,2742,3635,2478,1033,4652,4087,1189,0,196,656,395,422,603,340,652,374,0,598,212,839,885,0,177,588
"K00042",22696.84,31670.85,20166.5,16035.09,51487.66,47449.99,46334.67,33957.84,42078.5,41504.01,2368,20893.25,33953.51,28442.34,26475.67,5929.5,43564.09,44486.67,39655.48,37084.66,150593.68,36209.5,69411.66,10312.66,51281.33,48244.34,48874.43,37203.33,53228.84,48660.68,57212.66,33240.5,46165.32,45518.16,39441,53155.33,54655.99,45731.66,12342,48708.99
"K00043",0,0,0,0,665,678,943,404,1149,0,0,0,0,0,0,0,0,1840,0,988,0,0,0,0,558,761,522,408,0,682,0,631,646,667,723,510,1045,599,0,698
"K00045",0,5084,951,2894,7540,5134,5507,7555,3577.5,5230,856,1175,2943,2539.5,1879.5,1967,15164.5,5986.5,8932.5,3400,70180.84,569,31309.33,7031,5720.5,8750,10205.5,9826.5,10139,6134.5,13060,5051,8820,4983.5,4592.5,8416,7240.5,6672,722,7358
"K00046",12425.34,26063.84,19265.33,16127.67,27138.33,23610.66,20367,12918.84,33688.84,23488,4162,16336,22859.34,24055.83,18124.5,3109.5,40149,37476,34363.32,26478.16,80542.84,23819.34,38578.33,14980.33,23757.5,27527,24062.17,18021.5,28782.01,23381.5,30895.16,16802.33,24496.66,23055.5,21147.83,31742.66,28647,24617,9178.5,25560
"K00048",0,319,0,256,0,0,0,0,31,0,0,0,0,1.3,0,0,0,0,0,0,0,362,0,0,649,822,0,0,0,0,755,0,0,0,0,0,745,0,0,0
"K00050",15995.67,22724,15611,20061,52415,51000,42853.83,30196.34,35448,31572.33,7295,25209.5,25742.34,30325,24759,9777.5,39025.16,39690.17,32504.67,26690.83,81369.51,34440.17,41227.83,7620,47275.17,46593.5,45009.17,32986.67,47356,46675.5,44979.5,31372.83,45836,44129.17,35919.83,51379.82,46769.5,45112.33,18893.17,44483.51
"K00051",0,0,0,0,404,0,0,0,200,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,514,550,478,0,477,621,451,0,0,617,0,575,726,509,301,531
"K00052",68614.34,92575.85,68441.2,56485.59,115721.99,110411.09,96551.29,71558.58,121965.4,104111.31,15535,66959.15,78994.81,90324.54,79245.6,17387.5,119553.59,124970.01,108498.45,87500.23,112807.51,114112.9,72814.33,41382.66,119310.27,115139.1,104660.76,76842.6,117118.48,108118.64,112326.69,70971.5,107505.28,112390.46,87678.03,128591.65,121016.12,107040.46,40243.64,114185.29
"K00053",66739.84,92615.51,67750.53,55681.67,111113.66,106554.76,91687.29,68694.24,123757.24,102548.64,12849,63995.4,80723.14,86731.96,77554.27,18379.5,117828,124890.67,110179.46,86609.56,107916.34,111207.74,68910.83,42969.33,113999.27,111258.1,101300.34,74949.6,112408.48,105284.97,109474.69,68427,101691.29,109180.13,84350.53,122860.32,114004.46,103185.13,40030.3,111699.29
"K00054",1708,2165,2494.17,373,1424,1358,655.33,373.67,4410.66,3468.5,0,2161,2303.67,2187.5,1784,0,13389.33,6454.67,8504.17,1820,2078.67,2127.33,644.5,455,2488.5,1963.17,1283.67,1318.67,1854.66,984.67,1162.67,120,1608,1057,234,4749.16,2010.33,956.33,680.67,968.67
"K00055",0,1257,0,316,0,273,292.83,502.5,2806,3710,856,0,4149.33,4899,2255,0,5476,2146,1766,3820,129016.35,1485,59408.99,4746,1755.83,1195.67,843,1268.17,4125,493,11092,2696,1164,1198,1843,377,8133,1589.67,1444,1269.33
"K00057",66962.84,91803.17,67139.87,54842.92,109856.66,107295.76,92370.95,68745.58,122691.9,101697.64,12849,62568.15,79680.14,86461.71,76970.93,20346.5,116939.25,124315.01,106390.46,85654.4,107866.18,110000.9,67973.33,47197.33,115056.27,111431.1,101003.09,72371.94,112811.14,104574.97,111322.53,68161.5,100867.29,108558.13,82574.53,125230.98,115122.62,103370.13,40804.64,110433.13
"K00058",99318.52,143743.01,97672.86,77955.59,189427.49,176041.42,158974.67,111604.26,189834.92,161699.3,23106,106292.65,135866.65,133345.54,111675.93,24918.5,196579.91,201923.51,181492.78,138838.22,199842.69,165290.92,116505.66,51932.66,183123.94,177054.43,163760.76,123063.11,184596.32,172366.63,176806.35,114826.49,159665.95,174019.47,141947.02,209148.97,191318.96,172149.8,52225.64,179254.52
"K00059",355836.4,516132.23,368179.63,300540.7,612842.27,588255.33,509694.36,363681.35,657533.31,548393.92,87423,365474.1,431402.26,478084.4,417678.07,112255,619918.84,694513.55,598796.12,464841.23,702456.24,601389.97,412175.64,243488.3,612239.59,572538.07,538346.23,391213.09,598199.28,562064.07,584489.4,380046.17,541215.11,576999.33,464140.94,676534.72,621019.44,560379.84,213471.55,593961.04
"K00060",6308,11188,6266,13102,7880.5,6180,4721.83,3472.5,16669,16187.5,5952,18101.5,12470.33,17636.8,14325,7009.5,16241.5,19295.5,16075.5,10200,73033.34,18764.5,33820.33,6543,6220.33,7550.67,7203,5592.17,9567.67,5888,16675,5931,4727,6777,4633.5,8517.33,8050.5,7640.67,2421.5,8578.5
"K00064",5657.67,8100.34,5669.5,3687.42,7421.66,6166.16,5080,2647.17,11626.17,12401.34,2686,10668.25,9912.5,11380.41,9340,0,12619.59,20044.67,10457.49,10584,141812.68,7800.5,64838.66,4846.33,5683.5,8355.5,7152.42,6095.5,13630.51,6857.17,21451.66,7578.67,9814.49,6495.16,5041,11132.83,8528.99,7520,1888,6997.16
"K00065",10388.67,13553.34,10161.5,7293.67,26406.83,25277.66,22650.06,13548.67,23492,17978.67,2686,11350,15914.34,17601.63,13689.5,2058,17261.67,27583,19153.82,16805.33,77393.34,17685,35392.33,3211.33,25089,21667,19562.67,13968.83,23062.67,24874.67,30896.33,19641,17518.66,24424.33,20515.5,27237,27693.33,24115.33,6868,24675.72
