"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"K01907"	0.00117768984360279	0.00142832409972299	0.00164205887855	0.00106014768189659	0.00116360846493191	0.00107792888973324	0.00157479537533446	0.00138848094843929	0.00132539069896153	0.00141558326176444	0.00135823743283885	0.00156953018729727	0.00179048853601231	0.00161567155639975	0.00134609430736717	0.00156161722603457	0.00108323278936847	0.00107886974362812	0.00101672107453463	0.00127941820140736	0.00102150686066094	0.00121872112908616	0.00107659539799113	0.0010125460787571	0.000802857063757925	0.000990548085896159	0.000912503910731046
"K00825"	0	0	0	0	0	4.12999574610438e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K01872"	0.00272046353872244	0.00300380886426593	0.00342961664507278	0.00304007505993344	0.00334761204526565	0.00327095663091467	0.00332237394232003	0.00312942244532856	0.00319695888375887	0.00309177599431398	0.0036127267771428	0.00331694046248823	0.00206999918982419	0.00341442204270316	0.00319921747050932	0.00326923931466587	0.00357554888198047	0.00335509781544468	0.00324453637020609	0.00306386990337026	0.00333140075278614	0.00336131150118924	0.00336363318939932	0.00336460624086995	0.00373743805542482	0.00338871713596054	0.0038846595056836
"K14157"	0	0	0	0	0	0	4.93666261860332e-06	5.34031134015113e-06	0	0	0	0	0	0	0	0	1.76135412905442e-05	0	0	0	0	0	0	0	0	0	0
"K09841"	0	0	0	0	2.55738124160859e-06	1.65199829844175e-05	0	0	0	0	0	0	0	0	0	0	0	0	4.98392683595405e-06	0	4.60138225522947e-06	0	5.81943458373584e-06	1.58210324805797e-05	0	0	0
"K13524"	2.35537968720558e-05	0	0	1.10816830860271e-05	0	1.23899872383131e-05	0	0	0	3.55376551070572e-05	4.6198552137376e-06	1.04635345819818e-05	0	1.83078929903655e-05	8.97396204911449e-06	0	1.76135412905442e-05	0	9.9678536719081e-06	0	9.20276451045894e-06	0	5.81943458373584e-06	5.27367749352656e-06	0	0	0
"K09689"	5.88844921801394e-05	4.32825484764543e-05	2.77140738995781e-05	1.47755774480361e-05	1.53442874496516e-05	1.65199829844175e-05	7.40499392790498e-05	4.2722490721209e-05	1.45647329556213e-05	5.92294251784286e-06	5.08184073511136e-05	2.61588364549545e-05	8.10175808150369e-06	2.28848662379568e-05	2.69218861473435e-05	2.53921500168223e-05	0	1.87087238779443e-05	1.99357073438162e-05	1.12229666790119e-05	4.60138225522947e-06	0	2.32777383349434e-05	0	0	1.04268219568017e-05	1.30357701533007e-05
"K10107"	7.06613906161673e-05	5.19390581717451e-05	2.77140738995781e-05	3.69389436200904e-06	1.2786906208043e-05	0	2.46833130930166e-05	1.06806226803023e-05	1.45647329556213e-05	1.77688275535286e-05	4.6198552137376e-06	1.04635345819818e-05	1.21526371222555e-05	2.28848662379568e-05	4.03828292210152e-05	3.17401875210279e-05	0	6.2362412926481e-06	0	1.12229666790119e-05	1.38041467656884e-05	0	0	0	0	1.04268219568017e-05	0
"K09688"	2.35537968720558e-05	8.65650969529086e-06	2.77140738995781e-05	0	5.11476248321719e-06	0	4.93666261860332e-06	1.06806226803023e-05	7.28236647781063e-06	1.18458850356857e-05	2.3099276068688e-05	1.04635345819818e-05	0	0	8.97396204911449e-06	0	0	0	0	1.12229666790119e-05	0	0	0	1.05473549870531e-05	2.76847263364802e-05	1.56402329352025e-05	0
"K11050"	0	0	6.92851847489451e-06	0	0	0	0	0	0	0	0	0	0	0	4.48698102455725e-06	0	8.80677064527209e-06	0	0	0	0	0	0	0	0	0	0
